_r _x _y _p DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON GLAT ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 e_BP-RP e_BP-G
0.123569 0.028426 -0.120255 166.7 "Gaia DR2 5967065791676201344" 254.94978716411 0.0805 -40.31024390139 0.0691 1635721458409799680 5967065791676201344 332203952 2015.5 0.7910 0.0865 9.1450 -2.974 0.189 -3.269 0.133 0.1148 0.0357 -0.4268 -0.0540 -0.2674 -0.0923 -0.7647 -0.1512 0.3729 0.2834 186 0 185 1 0.7125 193.16 0.000 0 31 0 4.4134 1.4267 0.0198 0.125 21 11 0.18254 0 23 0 201 4153 3.204 1296.324 16.64246900359066 0.0019853129430375408 20 1420 9.224 153.894 17.4710 0.0071 23 4027 13.41 300.384 15.7495 0.0036 1.311 0 1.7216155818638939 0.8285925042546545 0.8930 "" "" 0 "" "" "" NOT_AVAILABLE 345.31085563593 1.29959122103 258.01756571752 -17.49494920073 100001 4236.00 4107.50 4358.27 "" "" "" "" "" "" 200111 1.15 1.08 1.22 0.380 0.294 0.467 254.94980395400 2.9305 -40.31022982460 2.0617 0.008271088359135858 0.007461778612682324
0.116909 0.026418 -0.113885 166.9 "Gaia DR2 5967065787381754496" 254.94715062337 5.7290 -40.30387498192 3.6144 1635721458409799680 5967065787381754496 307839391 2015.5 "" "" "" "" "" "" "" 0.8046 "" "" "" "" "" "" "" "" "" 87 0 87 0 1.0841 95.94 3.445 0.89 3 0 0.0117 "" "" 0.235 10 7 16.677 0 12 0 105 76.18 1.3 58.586 20.98385455400663 0.01861895661932236 5 61.13 23.73 2.576 20.8857 0.4215 10 161.7 9.706 16.656 19.2404 0.0652 2.925 0 1.6452816992046202 -0.09817931555369341 1.7434 "" "" 0 "" "" "" NOT_AVAILABLE 345.31462550536 1.30510493644 258.01474680999 -17.48883550482 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.94715062300 5.7290 -40.30387498190 3.6144 0.42650700020504567 0.42190314304465865
0.124129 0.022278 -0.122114 169.7 "Gaia DR2 5967065791674313088" 254.94172572179 2.7227 -40.31210518001 1.6013 1635721458409799680 5967065791674313088 877140501 2015.5 "" "" "" "" "" "" "" 0.3892 "" "" "" "" "" "" "" "" "" 116 0 116 0 0.6483 120.24 0.000 0 3 0 0.0320 "" "" 0.127 14 7 6.8535 0 16 0 131 119.1 1.344 88.624 20.49852943282631 0.01238263455899302 8 52.12 8.205 6.352 21.0590 0.1709 13 181.6 11.51 15.787 19.1138 0.0688 1.963 0 1.9451815787912352 0.5604636769492792 1.3846 "" "" 0 "" "" "" NOT_AVAILABLE 345.30559479836 1.30327770506 258.01136968179 -17.49746543551 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.94172572200 2.7227 -40.31210518000 1.6013 0.18426164227902808 0.1713839226497062
0.125673 0.033723 -0.121064 164.4 "Gaia DR2 5967065791672733952" 254.95673425878 1.6655 -40.31105054619 1.3499 1635721458409799680 5967065791672733952 1065587175 2015.5 "" "" "" "" "" "" "" 0.7971 "" "" "" "" "" "" "" "" "" 162 0 162 0 3.5196 227.14 2.036 2 3 0 0.0383 "" "" 0.257 18 8 4.8691 0 20 0 179 145.4 1.257 115.679 20.28198902926885 0.009556616533256823 12 30.93 4.612 6.706 21.6254 0.1619 17 189.5 7.701 24.601 19.0681 0.0441 1.516 0 2.5573089770138964 1.343426076847038 1.2139 "" "" 0 "" "" "" NOT_AVAILABLE 345.31349207562 1.29492572352 258.02317906407 -17.49517752246 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.95673425900 1.6655 -40.31105054620 1.3499 0.16782489698984168 0.16218824279306207
0.126545 0.020136 -0.124933 170.8 "Gaia DR2 5967065787377495424" 254.93891777879 0.2964 -40.31492518402 0.2389 1635721458409799680 5967065787377495424 890150055 2015.5 0.8271 0.3070 2.6943 1.175 0.576 -2.822 0.393 0.3254 0.1929 -0.6171 -0.2748 -0.1653 -0.2707 -0.8217 -0.3565 0.3008 0.2178 195 0 192 3 1.9908 227.44 0.610 1.7 31 0 0.3978 1.3069 0.0647 0.127 22 11 0.56928 0 24 0 210 653.8 1.539 424.732 18.64977110702092 0.0031263707874704537 22 122.9 8.05 15.267 20.1275 0.0711 23 915.1 9.269 98.727 17.3582 0.0110 1.588 0 2.769315390973805 1.4777491722828628 1.2915 "" "" 0 "" "" "" NOT_AVAILABLE 345.30205361643 1.30322067607 258.00945833354 -17.50050085759 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.93891114500 8.9362 -40.31491303240 6.0955 0.07200275712263454 0.07120125872517928
0.128720 0.035838 -0.123631 163.8 "Gaia DR2 5967065787377495808" 254.95950883508 0.4581 -40.31361651013 0.3207 1635721458409799680 5967065787377495808 1147831631 2015.5 0.7529 0.3071 2.4513 -1.029 0.805 -2.476 0.483 0.7740 0.4734 -0.8214 -0.7107 0.3123 -0.7397 -0.9003 -0.4955 -0.1764 0.6969 194 0 194 0 0.8742 205.80 0.382 0.65 31 0 0.4409 1.2715 0.0535 0.193 22 9 0.9228 0 25 0 213 680.6 1.738 391.704 18.606106306076672 0.003304949253306564 21 192.6 9.858 19.543 19.6395 0.0556 19 750.4 11.58 64.806 17.5737 0.0168 1.385 0 2.065807995120796 1.0334275234190002 1.0323 "" "" 0 "" "" "" NOT_AVAILABLE 345.31277917850 1.29167728183 258.02567556822 -17.49749940657 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.95951464600 12.4819 -40.31360584840 7.4939 0.05807755177086019 0.05567413104414974
0.126851 0.028118 -0.123696 167.2 "Gaia DR2 5967065787377715840" 254.94938489904 1.2163 -40.31368532322 0.9994 1635721458409799680 5967065787377715840 286957907 2015.5 "" "" "" "" "" "" "" 0.7675 "" "" "" "" "" "" "" "" "" 152 0 152 0 1.8074 179.46 0.733 0.4 3 0 0.0766 "" "" 0.234 17 8 3.4834 0 19 0 169 195.2 1.148 170.025 19.962200483647724 0.006634765834973417 17 55.57 12.77 4.351 20.9892 0.2495 18 248.9 9.617 25.883 18.7718 0.0419 1.560 0 2.2174898315280487 1.027039875085915 1.1904 "" "" 0 "" "" "" NOT_AVAILABLE 345.30795825179 1.29770788596 258.01763677757 -17.49840360094 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.94938489900 1.2163 -40.31368532320 0.9994 0.2530212523713598 0.24960063582881528
0.128996 0.035077 -0.124135 164.2 "Gaia DR2 5967065787381761408" 254.95851119249 9.2347 -40.31412148150 6.8726 1635721458409799680 5967065787381761408 1500772737 2015.5 "" "" "" "" "" "" "" 0.6162 "" "" "" "" "" "" "" "" "" 77 0 76 1 2.9105 110.74 4.072 1.7 3 0 0.0127 "" "" 0.307 9 5 206.82 0 11 0 94 79.69 1.174 67.882 20.93482231674406 0.016095125217339492 4 31.41 9.581 3.278 21.6088 0.3312 10 148.6 6.874 21.619 19.3318 0.0502 2.259 0 2.2770539678414963 0.6740115611876014 1.6030 "" "" 0 "" "" "" NOT_AVAILABLE 345.31191209866 1.29196405149 258.02493994008 -17.49808374746 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.95851119200 9.2347 -40.31412148150 6.8726 0.33501145971354285 0.33161127919573546
0.116880 -0.003909 -0.116815 181.9 "Gaia DR2 5967065924820676224" 254.90738407667 12.0430 -40.30680987936 5.2956 1635721458409799680 5967065924820676224 1373701244 2015.5 "" "" "" "" "" "" "" 0.9431 "" "" "" "" "" "" "" "" "" 113 0 112 1 4.6938 190.42 3.453 3.7 3 0 0.0296 "" "" 0.211 13 6 33.927 0 15 0 129 170 1.262 134.777 20.1120861207464 0.008254661349906803 10 89.73 16.01 5.604 20.4691 0.1937 14 400.3 19.72 20.301 18.2559 0.0535 2.882 0 2.213252521530073 0.3569939486215752 1.8562 "" "" 0 "" "" "" NOT_AVAILABLE 345.29358294069 1.32714447788 257.98347151703 -17.49504212327 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.90738407700 12.0430 -40.30680987940 5.2956 0.200998092237173 0.19391882164776283
0.112485 -0.006373 -0.112305 183.2 "Gaia DR2 5967065924820672640" 254.90415307065 0.4794 -40.30229965047 0.4062 1635721458409799680 5967065924820672640 1684736531 2015.5 0.6769 0.6463 1.0472 -3.576 1.248 -4.273 0.900 0.2777 0.0166 0.0013 0.0139 -0.4172 -0.1808 -0.6885 0.0060 0.5774 0.5391 161 0 161 0 3.1233 217.10 0.854 0.92 31 0 0.1314 1.2684 0.1101 0.175 19 10 1.2209 0 21 0 179 322.9 1.337 241.427 19.41576346325562 0.004843941117866229 15 99.95 7.185 13.910 20.3520 0.0781 17 599.6 10.4 57.679 17.8172 0.0188 2.167 0 2.534755017231415 0.9362012876301193 1.5985 "" "" 0 "" "" "" NOT_AVAILABLE 345.29560796954 1.33186835596 257.98038971083 -17.49082618191 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.90417326200 19.3497 -40.30228125440 13.9558 0.08032542430849439 0.07821560197430467
