_r _x _y _p DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON GLAT ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 e_BP-RP e_BP-G
0.163384 0.114586 -0.116466 135.5 "Gaia DR2 3026527771186539392" 112.63294833791 5.4941 -18.65843333908 9.1511 1635721458409799680 3026527771186539392 30536205 2015.5 "" "" "" "" "" "" "" -0.8098 "" "" "" "" "" "" "" "" "" 48 0 48 0 1.3467 55.94 5.569 1.4 3 0 0.0071 "" "" -0.060 6 4 48.832 0 7 0 58 59.32 1.587 37.374 21.255470324095672 0.029106421016255685 0 "" "" "" "" "" 0 "" "" "" "" "" "" 0 "" "" "" "" "" 0 "" "" "" NOT_AVAILABLE 233.91350892098 -0.15715787527 118.37355542579 -39.89433693440 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.63294833800 5.4941 -18.65843333910 9.1511 "" ""
0.163422 0.111256 -0.119703 137.1 "Gaia DR2 3026527736825357824" 112.62943583351 2.8850 -18.66167262237 2.9178 1635721458409799680 3026527736825357824 450548316 2015.5 "" "" "" "" "" "" "" -0.3603 "" "" "" "" "" "" "" "" "" 45 0 45 0 1.5421 54.61 2.332 0.29 3 0 0.0091 "" "" 0.159 6 6 6.0892 0 6 0 48 58.6 2.146 27.304 21.268581849101572 0.03980633384654189 0 "" "" "" "" "" 0 "" "" "" "" "" "" 0 "" "" "" "" "" 0 "" "" "" NOT_AVAILABLE 233.91475150960 -0.16163265175 118.37014735039 -39.89817503100 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.62943583400 2.8850 -18.66167262240 2.9178 "" ""
0.169592 0.123294 -0.116448 133.4 "Gaia DR2 3026527702465268224" 112.64213980491 0.4477 -18.65840937248 0.5754 1635721458409799680 3026527702465268224 1249261659 2015.5 0.6168 0.7905 0.7803 -1.376 0.946 1.590 1.124 -0.1867 0.0184 -0.4637 -0.1267 0.1982 -0.1126 -0.3875 0.1649 -0.1733 -0.2195 408 0 406 2 2.3474 470.48 1.242 0.82 31 0 0.0336 1.4247 0.1157 0.069 48 13 1.0578 0 50 0 424 127.6 0.7827 163.041 20.423688223133905 0.00689845714140232 44 47.04 5.719 8.225 21.1703 0.1320 48 224.1 5.917 37.873 18.8859 0.0287 2.124 0 2.2844318103755086 0.7466358388308016 1.5377 "" "" 0 "" "" "" NOT_AVAILABLE 233.91767122100 -0.14950856269 118.38467120740 -39.89257566696 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.64214605800 14.6689 -18.65841621850 17.4258 0.13509831209325457 0.13218820364470624
0.172762 0.122944 -0.121374 134.6 "Gaia DR2 3026527702465270528" 112.64177417848 0.6528 -18.66333524919 0.8100 1635721458409799680 3026527702465270528 718552576 2015.5 1.5130 1.2384 1.2218 -0.659 1.343 -0.178 1.576 -0.3748 0.1574 -0.1471 -0.2614 0.0291 -0.2304 -0.0139 0.2792 -0.2630 -0.4060 299 0 298 1 1.5916 332.52 0.962 0.23 31 0 0.0207 1.0592 0.1778 0.024 35 11 1.5743 0 37 0 307 96.53 0.7389 130.635 20.72676673144221 0.00850386234481171 30 41.84 4.775 8.764 21.2973 0.1239 30 161.2 5.912 27.260 19.2437 0.0398 2.103 0 2.053627472959313 0.5705502390716717 1.4830 "" "" 0 "" "" "" NOT_AVAILABLE 233.92182506631 -0.15217875868 118.38551026350 -39.89747156881 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.64177717300 20.8240 -18.66333448400 24.4462 0.13015623265330772 0.12418967595855786
0.169946 0.120793 -0.119543 134.7 "Gaia DR2 3026527702462256896" 112.63950268216 0.4512 -18.66150665145 0.6409 1635721458409799680 3026527702462256896 427800728 2015.5 0.6676 0.8305 0.8039 -2.263 0.951 2.256 1.254 -0.2936 -0.0672 -0.4575 -0.0159 0.2036 0.0134 -0.4914 0.2691 -0.1815 -0.2966 401 0 399 2 8.4668 681.71 2.746 7.8 31 0 0.0332 1.2926 0.1129 0.042 46 13 1.2079 0 48 0 416 151.7 0.8263 183.555 20.23622234465655 0.006182947086071879 40 198.9 8.151 24.403 19.6048 0.0445 41 518.6 10.26 50.534 17.9748 0.0215 4.731 0 1.6300362173765457 -0.6314092691503532 2.2614 "" "" 0 "" "" "" NOT_AVAILABLE 233.91918744549 -0.15318779073 118.38228590836 -39.89610928913 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.63951296900 14.7514 -18.66151636340 19.4463 0.049465778482158856 0.04494270862021164
0.168428 0.120301 -0.117881 134.4 "Gaia DR2 3026527702465269504" 112.63898127838 0.8766 -18.65984436758 0.3261 1635721458409799680 3026527702465269504 968568490 2015.5 "" "" "" "" "" "" "" -0.0670 "" "" "" "" "" "" "" "" "" 79 0 79 0 1.8669 98.31 0.848 1.3 3 0 0.2488 "" "" 0.307 9 7 1.8216 0 10 0 88 551.7 5.083 108.537 18.834122817213274 0.010163929108034661 0 "" "" "" "" "" 0 "" "" "" "" "" "" 0 "" "" "" "" "" 0 "" "" "" NOT_AVAILABLE 233.91749221328 -0.15282251594 118.38122258240 -39.89457903281 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.63898127800 0.8766 -18.65984436760 0.3261 "" ""
0.159003 0.106454 -0.118108 138.0 "Gaia DR2 3026527732526308992" 112.62436646410 0.6222 -18.66008127285 0.7794 1635721458409799680 3026527732526308992 415835080 2015.5 4.9141 1.0981 4.4753 -1.214 1.347 6.116 1.640 -0.5230 -0.0680 -0.2867 -0.1181 0.1757 -0.0756 -0.0427 0.3001 -0.2190 -0.5582 398 0 377 21 42.3439 3131.93 5.684 62 31 0 0.0233 1.1816 0.1240 0.046 47 14 1.6703 0 49 0 419 299.2 1.694 176.617 19.498314602303882 0.006405358284445719 45 81.67 4.765 17.142 20.5712 0.0633 46 410.7 4.315 95.176 18.2281 0.0114 1.645 0 2.343194980113772 1.0729157462645453 1.2702 "" "" 0 "" "" "" NOT_AVAILABLE 233.91104880144 -0.16508083868 118.36359905565 -39.89757372381 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.62437198300 20.8847 -18.66010760550 25.4284 0.06440168804998377 0.06367782653537511
0.166858 0.115346 -0.120569 136.3 "Gaia DR2 3026527698166568832" 112.63375352249 0.0477 -18.66253612223 0.0576 1635721458409799680 3026527698166568832 1399801835 2015.5 0.2603 0.0824 3.1594 -1.309 0.104 1.461 0.126 -0.3047 -0.0005 -0.3523 -0.1172 0.1647 -0.1109 -0.0996 0.1364 -0.0014 -0.4040 366 0 365 1 -0.6291 342.74 0.000 0 31 0 3.1389 1.5280 0.0122 0.045 42 13 0.12632 0 44 0 380 3038 1.806 1682.361 16.982037814486088 0.0019121944287673802 40 1374 8.034 171.087 17.5060 0.0063 40 2483 5.273 470.775 16.2746 0.0023 1.270 0 1.2314487287877007 0.5240003250651952 0.7074 "" "" 0 "" "" "" NOT_AVAILABLE 233.91747382176 -0.15845959004 118.37559676494 -39.89820501128 100001 4938.00 4844.00 5091.00 "" "" "" "" "" "" "" "" "" "" "" "" "" 112.63375947100 1.6091 -18.66254241240 1.9511 0.00715272167306362 0.00677416458851855
0.169168 0.117405 -0.121794 136.1 "Gaia DR2 3026527698166566656" 112.63592839845 0.2465 -18.66375949489 0.3258 1635721458409799680 3026527698166566656 1146076843 2015.5 1.3248 0.4589 2.8868 -2.589 0.541 -0.701 0.710 -0.3082 -0.1089 -0.3168 -0.1607 0.2676 -0.1364 -0.1409 0.0847 0.0694 -0.4092 424 0 422 2 1.5738 463.41 0.544 0.45 31 0 0.1002 1.3297 0.0646 0.046 49 13 0.67319 0 51 0 436 250.9 0.877 286.107 19.689518565175955 0.004200078277721207 45 95.03 4.533 20.964 20.4068 0.0518 45 297.3 5.818 51.092 18.5791 0.0213 1.563 0 1.8277122481717676 0.7172524636858668 1.1104 "" "" 0 "" "" "" NOT_AVAILABLE 233.91953660718 -0.15724003978 118.37854677512 -39.89899261487 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.63594016400 8.3963 -18.66375647700 11.0140 0.056030433500612174 0.051979237530022725
0.174142 0.121457 -0.124794 135.8 "Gaia DR2 3026527698166563456" 112.64020744911 0.1165 -18.66675646046 0.1535 1635721458409799680 3026527698166563456 168773702 2015.5 0.5308 0.2228 2.3823 -2.599 0.247 2.675 0.309 -0.3268 -0.0401 -0.3748 -0.0654 0.1732 -0.0284 -0.2945 0.2690 -0.1757 -0.3543 418 0 416 2 1.0581 441.39 0.167 0.17 31 0 0.4440 1.4438 0.0308 0.048 48 14 0.29963 0 51 0 437 678.8 1.068 635.573 18.609061446084617 0.002481579143764166 44 255.2 5.871 43.474 19.3341 0.0250 45 635.5 5.784 109.871 17.7541 0.0099 1.312 0 1.580112939184481 0.7250943065412656 0.8550 "" "" 0 "" "" "" NOT_AVAILABLE 233.92411259802 -0.15512412003 118.38450450408 -39.90112020742 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.64021926300 3.8314 -18.66676797960 4.7971 0.026962221936210062 0.025136786007816617
0.158470 0.107421 -0.116506 137.3 "Gaia DR2 3026527736830891648" 112.62538570274 0.2226 -18.65847801281 0.2679 1635721458409799680 3026527736830891648 1093173594 2015.5 3.1507 0.4066 7.7492 0.916 0.465 7.471 0.528 -0.3261 0.0309 -0.4593 -0.0303 0.1546 0.0224 -0.3156 0.2903 -0.2955 -0.3411 413 0 412 1 36.9329 2629.36 2.387 62 31 0 0.1379 1.4137 0.0500 0.078 47 14 0.53098 0 49 0 429 1011 2.239 451.512 18.1765221110225 0.0030036981451334547 46 388.7 4.75 81.836 18.8773 0.0133 45 1022 5.693 179.550 17.2381 0.0060 1.396 0 1.6393033188383725 0.7008415033020512 0.9384 "" "" 0 "" "" "" NOT_AVAILABLE 233.91010640748 -0.16346378792 118.36441563503 -39.89581007044 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.62538154000 7.2091 -18.65851018010 8.1934 0.01477025254432527 0.013674996361103127
