DR2Name,RAJ2000_2,DEJ2000_2,Jmag,e_Jmag,JK,eJK,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
Gaia DR2 3026533264445001216,-0.006169603003228589,0.010320499999998844,15.326,0.08,1.971,0.10965856099730655,0.3969,-1.721,2.63,0.2827,0.412,0.45,0.979,0
Gaia DR2 3026539109904098560,0.014636299611292982,0.018236500000000433,12.414,0.027,0.347999999999999,0.0354682957019364,0.4893,-3.308,3.186,0.0579,0.079,0.092,0.972,0
Gaia DR2 3026538869385930368,0.021727113707440848,0.005130499999999927,15.087,0.041,0.8469999999999995,0.08811923740024082,0.5279,-1.205,5.017,0.0807,0.103,0.118,0.969,0
Gaia DR2 3026533165669381504,-0.007305337340731281,-0.015298500000000104,15.406,0.098,1.684000000000001,0.12587692401707312,-0.354,0.036,-2.678,0.3917,0.542,0.611,0.957,0
Gaia DR2 3026545019779115648,-0.01929126858383769,0.0208244999999998,15.459,0.062,0.738999999999999,0.13595955280891445,0.2522,0.073,4.178,0.0966,0.131,0.144,0.949,0
Gaia DR2 3026533234388859520,-0.02067937692639174,0.004598500000000172,14.924,0.046,0.5559999999999992,0.09315041599477697,0.5156,-3.37,-0.395,0.0627,0.085,0.097,0.947,0
Gaia DR2 3026539144263841152,0.0065425797499369855,0.0195805,13.424,0.023,0.35599999999999987,0.0354682957019364,0.624,-0.601,-0.067,0.0267,0.036,0.042,0.94,0
Gaia DR2 3026533200029114112,-0.0011860513888363295,-0.001567500000000166,12.383,0.026,0.3819999999999997,0.03894868418830089,0.9398,-0.526,4.43,0.019,0.025,0.027,0.924,0
Gaia DR2 3026545019779117696,-0.018580961463997982,0.01117749999999873,13.9,0.029,0.4850000000000012,0.048600411520891465,0.4283,-5.487,3.114,0.0389,0.052,0.059,0.919,0
Gaia DR2 3026533195727070080,-0.0028100896483543277,-0.003227500000001271,15.465,0.076,1.520999999999999,0.10607544484940894,4.017,-2.132,6.128,0.5768,0.76,0.846,0.898,0
Gaia DR2 3026539075544365312,0.013482179832413807,0.004066500000000417,12.626,0.027,0.3609999999999989,0.03818376618407356,1.0152,0.305,-2.57,0.0192,0.025,0.028,0.883,0
Gaia DR2 3026538869385935232,0.018445549041529417,-0.004779500000001491,12.884,0.03,0.3760000000000012,0.046861498055439925,0.9116,-3.21,6.147,0.0214,0.026,0.029,0.879,0
Gaia DR2 3026532989566419712,0.009603331869381197,-0.014818500000000512,15.77,0.079,0.8010000000000002,0.1748628033630938,0.5706,3.107,-1.723,0.1436,0.172,0.216,0.823,0
Gaia DR2 3026545019779116672,-0.019577295414017797,0.017927499999998986,14.647,0.032,0.47000000000000064,0.07515317691222374,0.8698,3.685,-8.173,0.0474,0.062,0.067,0.776,0
Gaia DR2 3026533195725523712,-0.0018004444823030857,0.0018044999999986544,14.222,0.071,0.7319999999999993,0.10771258050942796,1.489,-5.597,19.146,0.0439,0.065,0.07,0.762,0
Gaia DR2 3026539109904100992,0.010183568102583978,0.017909499999998246,15.04,0.048,0.5749999999999993,0.11727318534089538,5.4426,-7.134,4.243,0.6202,0.826,0.889,0.727,0
Gaia DR2 3026539178623574272,0.013863967974668791,0.023729499999998183,8.922,0.032,0.9650000000000007,0.038275318418009276,0.547,-1.613,2.348,0.0317,0.042,0.049,0.995,0
Gaia DR2 3026532989567090176,0.004392115131469315,-0.015241500000001906,15.931,nan,1.4989999999999988,nan,-0.0078,-1.795,1.992,0.3823,0.497,0.581,1.0,-1
Gaia DR2 3026533264446544896,-0.007948012132462767,0.0034904999999980646,15.265,nan,1.4090000000000007,nan,1.2166,-0.598,2.563,0.6839,0.882,0.949,0.98,-1
Gaia DR2 3026533264446545280,-0.007442129237994699,0.012865500000000196,15.154,nan,1.3439999999999994,nan,0.0273,-3.052,2.929,0.8851,1.094,1.24,0.98,-1
Gaia DR2 3026533195727069440,-0.004564097000051881,-0.0005515000000002601,12.844,nan,-0.5860000000000003,nan,0.6883,-1.743,2.868,0.2526,0.335,0.383,1.0,-1
Gaia DR2 3026533195727070720,-0.000848500409107153,-0.008321500000000981,14.41,nan,0.2759999999999998,nan,1.634,-2.794,3.305,0.8811,0.993,1.117,0.94,-1
Gaia DR2 3026533200018425600,0.004577378837712625,-0.0002305000000006885,15.812,nan,1.1369999999999987,nan,0.9216,1.432,2.261,0.3183,0.411,0.461,0.92,-1
Gaia DR2 3026533268748593280,-0.008837325760115724,0.0032154999999995937,15.422,nan,1.564,nan,1.1273,-1.035,-0.402,0.7468,0.971,1.054,0.99,-1
Gaia DR2 3026533200018440832,-0.0029836454978813,0.00011650000000074101,11.074,nan,-0.9640000000000004,nan,nan,nan,nan,nan,nan,nan,0.49,-1
Gaia DR2 3026533268748591232,-0.007063626758749009,0.008375499999999647,14.885,0.094,1.6400000000000006,nan,0.8447,-11.469,11.891,0.0526,0.074,0.081,0.75,-1
Gaia DR2 3026533200029115392,5.214251622616806e-05,-0.008213500000000096,14.299,nan,0.2419999999999991,nan,0.3797,-1.596,2.032,0.046,0.058,0.065,1.0,-1
Gaia DR2 3026539075541110400,0.008471334936858092,0.0027985000000008142,16.773,nan,1.8810000000000002,nan,nan,nan,nan,nan,nan,nan,0.55,-1
