#id,ALFA(gaia),DELTA(gaia),V,ERROR,B-V,ERROR,U-B,ERROR,V-I,ERROR
66,239.907138735,-53.7914945945,16.341,0.003,1.383,0.007,0.855,0.034,1.809,0.003
67,239.904004322,-53.7546941186,16.365,0.006,1.543,0.01,INDEF,INDEF,1.681,0.011
68,239.920624447,-53.7505112417,16.369,0.003,1.102,0.006,0.649,0.024,1.538,0.003
69,239.902041287,-53.7740148033,16.387,0.003,0.947,0.005,0.747,0.022,1.328,0.003
70,239.861433552,-53.7212147258,16.397,0.004,1.303,0.008,INDEF,INDEF,1.675,0.004
71,239.919363063,-53.7876921673,16.403,0.003,2.164,0.013,INDEF,INDEF,2.593,0.003
72,239.962617668,-53.7726825629,16.415,0.003,1.244,0.007,0.681,0.028,1.688,0.003
73,239.861630694,-53.7667589783,16.45,0.003,1.695,0.009,INDEF,INDEF,2.271,0.003
74,239.902283944,-53.798812617,16.51,0.003,1.349,0.008,INDEF,INDEF,1.795,0.003
75,239.889837805,-53.7705894031,16.514,0.003,1.352,0.008,INDEF,INDEF,1.83,0.003
76,239.932895031,-53.7966244102,16.525,0.003,1.455,0.008,INDEF,INDEF,1.87,0.003
77,239.871367273,-53.7400019847,16.535,0.003,1.413,0.008,INDEF,INDEF,1.841,0.003
78,239.964496002,-53.7597439402,16.548,0.003,2.269,0.016,INDEF,INDEF,2.678,0.003
79,239.935531382,-53.7956446408,16.621,0.003,1.588,0.009,INDEF,INDEF,2.111,0.003
80,239.947740854,-53.7458777282,16.634,0.003,1.379,0.008,INDEF,INDEF,1.795,0.003
81,239.84456846,-53.7850757897,16.639,0.003,1.035,0.007,INDEF,INDEF,1.402,0.003
82,239.941553125,-53.7745154422,16.653,0.003,1.286,0.008,INDEF,INDEF,1.75,0.003
83,239.928343352,-53.7470272798,16.664,0.003,1.227,0.008,0.663,0.032,1.637,0.003
84,239.874061784,-53.7724929489,16.692,0.003,1.325,0.009,INDEF,INDEF,1.617,0.004
85,239.937670664,-53.7988143018,16.725,0.003,1.136,0.008,0.72,0.034,1.556,0.003
86,239.90281037,-53.7846719138,16.73,0.003,1.726,0.012,INDEF,INDEF,2.394,0.003
87,239.93825046,-53.740914426,16.745,0.003,1.153,0.008,0.504,0.029,1.593,0.004
88,239.963586011,-53.7809156924,16.749,0.004,1.375,0.011,INDEF,INDEF,1.851,0.005
89,239.887588795,-53.7728738859,16.776,0.003,1.247,0.009,0.568,0.036,1.67,0.004
90,239.90467612,-53.7450517936,16.78,0.004,1.263,0.009,INDEF,INDEF,1.729,0.005
91,239.934868314,-53.8037046227,16.78,0.004,1.09,0.009,INDEF,INDEF,1.539,0.004
92,239.839492163,-53.7503083923,16.786,0.003,1.128,0.008,INDEF,INDEF,1.555,0.004
93,239.968475091,-53.7990944324,16.792,0.004,1.42,0.01,INDEF,INDEF,1.895,0.004
94,239.953041776,-53.7277332058,16.843,0.006,1.204,0.01,INDEF,INDEF,1.371,0.006
95,239.880733348,-53.7546528389,16.858,0.004,2.08,0.018,INDEF,INDEF,2.669,0.004
96,239.873842074,-53.8021979752,16.892,0.004,1.83,0.016,INDEF,INDEF,2.213,0.004
97,239.896195017,-53.760637417,16.898,0.004,1.123,0.009,INDEF,INDEF,1.564,0.004
98,239.834741476,-53.7567674343,16.903,0.004,1.399,0.01,INDEF,INDEF,1.848,0.004
99,239.921416922,-53.7450871994,16.905,0.005,1.38,0.011,INDEF,INDEF,1.907,0.007
100,239.967715409,-53.7682472216,16.908,0.004,1.415,0.011,INDEF,INDEF,1.887,0.004
101,239.856640969,-53.7970566621,16.912,0.004,1.146,0.009,INDEF,INDEF,1.519,0.004
102,239.905448345,-53.7845105567,16.933,0.004,1.249,0.009,INDEF,INDEF,1.64,0.004
103,239.966501904,-53.7431033315,16.935,0.004,1.3,0.01,INDEF,INDEF,1.702,0.004
104,239.903829666,-53.7305057442,16.936,0.004,1.319,0.011,INDEF,INDEF,1.743,0.004
105,239.83584106,-53.7806191004,16.938,0.004,1.28,0.01,INDEF,INDEF,1.679,0.004
106,239.928678751,-53.736076159,16.941,0.004,1.303,0.01,INDEF,INDEF,1.777,0.004
107,239.906699103,-53.77898474,16.941,0.004,1.267,0.01,INDEF,INDEF,1.701,0.004
108,239.963872076,-53.7544252809,16.959,0.004,1.327,0.011,INDEF,INDEF,1.838,0.004
109,239.925025616,-53.72675546,16.959,0.006,1.369,0.012,INDEF,INDEF,1.445,0.006
110,239.904451061,-53.7410459523,16.973,0.004,1.61,0.014,INDEF,INDEF,2.133,0.004
111,239.845586507,-53.7760188128,16.993,0.004,1.169,0.009,INDEF,INDEF,1.564,0.004
112,239.950888636,-53.7380679712,17.007,0.004,1.198,0.01,0.407,0.037,1.61,0.004
113,239.909387405,-53.7578271732,17.013,0.009,1.549,0.017,INDEF,INDEF,1.322,0.013
114,239.845029629,-53.7493551712,17.027,0.004,1.463,0.012,INDEF,INDEF,1.902,0.005
115,239.874778379,-53.7432268515,17.048,0.004,1.881,0.018,INDEF,INDEF,2.277,0.004
116,239.960524217,-53.7724963913,17.05,0.004,1.802,0.017,INDEF,INDEF,2.495,0.005
117,239.83915125,-53.7741278844,17.065,0.004,1.309,0.011,INDEF,INDEF,1.705,0.004
118,239.933870779,-53.7319047009,17.073,0.004,1.223,0.011,INDEF,INDEF,1.68,0.004
119,239.844880266,-53.7223329289,17.085,0.004,1.494,0.012,INDEF,INDEF,1.834,0.005
120,239.911043424,-53.7925979524,17.096,0.004,1.966,0.02,INDEF,INDEF,2.348,0.004
121,239.948956921,-53.7286415878,17.096,0.004,1.235,0.011,INDEF,INDEF,1.633,0.004
122,239.856393544,-53.7902381983,17.103,0.004,1.239,0.012,INDEF,INDEF,1.6,0.005
123,239.923331512,-53.7797828848,17.11,0.005,1.318,0.012,INDEF,INDEF,1.705,0.005
124,239.843832878,-53.7871412384,17.12,0.004,1.233,0.011,INDEF,INDEF,1.599,0.005
125,239.957560703,-53.7593822149,17.123,0.004,1.504,0.014,INDEF,INDEF,1.922,0.005
126,239.83627318,-53.7411076893,17.139,0.004,1.253,0.012,INDEF,INDEF,1.656,0.005
127,239.921677977,-53.7302150095,17.162,0.004,1.301,0.012,INDEF,INDEF,1.799,0.005
128,239.950659097,-53.7453027512,17.166,0.004,1.388,0.013,INDEF,INDEF,1.65,0.005
129,239.839408425,-53.768412043,17.179,0.004,1.234,0.012,INDEF,INDEF,1.639,0.005
130,239.909394922,-53.7602796235,17.181,0.009,2.039,0.024,INDEF,INDEF,2.909,0.009
131,239.949182864,-53.7270689605,17.19,0.004,1.523,0.015,INDEF,INDEF,1.969,0.005
132,239.952063875,-53.7262756065,17.229,0.004,1.215,0.014,INDEF,INDEF,1.636,0.005
133,239.84963075,-53.7271684152,17.23,0.004,1.168,0.012,INDEF,INDEF,1.579,0.005
134,239.86874225,-53.7474703094,17.238,0.005,2.005,0.023,INDEF,INDEF,2.651,0.004
135,239.881217835,-53.7236399886,17.243,0.005,1.338,0.013,INDEF,INDEF,1.717,0.005
136,239.893021833,-53.7642903088,17.244,0.006,1.45,0.016,INDEF,INDEF,2.034,0.007
137,239.892144069,-53.7213622624,17.266,0.008,1.431,0.02,INDEF,INDEF,1.765,0.008
138,239.847617318,-53.7576207579,17.27,0.004,1.539,0.016,INDEF,INDEF,1.996,0.004
139,239.939171947,-53.7251634624,17.289,0.004,1.54,0.016,INDEF,INDEF,1.966,0.005
140,239.833812915,-53.7719949085,17.304,0.004,1.288,0.013,INDEF,INDEF,1.729,0.005
141,239.901287776,-53.7542698185,17.304,0.008,1.625,0.02,INDEF,INDEF,1.952,0.011
