#id,ALFA(gaia),DELTA(gaia),V,ERROR,B-V,ERROR,U-B,ERROR,V-I,ERROR
69,257.355903754,-41.5984100205,16.055,0.002,1.233,0.004,0.921,0.024,1.729,0.003
70,257.338454256,-41.5840057146,15.893,0.001,1.141,0.003,0.701,0.016,1.275,0.002
71,257.427938692,-41.5757958223,16.007,0.001,1.141,0.003,0.679,0.017,1.574,0.002
72,257.436914309,-41.6466753684,16.004,0.001,1.052,0.003,0.354,0.013,1.294,0.003
73,257.409683847,-41.6172150386,16.068,0.001,1.214,0.003,0.688,0.019,1.581,0.002
74,257.375677917,-41.6296181201,16.225,0.002,1.42,0.004,0.746,0.027,1.931,0.003
75,257.331913809,-41.6155752689,16.368,0.002,1.53,0.005,0.671,0.032,1.968,0.002
76,257.388476167,-41.6478292022,16.458,0.002,1.499,0.005,INDEF,INDEF,2.061,0.002
77,257.422553091,-41.632194839,16.214,0.001,1.326,0.004,0.727,0.024,1.659,0.002
78,257.369948851,-41.6071264731,17.167,0.003,2.395,0.019,INDEF,INDEF,2.812,0.003
79,257.430815752,-41.5774238243,16.101,0.002,1.048,0.003,0.589,0.016,1.33,0.003
80,257.383627733,-41.6152806462,16.278,0.003,1.168,0.004,0.912,0.022,1.667,0.004
81,257.377502199,-41.5974392765,16.21,0.002,1.337,0.004,INDEF,INDEF,1.51,0.002
82,257.414513584,-41.5987410735,17.044,0.003,2.328,0.017,INDEF,INDEF,2.607,0.003
83,257.335838875,-41.606096153,16.738,0.002,1.654,0.008,INDEF,INDEF,2.136,0.002
84,257.341548522,-41.5892734934,16.852,0.002,1.953,0.01,INDEF,INDEF,2.279,0.003
85,257.339413203,-41.5875930173,16.588,0.003,1.407,0.006,INDEF,INDEF,1.866,0.004
86,257.376605151,-41.6436250004,16.643,0.002,1.511,0.007,INDEF,INDEF,1.911,0.003
87,257.33042686,-41.5928523282,16.673,0.002,1.483,0.007,INDEF,INDEF,1.948,0.003
88,257.410765306,-41.5713309214,16.568,0.003,1.509,0.006,INDEF,INDEF,1.722,0.003
89,257.372732136,-41.6369488633,16.874,0.002,1.755,0.008,INDEF,INDEF,2.18,0.003
90,257.43863534,-41.644565276,16.609,0.002,1.121,0.005,0.6,0.027,INDEF,INDEF
91,257.36097982,-41.5940893758,16.742,0.002,1.335,0.006,INDEF,INDEF,1.738,0.003
92,257.420134576,-41.6494670553,16.732,0.002,1.314,0.006,INDEF,INDEF,1.694,0.003
93,257.440298273,-41.6017856492,16.71,0.004,1.186,0.007,INDEF,INDEF,1.53,0.005
94,257.334339397,-41.6463480618,16.678,0.004,1.228,0.007,INDEF,INDEF,1.519,0.005
95,257.381225771,-41.599818241,16.843,0.003,1.224,0.006,INDEF,INDEF,1.794,0.005
96,257.366925471,-41.6305160075,17.072,0.003,1.572,0.009,INDEF,INDEF,2.057,0.003
97,257.354758491,-41.6123593274,17.126,0.003,1.682,0.01,INDEF,INDEF,2.104,0.004
98,257.365430248,-41.649870159,17.082,0.003,1.632,0.009,INDEF,INDEF,2.007,0.004
99,257.411021518,-41.583551116,16.752,0.005,1.145,0.008,0.633,0.031,1.447,0.006
100,257.402205789,-41.6171799488,17.457,0.004,2.139,0.02,INDEF,INDEF,2.374,0.004
101,257.393466402,-41.5906318655,17.082,0.003,1.537,0.01,INDEF,INDEF,1.987,0.004
102,257.431429656,-41.6175589591,16.825,0.002,1.072,0.005,0.696,0.033,1.38,0.003
103,257.379737277,-41.6445363229,17.034,0.003,1.421,0.008,INDEF,INDEF,1.799,0.003
104,257.338335405,-41.5775942408,17.146,0.003,1.462,0.009,INDEF,INDEF,1.93,0.004
105,257.412304883,-41.6196504475,17.021,0.004,1.524,0.009,INDEF,INDEF,1.818,0.006
106,257.392780637,-41.5836464457,16.93,0.002,1.269,0.007,0.664,0.046,1.551,0.003
107,257.404278471,-41.61016501,16.817,0.007,1.424,0.01,0.685,0.043,INDEF,INDEF
108,257.367615503,-41.6481977623,17.215,0.004,1.615,0.011,INDEF,INDEF,2.018,0.005
109,257.363698942,-41.5856434236,17.43,0.004,1.695,0.013,INDEF,INDEF,2.238,0.005
110,257.349981637,-41.6260916952,17.203,0.003,1.497,0.01,INDEF,INDEF,1.92,0.004
111,257.339781131,-41.6442927416,17.199,0.003,1.415,0.043,INDEF,INDEF,1.856,0.004
112,257.391203756,-41.5962444028,17.195,0.003,1.448,0.021,INDEF,INDEF,2.48,0.009
113,257.420962685,-41.5740509729,18.11,0.006,2.745,0.062,INDEF,INDEF,2.809,0.006
114,257.37708434,-41.6100556893,17.499,0.004,1.632,0.013,INDEF,INDEF,2.161,0.005
115,257.349455584,-41.6147337334,17.391,0.003,1.682,0.013,INDEF,INDEF,1.994,0.004
116,257.415291141,-41.6342256639,17.486,0.004,1.731,0.014,INDEF,INDEF,2.072,0.005
117,257.401097928,-41.607644343,17.196,0.003,1.299,0.008,INDEF,INDEF,1.615,0.004
118,257.352991363,-41.5794150621,17.281,0.003,1.435,0.01,0.562,0.06,1.758,0.004
119,257.404033478,-41.6126867536,17.359,0.004,1.53,0.011,INDEF,INDEF,1.917,0.005
120,257.364160438,-41.5706935315,17.412,0.003,1.422,0.01,INDEF,INDEF,1.9,0.004
121,257.335827963,-41.6218340172,17.367,0.003,1.385,0.01,INDEF,INDEF,1.838,0.004
122,257.335714807,-41.633937849,17.342,0.004,1.362,0.01,INDEF,INDEF,1.776,0.005
123,257.368407907,-41.6097697551,17.431,0.004,1.498,0.012,INDEF,INDEF,1.897,0.005
124,257.329718062,-41.573788511,17.697,0.004,1.619,0.017,INDEF,INDEF,2.208,0.005
125,257.440312158,-41.6084712719,17.357,0.004,1.464,0.012,1.285,0.14,1.698,0.005
126,257.362522919,-41.6150895895,17.746,0.004,1.694,0.017,INDEF,INDEF,2.191,0.004
127,257.407242676,-41.6077445225,17.408,0.004,1.43,0.011,INDEF,INDEF,1.769,0.005
128,257.41981185,-41.6380932964,17.53,0.004,1.472,0.012,INDEF,INDEF,1.917,0.005
129,257.386650741,-41.6070866079,17.693,0.004,1.703,0.017,INDEF,INDEF,2.542,0.007
130,257.391167698,-41.6266826645,17.553,0.004,1.41,0.012,INDEF,INDEF,1.909,0.005
131,257.422181282,-41.6381924932,17.344,0.007,1.159,0.01,INDEF,INDEF,1.599,0.009
132,257.391899251,-41.6343089656,18.025,0.006,1.98,0.027,INDEF,INDEF,2.491,0.007
133,257.43112401,-41.6261471014,17.445,0.004,1.162,0.01,INDEF,INDEF,1.724,0.005
134,257.424017277,-41.6138645484,17.786,0.005,1.506,0.017,INDEF,INDEF,2.137,0.005
135,257.432348266,-41.5823198691,17.498,0.004,1.357,0.011,INDEF,INDEF,1.693,0.005
136,257.383150884,-41.6083553924,17.554,0.005,1.504,0.015,INDEF,INDEF,1.884,0.009
137,257.35264941,-41.5869798948,17.47,0.005,1.517,0.014,INDEF,INDEF,1.65,0.006
138,257.416983338,-41.6165243443,17.603,0.004,1.485,0.062,INDEF,INDEF,1.797,0.006
139,257.332870003,-41.573190145,17.448,0.004,1.376,0.01,INDEF,INDEF,1.559,0.005
140,257.401277363,-41.6190501944,17.674,0.004,1.526,0.014,INDEF,INDEF,1.866,0.005
141,257.407320273,-41.5896963545,17.551,0.005,1.4,0.013,INDEF,INDEF,1.668,0.007
142,257.369566714,-41.5792247501,17.284,0.017,1.406,0.019,INDEF,INDEF,INDEF,INDEF
143,257.421159052,-41.6023980117,17.63,0.005,1.466,0.014,INDEF,INDEF,1.753,0.006
144,257.410538721,-41.5902645084,17.57,0.004,1.281,0.011,INDEF,INDEF,1.583,0.005
145,257.33172741,-41.6241736655,18.069,0.006,1.819,0.026,INDEF,INDEF,2.32,0.007
146,257.355656422,-41.577524835,17.824,0.005,1.67,0.018,INDEF,INDEF,1.912,0.006
147,257.381399649,-41.6495341443,17.816,0.005,1.504,0.015,INDEF,INDEF,1.903,0.006
148,257.376840592,-41.621507388,18.184,0.006,1.879,0.029,INDEF,INDEF,2.354,0.007
149,257.405101449,-41.6145122299,17.773,0.005,1.4,0.014,INDEF,INDEF,1.817,0.006
150,257.417914656,-41.5736981876,17.441,0.043,1.281,0.042,INDEF,INDEF,INDEF,INDEF
151,257.341865444,-41.6467930479,18.367,0.007,1.649,0.03,INDEF,INDEF,2.495,0.008
152,257.39812925,-41.6166042173,18.326,0.007,2.114,0.042,INDEF,INDEF,2.435,0.008
153,257.416982674,-41.6115647913,17.799,0.005,1.473,0.016,INDEF,INDEF,1.802,0.006
154,257.393592259,-41.6219643727,18.222,0.007,2.044,0.036,INDEF,INDEF,2.339,0.008
155,257.412469031,-41.6463484194,17.825,0.005,1.723,0.025,INDEF,INDEF,1.781,0.006
156,257.405040371,-41.6018176005,18.036,0.005,1.695,0.021,INDEF,INDEF,2.152,0.006
157,257.386312796,-41.6455238488,19.106,0.014,3.052,0.208,INDEF,INDEF,3.138,0.015
158,257.436609458,-41.6412949163,17.948,0.007,1.318,0.018,INDEF,INDEF,1.935,0.008
159,257.371628696,-41.6160577095,18.131,0.006,1.696,0.024,INDEF,INDEF,2.216,0.007
160,257.379929122,-41.5916653851,18.051,0.006,1.698,0.022,INDEF,INDEF,2.051,0.007
162,257.410858405,-41.5805240136,17.893,0.006,1.354,0.015,INDEF,INDEF,1.901,0.008
163,257.392124251,-41.5855037242,18.06,0.006,1.587,0.021,INDEF,INDEF,2.019,0.007
164,257.348241445,-41.5748020293,18.328,0.007,1.981,0.037,INDEF,INDEF,2.317,0.008
165,257.409250342,-41.5932047465,17.857,0.005,1.445,0.015,INDEF,INDEF,1.705,0.007
166,257.335238327,-41.6266660461,18.061,0.006,1.569,0.02,INDEF,INDEF,1.975,0.007
167,257.343545595,-41.6514919091,18.298,0.007,1.738,0.03,INDEF,INDEF,2.23,0.008
168,257.364370516,-41.6074598247,18.163,0.006,1.566,0.022,INDEF,INDEF,2.051,0.007
169,257.384720241,-41.5910330574,18.054,0.006,1.63,0.022,INDEF,INDEF,1.912,0.007
170,257.368914914,-41.6465246342,18.14,0.008,1.656,0.024,INDEF,INDEF,2.026,0.009
171,257.368265695,-41.642591988,17.957,0.007,1.813,0.024,INDEF,INDEF,1.81,0.012
173,257.421938812,-41.6264964287,18.206,0.007,1.674,0.026,INDEF,INDEF,2.03,0.008
174,257.418996918,-41.6108004643,17.994,0.006,1.316,0.017,INDEF,INDEF,1.692,0.007
175,257.426019577,-41.6133550751,18.072,0.007,1.68,0.023,INDEF,INDEF,1.801,0.008
176,257.346677264,-41.6238378114,18.5,0.008,1.753,0.036,INDEF,INDEF,2.301,0.009
177,257.334571973,-41.6351751057,18.232,0.006,1.528,0.024,INDEF,INDEF,1.955,0.007
178,257.42795014,-41.6013596938,18.074,0.006,1.532,0.019,INDEF,INDEF,1.685,0.008
179,257.360542632,-41.5721894595,18.266,0.007,1.607,0.026,INDEF,INDEF,1.955,0.009
180,257.396465151,-41.6063825357,18.048,0.008,1.668,0.023,INDEF,INDEF,1.557,0.015
181,257.421974484,-41.6414851746,18.193,0.006,1.319,0.018,INDEF,INDEF,1.79,0.007
182,257.362120111,-41.6452354542,18.455,0.008,1.652,0.031,INDEF,INDEF,2.089,0.009
183,257.330883015,-41.6211305937,18.567,0.009,1.598,0.036,INDEF,INDEF,2.213,0.01
184,257.401515771,-41.6244173401,18.57,0.009,2.155,0.054,INDEF,INDEF,2.23,0.01
185,257.365171511,-41.5888936522,18.424,0.007,1.693,0.032,INDEF,INDEF,2.073,0.008
186,257.384035982,-41.5945618341,18.439,0.009,1.582,0.03,INDEF,INDEF,2.02,0.01
187,257.417824127,-41.6145463228,18.472,0.009,1.438,0.026,INDEF,INDEF,2.04,0.01
188,257.333268899,-41.6447061383,18.198,0.01,1.469,0.024,INDEF,INDEF,1.808,0.02
189,257.438072283,-41.5934480206,18.246,0.008,1.564,0.025,INDEF,INDEF,1.688,0.01
190,257.367866563,-41.5848984791,18.579,0.011,1.602,0.034,INDEF,INDEF,2.1,0.013
191,257.365263478,-41.5789782629,18.669,0.01,1.877,0.047,INDEF,INDEF,2.162,0.011
192,257.367971661,-41.6205441785,18.742,0.01,1.811,0.046,INDEF,INDEF,2.211,0.011
193,257.396156038,-41.6337304144,18.378,0.007,1.47,0.027,INDEF,INDEF,1.767,0.009
194,257.434273698,-41.6206279848,18.578,0.009,1.753,0.038,INDEF,INDEF,1.994,0.01
195,257.34647883,-41.5824591802,18.457,0.008,1.581,0.028,INDEF,INDEF,1.96,0.013
196,257.41838636,-41.581917014,18.42,0.007,1.675,0.029,INDEF,INDEF,1.771,0.009
197,257.411322809,-41.6151281704,18.591,0.01,1.824,0.04,INDEF,INDEF,1.962,0.012
198,257.414742264,-41.6076112294,18.659,0.009,2.243,0.06,INDEF,INDEF,2.023,0.011
199,257.345787732,-41.5899112826,18.984,0.012,2.542,0.113,INDEF,INDEF,2.334,0.013
200,257.420014187,-41.5972535008,18.612,0.009,1.713,0.038,INDEF,INDEF,1.926,0.01
201,257.403954771,-41.5800855035,18.548,0.008,1.606,0.031,INDEF,INDEF,1.93,0.012
202,257.395211043,-41.590914676,18.722,0.01,1.644,0.04,INDEF,INDEF,2.279,0.015
203,257.381017109,-41.6268076566,18.615,0.009,1.701,0.037,INDEF,INDEF,2.031,0.015
204,257.431832051,-41.5674984718,18.483,0.009,1.529,0.029,INDEF,INDEF,1.803,0.02
205,257.367277914,-41.572066241,18.551,0.008,1.629,0.033,INDEF,INDEF,1.914,0.014
206,257.434316394,-41.6002370503,18.826,0.011,2.105,0.069,INDEF,INDEF,2.298,0.015
207,257.374457454,-41.6312146434,18.571,0.011,1.975,0.047,INDEF,INDEF,2.012,0.028
208,257.346449296,-41.5943022259,18.765,0.01,1.855,0.049,INDEF,INDEF,2.074,0.014
209,257.433448969,-41.6193374349,18.904,0.011,2.279,0.083,INDEF,INDEF,2.294,0.016
210,257.38308773,-41.585753874,18.78,0.01,1.697,0.042,INDEF,INDEF,1.989,0.016
211,257.379902031,-41.6393560699,18.99,0.012,1.969,0.064,INDEF,INDEF,2.269,0.016
212,257.37790537,-41.6002853995,19.205,0.015,1.834,0.07,INDEF,INDEF,2.468,0.019
213,257.338258221,-41.5731584212,18.837,0.011,1.714,0.049,INDEF,INDEF,1.961,0.017
214,257.368993208,-41.6133550859,19.315,0.016,2.322,0.125,INDEF,INDEF,2.581,0.02
215,257.412783302,-41.6356812434,18.916,0.011,2.014,0.069,INDEF,INDEF,1.978,0.019
216,257.434234655,-41.575097738,18.972,0.014,1.676,0.052,INDEF,INDEF,2.011,0.02
217,257.411831306,-41.599439402,18.974,0.012,2.501,0.105,INDEF,INDEF,1.778,0.022
218,257.357073243,-41.5813398717,19.112,0.013,2.256,0.098,INDEF,INDEF,2.105,0.02
219,257.430953134,-41.5952569324,19.142,0.014,1.949,0.093,INDEF,INDEF,2.097,0.02
220,257.374412478,-41.5927009141,19.06,0.155,2.197,0.17,INDEF,INDEF,1.869,0.156
221,257.329741008,-41.582296819,19.001,0.012,2.501,0.114,INDEF,INDEF,INDEF,INDEF
222,257.391917586,-41.5731050378,19.045,0.013,1.679,0.054,INDEF,INDEF,INDEF,INDEF
223,257.423814694,-41.6458605774,19.338,0.016,1.905,0.089,INDEF,INDEF,2.222,0.023
224,257.384464937,-41.5749150092,19.177,0.014,1.778,0.066,INDEF,INDEF,1.935,0.023
225,257.43126347,-41.5921843881,19.617,0.023,3.039,0.33,INDEF,INDEF,2.494,0.029
226,257.40521051,-41.5841449876,19.168,0.014,1.623,0.056,INDEF,INDEF,1.866,0.023
227,257.395399701,-41.6282158562,19.7,0.023,2.775,0.27,INDEF,INDEF,2.559,0.028
228,257.398120349,-41.6187123565,19.289,0.016,1.798,0.074,INDEF,INDEF,2.027,0.025
229,257.428849894,-41.5913816819,19.242,0.015,1.644,0.063,INDEF,INDEF,1.924,0.024
230,257.335824515,-41.5949444985,19.26,0.015,1.888,0.077,INDEF,INDEF,1.858,0.027
231,257.434327672,-41.5908858208,19.447,0.018,2.781,0.223,INDEF,INDEF,2.07,0.026
232,257.401213486,-41.603552305,19.876,0.028,1.972,0.149,INDEF,INDEF,2.611,0.034
233,257.40934299,-41.5684988067,19.293,0.017,1.607,0.062,INDEF,INDEF,INDEF,INDEF
234,257.387851936,-41.5690536166,19.702,0.022,1.571,0.088,INDEF,INDEF,2.324,0.03
235,257.405795863,-41.5698153716,19.389,0.018,1.317,0.052,INDEF,INDEF,INDEF,INDEF
236,257.37844745,-41.6164772454,19.448,0.019,1.69,0.077,INDEF,INDEF,INDEF,INDEF
237,257.431021337,-41.5881119373,19.655,0.023,2.841,0.287,INDEF,INDEF,INDEF,INDEF
238,257.42469929,-41.5926666508,19.899,0.027,2.446,0.243,INDEF,INDEF,2.128,0.04
239,257.374717384,-41.6203910025,20.554,0.047,2.317,0.379,INDEF,INDEF,2.774,0.055
