#id,ALFA(gaia),DELTA(gaia),V,ERROR,B-V,ERROR,U-B,ERROR,V-I,ERROR
2,257.408354719,-41.647532467,13.167,0.001,0.877,0.001,0.365,0.003,1.213,0.001
3,257.411039548,-41.627237519,13.975,0.001,2.442,0.003,2.682,0.041,2.898,0.001
4,257.414297164,-41.6037908281,13.32,0.001,0.715,0.001,0.154,0.002,0.824,0.001
5,257.438553277,-41.6053886124,13.441,0.001,1.815,0.002,1.756,0.009,2,0.001
6,257.435744041,-41.6053526589,13.421,0.001,1.064,0.001,0.557,0.003,1.187,0.001
7,257.438938437,-41.6183791339,13.546,0.001,0.869,0.001,0.494,0.003,1.149,0.001
8,257.352357987,-41.6138047627,14.088,0.001,2.324,0.002,2.198,0.028,2.679,0.001
9,257.355337673,-41.589259562,13.89,0.001,1.94,0.002,1.662,0.011,2.264,0.001
10,257.340345653,-41.5990474073,13.725,0.001,0.875,0.001,0.4,0.003,1.186,0.001
11,257.385581396,-41.618857755,13.767,0.001,1.09,0.001,0.684,0.003,1.487,0.001
12,257.409117912,-41.6502220641,13.79,0.001,0.847,0.001,0.419,0.004,1.118,0.001
13,257.392064183,-41.5791085771,13.856,0.001,0.839,0.001,0.412,0.004,1.152,0.001
14,257.405077459,-41.5917546159,14.029,0.001,1.79,0.002,1.516,0.01,2.031,0.001
15,257.357925104,-41.635420238,13.968,0.001,1.126,0.002,0.588,0.004,1.287,0.001
16,257.427927517,-41.5979154299,14.17,0.001,0.854,0.002,0.172,0.003,1.013,0.001
17,257.433555508,-41.5705262994,14.714,0.001,1.734,0.002,1.321,0.015,2.065,0.002
18,257.437147838,-41.6440339613,15.142,0.001,2.132,0.004,INDEF,INDEF,2.483,0.001
19,257.438630879,-41.6258008598,14.837,0.001,1.834,0.002,1.718,0.024,2.084,0.002
20,257.425453037,-41.5829521275,14.998,0.001,1.985,0.003,2.003,0.041,2.226,0.002
21,257.390807228,-41.5824040784,14.648,0.001,0.842,0.002,0.342,0.005,1.173,0.002
22,257.432303379,-41.6035017044,15.039,0.001,2.018,0.003,INDEF,INDEF,2.218,0.002
23,257.419783416,-41.5793848858,14.975,0.001,1.9,0.002,1.785,0.029,2.165,0.002
24,257.365909071,-41.65199919,15.242,0.001,2.043,0.004,INDEF,INDEF,2.402,0.002
25,257.410859041,-41.6401090236,14.766,0.001,1.083,0.002,0.645,0.006,1.346,0.002
26,257.435792294,-41.6169097888,15.179,0.001,1.992,0.003,INDEF,INDEF,2.23,0.002
27,257.43616987,-41.6099291806,14.86,0.001,0.995,0.002,0.269,0.006,1.315,0.002
28,257.406915675,-41.6311906923,14.901,0.001,0.992,0.002,0.572,0.006,1.331,0.002
29,257.382548342,-41.5911223011,15.417,0.001,2.154,0.004,INDEF,INDEF,2.387,0.002
30,257.33689865,-41.6109134257,15.561,0.001,2.215,0.005,INDEF,INDEF,2.563,0.002
31,257.334214587,-41.5907745304,14.989,0.001,1.244,0.002,0.563,0.008,1.534,0.002
32,257.35165088,-41.6463036919,15.599,0.001,2.194,0.005,INDEF,INDEF,2.578,0.002
33,257.416431858,-41.6002413404,15.346,0.001,2.017,0.003,1.396,0.054,2.213,0.002
34,257.344911472,-41.5789354754,15.061,0.001,0.936,0.002,0.55,0.007,1.26,0.002
35,257.359020386,-41.598914443,15.095,0.004,1.082,0.004,0.758,0.009,1.37,0.005
36,257.402259748,-41.6474610116,15.886,0.001,2.304,0.007,INDEF,INDEF,2.702,0.002
37,257.328296567,-41.5770857461,15.117,0.003,1.267,0.003,0.477,0.008,INDEF,INDEF
38,257.439647224,-41.5988464312,15.17,0.005,0.615,0.006,0.653,0.007,1.107,0.006
39,257.406009071,-41.618878499,15.101,0.001,0.905,0.002,0.261,0.006,1.028,0.002
40,257.408683226,-41.582991143,15.535,0.001,1.853,0.004,INDEF,INDEF,2.159,0.002
41,257.36233626,-41.5994183156,15.363,0.001,1.387,0.002,0.927,0.015,1.806,0.002
42,257.405397946,-41.6344292402,15.647,0.001,1.716,0.003,1.156,0.028,2.271,0.002
43,257.394361024,-41.5819062114,15.82,0.001,2.127,0.006,INDEF,INDEF,2.422,0.002
44,257.424826912,-41.6290497894,15.395,0.001,1.241,0.002,0.647,0.011,1.617,0.002
45,257.379786219,-41.6330711064,16.994,0.003,2.888,0.027,INDEF,INDEF,3.493,0.003
46,257.40005872,-41.6324277676,15.395,0.001,1.216,0.002,0.715,0.011,1.551,0.002
47,257.419659621,-41.6327354464,15.975,0.001,2.207,0.006,INDEF,INDEF,2.491,0.002
48,257.43111743,-41.5734911619,15.339,0.001,0.928,0.002,0.28,0.007,1.105,0.002
49,257.356334678,-41.5939301193,16.006,0.003,1.829,0.005,INDEF,INDEF,2.638,0.003
50,257.377105361,-41.6469496757,15.897,0.001,1.945,0.005,INDEF,INDEF,2.324,0.002
51,257.378056186,-41.595877619,15.991,0.001,2.121,0.006,INDEF,INDEF,2.416,0.002
52,257.388636383,-41.5998763761,15.929,0.001,2.145,0.006,INDEF,INDEF,2.409,0.002
53,257.349374383,-41.6116309479,16.049,0.001,2.052,0.006,INDEF,INDEF,2.391,0.002
54,257.396816064,-41.6315376706,15.894,0.001,1.715,0.004,1.163,0.037,2.095,0.002
55,257.440864563,-41.6396103208,15.706,0.001,1.421,0.003,1.281,0.026,1.717,0.002
56,257.432980527,-41.610854945,15.57,0.001,1.044,0.002,0.613,0.01,1.323,0.002
57,257.346054143,-41.6406170752,15.701,0.001,1.239,0.003,0.824,0.016,1.66,0.002
58,257.418542064,-41.6216008186,16.187,0.001,2.153,0.008,INDEF,INDEF,2.463,0.002
59,257.422568948,-41.6159894543,15.88,0.001,1.557,0.003,0.996,0.027,1.996,0.002
60,257.422779539,-41.6037104264,17.226,0.003,2.772,0.03,INDEF,INDEF,3.382,0.003
61,257.340355186,-41.5813244325,15.691,0.001,0.959,0.002,0.622,0.013,1.294,0.002
62,257.332404423,-41.6066624734,15.839,0.001,1.238,0.003,0.738,0.016,1.607,0.002
63,257.368171116,-41.5748695191,15.706,0.001,0.876,0.002,0.077,0.007,1.084,0.002
64,257.330772715,-41.5953016868,15.801,0.002,0.78,0.004,0.436,0.011,1.148,0.003
65,257.378829671,-41.6299152583,16.202,0.002,1.559,0.005,INDEF,INDEF,2.029,0.002
66,257.430926617,-41.5800772747,15.88,0.001,1.186,0.003,0.495,0.014,1.474,0.002
67,257.398217388,-41.5790316474,15.884,0.001,1.102,0.002,0.675,0.016,1.236,0.002
68,257.430864145,-41.6128431022,16.493,0.004,1.969,0.009,INDEF,INDEF,2.412,0.004
