#id,ALFA(gaia),DELTA(gaia),V,ERROR,B-V,ERROR,U-B,ERROR,V-I,ERROR
1,254.952557879,-40.1986262154,9.748,0.001,1.819,0.001,1.853,0.002,3.411,0.001
2,254.953525028,-40.2332632522,11.975,0.001,1.625,0.001,1.848,0.004,1.767,0.001
3,254.883833431,-40.19786953,12.478,0.001,0.404,0.001,0.197,0.002,0.5,0.001
4,254.944293185,-40.2100912217,12.614,0.001,0.442,0.001,0.256,0.002,0.548,0.001
5,254.910657476,-40.1900207764,13.284,0.001,1.599,0.001,0.26,0.004,2.46,0.001
6,254.858441824,-40.2074572827,14.058,0.001,0.81,0.002,0.237,0.004,1.005,0.002
7,254.860485701,-40.1860804653,14.292,0.001,1.59,0.002,1.805,0.02,1.681,0.002
8,254.960164924,-40.2242047172,14.606,0.002,0.898,0.002,0.329,0.006,1.162,0.002
9,254.880258525,-40.2440800426,14.638,0.001,0.881,0.002,0.35,0.006,1.066,0.002
10,254.943296437,-40.2263939171,14.649,0.001,0.947,0.002,0.406,0.006,1.125,0.002
11,254.868397947,-40.2107117769,14.69,0.001,0.784,0.002,0.273,0.006,0.992,0.002
12,254.95735251,-40.1736663401,14.694,0.001,0.784,0.002,0.324,0.006,1.048,0.002
13,254.891087999,-40.2192958776,14.826,0.001,1.343,0.003,1.19,0.017,1.489,0.002
14,254.960074206,-40.1737889044,15.043,0.001,0.929,0.002,0.348,0.008,1.181,0.002
16,254.873397729,-40.2141041776,15.266,0.002,0.917,0.003,0.4,0.01,1.181,0.002
17,254.88587704,-40.176732991,15.355,0.002,0.941,0.003,0.356,0.011,1.083,0.002
18,254.901808461,-40.208607978,15.399,0.002,1.005,0.003,0.472,0.012,1.189,0.002
19,254.956439117,-40.2357764868,15.427,0.002,0.957,0.003,0.355,0.011,1.211,0.002
20,254.894003054,-40.1835103865,15.577,0.002,0.879,0.003,0.295,0.011,1.121,0.002
21,254.902516023,-40.2138328634,15.582,0.002,0.941,0.003,0.357,0.012,1.134,0.002
22,254.93014477,-40.1688952652,15.776,0.002,1.331,0.005,1.052,0.033,1.572,0.002
23,254.930125946,-40.192205203,15.906,0.002,1.032,0.005,0.455,0.027,1.223,0.003
24,254.889179549,-40.2272413707,15.924,0.002,0.866,0.004,0.274,0.014,1.111,0.003
25,254.906047781,-40.1913123963,15.95,0.002,1.535,0.006,0.401,0.028,2.396,0.002
26,254.872099285,-40.1851722407,16.053,0.002,1.15,0.005,0.684,0.028,1.348,0.003
27,254.939093858,-40.2356316416,16.073,0.002,1.102,0.005,INDEF,INDEF,1.256,0.003
28,254.929760926,-40.1931076492,16.144,0.003,1.01,0.007,0.436,0.031,1.213,0.004
29,254.927937047,-40.2231901301,16.162,0.002,1.65,0.008,1.439,0.078,2.079,0.002
30,254.942769683,-40.1768549327,16.203,0.003,1.021,0.006,0.428,0.023,1.263,0.003
31,254.914058692,-40.2321284474,16.313,0.003,1.624,0.009,INDEF,INDEF,1.858,0.003
