#id,ALFA(gaia),DELTA(gaia),V,ERROR,B-V,ERROR,U-B,ERROR,V-I,ERROR
32,254.883965482,-40.1696987936,16.33,0.003,1.004,0.006,0.334,0.024,1.203,0.003
33,254.906393233,-40.1835657701,16.443,0.003,1.144,0.007,0.626,0.035,1.352,0.003
34,254.86138894,-40.2122742548,16.57,0.003,1.17,0.007,0.638,0.044,1.647,0.003
35,254.934382597,-40.182291073,16.796,0.004,1.095,0.01,INDEF,INDEF,1.321,0.004
36,254.870631784,-40.2152409543,16.837,0.004,1.054,0.008,0.437,0.041,1.412,0.004
37,254.876576495,-40.2296107469,16.976,0.004,1.167,0.011,INDEF,INDEF,1.334,0.004
38,254.895980654,-40.2144617129,17.137,0.004,1.148,0.012,INDEF,INDEF,1.33,0.005
39,254.964953321,-40.2360606404,17.142,0.004,1.311,0.014,INDEF,INDEF,1.496,0.005
40,254.952974148,-40.2028227032,17.162,0.006,1.267,0.016,INDEF,INDEF,INDEF,0
41,254.906336482,-40.1787877883,17.163,0.004,1.198,0.012,INDEF,INDEF,1.377,0.005
42,254.925046492,-40.2352667873,17.185,0.004,1.218,0.013,INDEF,INDEF,1.427,0.005
43,254.90284269,-40.248828707,17.212,0.004,1.126,0.013,INDEF,INDEF,1.362,0.005
44,254.921027571,-40.20174654,17.235,0.004,1.2,0.014,INDEF,INDEF,1.464,0.005
45,254.891492695,-40.2234017855,17.243,0.005,1.235,0.046,INDEF,INDEF,1.391,0.005
46,254.959412657,-40.1963014488,17.332,0.005,1.26,0.016,INDEF,INDEF,1.805,0.008
47,254.935636156,-40.2231541314,17.372,0.005,1.875,0.029,INDEF,INDEF,2.896,0.005
48,254.904100525,-40.2299694653,17.475,0.005,1.215,0.017,INDEF,INDEF,1.449,0.006
49,254.876554155,-40.221956609,17.507,0.005,1.298,0.019,INDEF,INDEF,1.469,0.006
50,254.867098498,-40.2408737519,17.561,0.006,1.076,0.016,INDEF,INDEF,1.335,0.007
51,254.90419064,-40.1987244057,17.581,0.006,1.158,0.019,INDEF,INDEF,1.377,0.007
52,254.900985154,-40.1948680155,17.648,0.006,1.055,0.018,INDEF,INDEF,1.376,0.007
53,254.936183285,-40.2066650437,17.713,0.006,1.404,0.025,INDEF,INDEF,1.761,0.007
54,254.879214802,-40.2173156023,17.758,0.007,1.345,0.023,INDEF,INDEF,1.476,0.008
55,254.915052524,-40.2447391374,17.887,0.007,1.256,0.027,INDEF,INDEF,1.465,0.008
56,254.880326885,-40.2233858776,17.931,0.008,1.286,0.028,INDEF,INDEF,1.537,0.009
57,254.872378157,-40.201188119,17.969,0.008,1.552,0.035,INDEF,INDEF,1.792,0.009
58,254.882898313,-40.2198736615,18.141,0.01,1.393,0.036,INDEF,INDEF,1.639,0.01
59,254.905898541,-40.2474233222,18.19,0.01,1.433,0.039,INDEF,INDEF,1.787,0.01
60,254.913527916,-40.2219018155,18.296,0.011,1.15,0.034,INDEF,INDEF,1.592,0.011
61,254.908280742,-40.2277669251,18.348,0.011,1.326,0.041,INDEF,INDEF,1.722,0.012
62,254.891075148,-40.2396201581,18.458,0.014,1.351,0.048,INDEF,INDEF,1.813,0.014
63,254.858441824,-40.2074572827,14.059,0.001,0.818,0.002,0.227,0.004,1.006,0.002
64,254.897082091,-40.1925129213,15.543,0.002,1.529,0.007,0.09,0.018,2.417,0.003
65,254.888821529,-40.2345344874,15.774,0.005,1.631,0.009,INDEF,INDEF,2.029,0.007
66,254.89721926,-40.1915278267,15.917,0.002,1.221,0.007,INDEF,INDEF,1.31,0.013
67,254.941324617,-40.2482029198,16.428,0.003,1.021,0.006,0.383,0.028,1.27,0.003
68,254.867090783,-40.1733418497,16.716,0.003,0.988,0.008,0.257,0.031,1.193,0.004
69,254.91173442,-40.188674879,17.033,0.004,1.861,0.023,INDEF,INDEF,2.906,0.005
70,254.964816047,-40.1782736044,17.954,0.008,1.374,0.029,INDEF,INDEF,1.548,0.009
