#ID               x         y         V        ev        BV       ebv        UB       eub        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP
25        166.411991664 -62.5046520256    15.662     0.002     1.484     0.003      1.01     0.025     6.109     0.862      0.55      0.62     0.336        K1     2.619     0.264     0.059      1.22     0.711      A8.5     0.766    -0.083    -0.234      1.56     1.028      B8.5        --        --        --        --        --        --
26        166.350987358 -62.496697556    15.751     0.002      0.95     0.002     0.315     0.008    -0.412    -0.162    -0.545      1.11     3.502      B4.5        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
27        166.469169128 -62.4958359587    15.764     0.002     0.883     0.002     0.346     0.008     5.135     0.687     0.211      0.19     1.018        G5     3.475     0.411    -0.009      0.47     1.467        F4     0.081    -0.132    -0.429      1.01     3.239        B6        --        --        --        --        --        --
28        166.458642842 -62.4679507035    15.806     0.002     1.008     0.002     0.339     0.008    -0.542    -0.169    -0.573      1.17     3.502        B4        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
29        166.383631494 -62.4791843368    15.828     0.002     1.276     0.003     0.126     0.009    -4.144    -0.313    -1.134      1.58    10.349      O7.5        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
30        166.415277672 -62.4824461059    15.912     0.002     1.345     0.003      0.26     0.011    -2.971    -0.291    -1.046      1.63     5.836      B0.2        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
31        166.397904989 -62.4746710092    15.935     0.003     1.036     0.004     0.405      0.01      4.79     0.618     0.107      0.41     0.944        G1     4.348     0.541     0.033       0.5     1.017        F9    -0.248    -0.153     -0.51      1.18       3.2        B5        --        --        --        --        --        --
32        166.463286568 -62.501764298    15.983     0.002     1.022     0.003     0.282     0.009    -0.967    -0.193    -0.662      1.21     4.363      B3.5        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
33        166.354535493 -62.4962589461    16.026     0.002     0.931     0.003     0.268     0.009    -0.608    -0.173    -0.586       1.1     4.413        B4        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
34        166.46861145 -62.4937046538     16.15     0.002     1.258     0.003     0.746     0.026     5.757     0.793     0.406      0.46     0.622        K0     2.888     0.315     0.021      0.94     1.174        F1     0.507    -0.106    -0.323      1.36     1.929      B7.5        --        --        --        --        --        --
35        166.345692815 -62.5003125733    16.276     0.002     0.818     0.003      0.33      0.01     5.322     0.721     0.269      0.09     1.364        G7     3.258     0.376    -0.005      0.44     2.142        F3     0.274    -0.121    -0.382      0.93     4.205        B7        --        --        --        --        --        --
36        166.390520796 -62.4743196497    16.292     0.002     0.837     0.003     0.405     0.011     5.626     0.771     0.365      0.06     1.247        G9     2.931     0.322     0.017      0.51     2.269        F1     0.584    -0.101    -0.304      0.93     3.673        B8        --        --        --        --        --        --
37        166.367051985 -62.4531238865    16.359     0.002     1.003     0.003     0.365     0.013     4.566     0.578     0.062      0.42     1.254        G0     4.085     0.498      -0.0       0.5     1.396        F8    -0.379     -0.16    -0.538      1.16      4.25      B4.5        --        --        --        --        --        --
38        166.376564605 -62.5251914776    16.438     0.002      0.83     0.003     0.567     0.014     2.415     0.205     0.097      0.62     2.632        A7     1.122    -0.047    -0.094      0.87      3.34      B9.6        --        --        --        --        --        --        --        --        --        --        --        --
40        166.370729812 -62.4739421638     16.47     0.002     1.027     0.003     0.403     0.021     4.802     0.621     0.111       0.4     1.218        G1     4.392     0.549     0.039      0.48     1.312        F9    -0.216    -0.151    -0.503      1.17      4.09        B5        --        --        --        --        --        --
43        166.343968522 -62.5134018964    16.529     0.002     0.923     0.003     0.272     0.012    -0.542    -0.169    -0.573      1.09     5.476        B4        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
44        166.391247659 -62.5137453035    16.594     0.003      1.13     0.004      0.55     0.019     5.268     0.712     0.252      0.41     1.026      G6.5     3.389     0.398     -0.01      0.73     1.543        F4     0.062    -0.133    -0.434      1.26     3.351        B6        --        --        --        --        --        --
45        166.464322992 -62.4783253001    16.609     0.003     1.051     0.004     0.312     0.024    -0.934    -0.191    -0.655      1.24     5.493      B3.5        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
46        166.370383184 -62.4609436603    16.631     0.003     0.961     0.004     0.489     0.025     5.582     0.764     0.351      0.19     1.236        G9     2.975     0.329     0.013      0.63     2.191        F1     0.488    -0.107    -0.328      1.06     3.728      B7.5        --        --        --        --        --        --
