#ID               x         y         V        ev        BV       ebv        UB       eub        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP
1         112.542079099 -18.5565291564    11.717     0.002     0.154     0.002    -0.112     0.002     0.615    -0.099    -0.294      0.25     1.162        B8        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
2         112.485342582 -18.5634274913    12.518     0.002     0.725     0.003     0.047     0.003    -0.902    -0.189    -0.649      0.91     1.317      B3.5        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
3         112.526664177 -18.5181755141    12.068     0.001     1.705     0.002     1.622     0.003        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
4         112.508209635 -18.5411801685    12.805     0.001     0.822     0.001    -0.389     0.002        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
5         112.519538988 -18.5500173627    13.605     0.002     0.515     0.013     0.441     0.018        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
6         112.510795716 -18.5434730779    13.558     0.001     0.521     0.001    -0.159     0.003    -1.146    -0.202    -0.703      0.72     3.121      B2.9        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
7         112.527493592 -18.5236656677    13.593     0.001     0.525     0.001    -0.278     0.002    -1.765    -0.233    -0.844      0.75     4.043      B2.1        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
8         112.526249815 -18.5378434651    13.629     0.001     0.487     0.001    -0.168     0.003    -1.065    -0.198    -0.683      0.68      3.29        B3        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
9         112.531485487 -18.546677261    13.931     0.001      0.47     0.001    -0.204     0.003    -1.169    -0.203    -0.709      0.67     4.023      B2.9        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
10        112.535089716 -18.5082285532    14.117     0.001     0.571     0.001    -0.163     0.003    -1.331    -0.212    -0.754      0.78     4.037      B2.7        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
11        112.527111977 -18.5300259006    14.371     0.001     0.806     0.001    -0.299     0.003    -4.651    -0.321    -1.166      1.12    12.883        O6        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
12        112.493872331 -18.5427856805    14.826     0.002      0.78     0.003     0.135     0.003     -0.64    -0.174    -0.593      0.95     3.193        B4        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
13        112.516607967 -18.5455090523    14.894     0.001     0.844     0.002     0.289     0.003     4.978     0.656     0.164      0.18     0.744      G3.5      3.78     0.454    -0.005      0.39     0.957        F6    -0.055    -0.141    -0.464      0.98     2.411      B5.5        --        --        --        --        --        --
14        112.5499015 -18.5362418357    15.089     0.001     1.662     0.002     1.113     0.006     5.964     0.833     0.489      0.82     0.207      K0.5     2.764     0.293     0.036      1.37     0.413      A9.5     0.565    -0.102    -0.309      1.76     0.651        B8        --        --        --        --        --        --
15        112.534653503 -18.5619727448    15.294     0.001     0.962     0.002     -0.11     0.004    -3.517    -0.304    -1.095      1.26      9.57      O9.6        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
16        112.518932245 -18.5223212007    15.205     0.001     0.827     0.002     0.167     0.004    -0.673    -0.176      -0.6       1.0     3.594        B4        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
17        112.52815879 -18.5473095159    15.357     0.001     0.791     0.002     0.251     0.004     4.972     0.655     0.162      0.13     0.992      G3.5      3.78     0.454    -0.005      0.34     1.272        F6     0.004    -0.137    -0.449      0.92     3.164        B6        --        --        --        --        --        --
18        112.510156418 -18.5254881692    15.703     0.001     1.206     0.003     0.185     0.007    -2.547    -0.277    -0.989      1.48       5.4      B0.6        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
19        112.511721692 -18.5699815103    16.066     0.001     1.157     0.003     0.096     0.006    -2.953    -0.291    -1.043      1.44     8.145      B0.2        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
20        112.528649955 -18.5059753971     16.22     0.001     1.318     0.003    -0.043     0.006        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
21        112.544193445 -18.4939009803    16.051     0.001     1.293     0.003     0.482     0.006    -1.134    -0.202    -0.699      1.49      3.26        B3        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
22        112.542383697 -18.5188580493    15.944     0.001     0.859     0.002     0.131     0.004    -1.032    -0.196    -0.676      1.05     5.549        B3        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
23        112.552885131 -18.5260993203    16.054     0.001     1.102     0.003     0.805     0.006     6.386     0.921      0.68      0.18     0.664      K2.5     2.361     0.194     0.099      0.91     1.495      A6.5     1.215    -0.036    -0.068      1.13      1.85      B9.8        --        --        --        --        --        --
24        112.492438622 -18.5307308837    16.186     0.001     1.078     0.003     0.458     0.006     4.912     0.643     0.144      0.43     0.973      G2.5     3.881     0.469    -0.003      0.61      1.21        F6    -0.171    -0.148    -0.493      1.22     3.273        B5        --        --        --        --        --        --
25        112.532303563 -18.5494298758    16.242     0.001     0.831     0.003     0.176     0.005     -0.64    -0.174    -0.593       1.0     5.708        B4        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
26        112.551687233 -18.5443824778    16.988     0.002     1.558     0.005      0.95      0.02     5.612     0.769     0.361      0.78     0.619        G9     3.084     0.347     0.002      1.21     1.073        F2     0.197    -0.125    -0.401      1.68     2.073      B6.5        --        --        --        --        --        --
27        112.506425279 -18.5526118219    16.445     0.001      1.09     0.003     0.083     0.007    -2.532    -0.276    -0.986      1.36     8.959      B0.6        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
29        112.512083572 -18.5500421823    16.336     0.001     0.832     0.003     0.265     0.005     4.875     0.635     0.133      0.19     1.494        G2     3.983     0.483    -0.002      0.35     1.793        F8    -0.113    -0.145    -0.478      0.97     4.879      B5.5        --        --        --        --        --        --
30        112.491409219 -18.5239953001    16.391     0.001     0.925     0.003     0.467     0.006     5.612     0.769     0.361      0.15     1.156        G9     2.953     0.326     0.015       0.6     2.068        F1     0.526    -0.104    -0.318      1.02     3.472      B7.5        --        --        --        --        --        --
31        112.51017314 -18.5401000794    16.589     0.001     1.195     0.004      1.16     0.013        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
32        112.5459024 -18.4964905484    16.499     0.001     0.908     0.003     0.429     0.006     5.497     0.749     0.324      0.15     1.281        G8     3.062     0.344     0.004      0.56     2.189        F2      0.41    -0.112    -0.347      1.01     3.905      B7.5        --        --        --        --        --        --
33        112.489512066 -18.52097455    16.547     0.002     0.921     0.003      0.19     0.006      -1.0    -0.195    -0.669      1.11     6.624        B3        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
34        112.473050576 -18.5003992815    16.634     0.002     1.378     0.005     1.208     0.016     8.633     1.379     1.216       0.0     0.398        M0     7.013     1.078     0.993      0.29     0.555      K4.5        --        --        --        --        --        --        --        --        --        --        --        --
35        112.529038124 -18.5388542738    16.761     0.001     1.059     0.004     0.177     0.008    -1.643    -0.227    -0.824      1.28     7.714      B2.3        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
36        112.521144537 -18.5428335441    16.768     0.001     0.982     0.003     0.047     0.006    -2.162    -0.254    -0.912      1.23    10.555      B1.4        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
37        112.504543221 -18.5335101642    16.718     0.001     0.875     0.004     0.246     0.008    -0.412    -0.162    -0.545      1.03     6.128      B4.5        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
38        112.547791541 -18.5050244433     16.87     0.001     1.091     0.004     0.239     0.009    -1.424    -0.216    -0.779       1.3     7.126      B2.6        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
39        112.47501672 -18.5113189834     16.95     0.002     1.309     0.005     0.603     0.013     4.653     0.592     0.074      0.71     1.045        G0     4.174     0.512      0.01      0.79     1.163        F8    -0.477    -0.166    -0.559      1.47      3.75      B4.5        --        --        --        --        --        --
40        112.552538463 -18.5600171836    16.908     0.002     0.993     0.004     0.185     0.009     -1.32    -0.211     -0.75       1.2     7.972      B2.7        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
41        112.479285471 -18.5545975153    16.831     0.002     0.993     0.004     0.536     0.009     5.713     0.785     0.392       0.2     1.258      G9.5     2.866     0.311     0.023      0.68     2.352        F0     0.565    -0.102    -0.309      1.09     3.779        B8        --        --        --        --        --        --
42        112.511234487 -18.5323999467    16.998     0.001     0.987     0.004     0.127     0.008    -1.539    -0.222    -0.806       1.2     9.192      B2.4        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
43        112.47856145 -18.5525846576    16.999     0.002      1.12     0.005     0.276      0.01    -1.389    -0.214     -0.77      1.33      7.13      B2.6        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
44        112.546587854 -18.5436604683    17.025     0.001     0.996     0.004     0.341     0.009    -0.477    -0.166    -0.559      1.16     6.042      B4.5        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
45        112.519034462 -18.5546653092    17.268     0.001     1.193     0.005     0.385     0.014     -1.18    -0.204    -0.712      1.39     6.728      B2.9        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
46        112.491784001 -18.5052397199    17.152     0.002     1.215     0.005     0.395     0.014    -1.238    -0.207    -0.728      1.42     6.276      B2.8        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
