#id,ALFA(gaia),DELTA(gaia),V,ERROR,B-V,ERROR,U-B,ERROR,V-I,ERROR
1,112.542079099,-18.5565291564,11.717,0.002,0.154,0.002,-0.112,0.002,0.201,0.003
2,112.485342582,-18.5634274913,12.518,0.002,0.725,0.003,0.047,0.003,0.797,0.004
3,112.526664177,-18.5181755141,12.068,0.001,1.705,0.002,1.622,0.003,1.844,0.003
4,112.508209635,-18.5411801685,12.805,0.001,0.822,0.001,-0.389,0.002,1.253,0.002
5,112.519538988,-18.5500173627,13.605,0.002,0.515,0.013,0.441,0.018,1.531,0.003
6,112.510795716,-18.5434730779,13.558,0.001,0.521,0.001,-0.159,0.003,0.714,0.001
7,112.527493592,-18.5236656677,13.593,0.001,0.525,0.001,-0.278,0.002,0.744,0.001
8,112.526249815,-18.5378434651,13.629,0.001,0.487,0.001,-0.168,0.003,0.595,0.001
9,112.531485487,-18.546677261,13.931,0.001,0.47,0.001,-0.204,0.003,0.618,0.001
10,112.535089716,-18.5082285532,14.117,0.001,0.571,0.001,-0.163,0.003,0.718,0.002
11,112.527111977,-18.5300259006,14.371,0.001,0.806,0.001,-0.299,0.003,1.171,0.001
12,112.493872331,-18.5427856805,14.826,0.002,0.78,0.003,0.135,0.003,0.893,0.004
13,112.516607967,-18.5455090523,14.894,0.001,0.844,0.002,0.289,0.003,1.114,0.001
14,112.5499015,-18.5362418357,15.089,0.001,1.662,0.002,1.113,0.006,2.014,0.002
15,112.534653503,-18.5619727448,15.294,0.001,0.962,0.002,-0.11,0.004,1.395,0.002
16,112.518932245,-18.5223212007,15.205,0.001,0.827,0.002,0.167,0.004,1.078,0.001
17,112.52815879,-18.5473095159,15.357,0.001,0.791,0.002,0.251,0.004,1.056,0.001
18,112.510156418,-18.5254881692,15.703,0.001,1.206,0.003,0.185,0.007,1.766,0.002
19,112.511721692,-18.5699815103,16.066,0.001,1.157,0.003,0.096,0.006,1.679,0.002
20,112.528649955,-18.5059753971,16.22,0.001,1.318,0.003,-0.043,0.006,2.147,0.002
21,112.544193445,-18.4939009803,16.051,0.001,1.293,0.003,0.482,0.006,1.646,0.002
22,112.542383697,-18.5188580493,15.944,0.001,0.859,0.002,0.131,0.004,1.066,0.002
23,112.552885131,-18.5260993203,16.054,0.001,1.102,0.003,0.805,0.006,1.214,0.002
24,112.492438622,-18.5307308837,16.186,0.001,1.078,0.003,0.458,0.006,1.377,0.002
25,112.532303563,-18.5494298758,16.242,0.001,0.831,0.003,0.176,0.005,1.12,0.002
26,112.551687233,-18.5443824778,16.988,0.002,1.558,0.005,0.95,0.02,2.668,0.002
27,112.506425279,-18.5526118219,16.445,0.001,1.09,0.003,0.083,0.007,1.616,0.002
28,112.489688471,-18.5756457895,16.367,0.001,0.954,0.003,INDEF,INDEF,1.225,0.002
29,112.512083572,-18.5500421823,16.336,0.001,0.832,0.003,0.265,0.005,1.104,0.002
30,112.491409219,-18.5239953001,16.391,0.001,0.925,0.003,0.467,0.006,1.029,0.003
31,112.51017314,-18.5401000794,16.589,0.001,1.195,0.004,1.16,0.013,1.416,0.002
32,112.5459024,-18.4964905484,16.499,0.001,0.908,0.003,0.429,0.006,1.071,0.002
33,112.489512066,-18.52097455,16.547,0.002,0.921,0.003,0.19,0.006,1.241,0.003
34,112.473050576,-18.5003992815,16.634,0.002,1.378,0.005,1.208,0.016,1.685,0.004
35,112.529038124,-18.5388542738,16.761,0.001,1.059,0.004,0.177,0.008,1.596,0.002
36,112.521144537,-18.5428335441,16.768,0.001,0.982,0.003,0.047,0.006,1.446,0.002
