#id,ALFA(gaia),DELTA(gaia),V,ERROR,B-V,ERROR,U-B,ERROR,V-I,ERROR
66,166.310878758,-62.5162655584,17.105,0.047,1.198,0.045,0.648,0.043,INDEF,0
67,166.386350723,-62.5254326291,17.129,0.003,1.073,0.005,0.436,0.026,1.306,0.004
68,166.38455611,-62.5234776163,17.181,0.003,0.973,0.005,0.548,0.026,1.396,0.004
69,166.34157869,-62.4762943843,17.201,0.003,1.018,0.005,0.594,0.045,1.52,0.004
70,166.338419574,-62.5118661139,17.204,0.003,1.073,0.005,INDEF,INDEF,1.36,0.004
71,166.396690832,-62.5107371718,17.21,0.003,1.224,0.006,INDEF,INDEF,1.61,0.004
72,166.459671809,-62.4758962835,17.222,0.004,1.201,0.006,0.659,0.06,1.52,0.004
73,166.424303563,-62.5141390094,17.238,0.003,1.32,0.006,1.134,0.072,1.546,0.004
74,166.319578077,-62.4867443237,17.246,0.004,1.075,0.005,0.572,0.044,1.495,0.004
75,166.400954877,-62.4654299145,17.264,0.004,1.072,0.006,0.362,0.027,1.411,0.004
76,166.381734944,-62.4752913648,17.294,0.004,1.152,0.006,0.564,0.035,1.462,0.004
77,166.43715407,-62.4503661438,17.295,0.003,1.058,0.005,INDEF,INDEF,1.363,0.004
78,166.37998064,-62.4648648136,17.303,0.004,2.192,0.012,INDEF,INDEF,2.66,0.004
79,166.342049028,-62.4968545076,17.345,0.004,1.128,0.006,0.52,0.043,1.506,0.004
80,166.460498896,-62.48631027,17.356,0.004,1.253,0.006,INDEF,INDEF,1.525,0.004
81,166.330148704,-62.5256544959,17.366,0.004,1.582,0.008,INDEF,INDEF,1.962,0.004
82,166.433571922,-62.4723310235,17.385,0.004,1.314,0.007,INDEF,INDEF,1.883,0.004
83,166.333073967,-62.4622876899,17.394,0.007,1.659,0.01,INDEF,INDEF,2.161,0.009
84,166.443028948,-62.4862230205,17.472,0.004,1.528,0.008,INDEF,INDEF,2.042,0.004
85,166.483073889,-62.4761785582,17.487,0.004,1.215,0.007,INDEF,INDEF,1.575,0.005
86,166.454886246,-62.5130022597,17.516,0.004,2.035,0.013,INDEF,INDEF,2.586,0.004
87,166.310878758,-62.5162655584,17.516,0.006,1.278,0.027,INDEF,INDEF,1.494,0.006
88,166.456670235,-62.5045229734,17.544,0.004,1.249,0.008,INDEF,INDEF,1.667,0.005
89,166.310119976,-62.516871753,17.55,0.006,1.343,0.029,INDEF,INDEF,1.785,0.006
90,166.382569033,-62.4676244884,17.56,0.004,1.05,0.007,0.41,0.042,1.442,0.005
91,166.356967525,-62.4819559443,17.573,0.004,0.96,0.006,0.287,0.047,1.289,0.005
92,166.357523139,-62.4864808511,17.615,0.005,1.192,0.008,0.762,0.088,1.464,0.006
93,166.476486319,-62.4628126013,17.623,0.004,1.274,0.008,0.805,0.074,1.807,0.005
94,166.424851879,-62.4857933452,17.728,0.005,1.075,0.008,0.32,0.05,1.36,0.006
95,166.308706021,-62.5203428367,17.784,0.005,1.284,0.009,INDEF,INDEF,1.716,0.006
96,166.360821525,-62.4510729557,17.784,0.005,1.082,0.008,INDEF,INDEF,1.473,0.006
97,166.445997842,-62.5050838732,17.808,0.005,1.086,0.008,INDEF,INDEF,1.507,0.006
98,166.346089102,-62.4699456492,17.884,0.005,1.161,0.009,0.663,0.077,1.74,0.006
99,166.465770608,-62.4650835221,17.945,0.006,1.42,0.012,INDEF,INDEF,1.871,0.006
100,166.412445296,-62.4657702551,17.952,0.006,1.358,0.011,INDEF,INDEF,1.674,0.007
101,166.396803485,-62.4848964487,17.955,0.006,1.234,0.01,INDEF,INDEF,1.948,0.007
102,166.364853608,-62.4594092549,17.988,0.005,1.336,0.01,INDEF,INDEF,1.938,0.006
103,166.36623573,-62.4673361565,17.992,0.007,1.235,0.011,INDEF,INDEF,1.512,0.007
104,166.427248616,-62.4798983808,18.012,0.006,1.961,0.017,INDEF,INDEF,2.432,0.006
105,166.427168738,-62.4651562613,18.042,0.006,1.353,0.011,INDEF,INDEF,1.601,0.007
106,166.470720642,-62.4755091195,18.052,0.006,1.455,0.012,INDEF,INDEF,1.849,0.006
107,166.43839268,-62.4487563884,18.056,0.007,1.553,0.014,INDEF,INDEF,1.89,0.007
108,166.453590222,-62.5152671402,18.056,0.008,1.299,0.012,INDEF,INDEF,1.783,0.008
109,166.415809378,-62.4710679132,18.093,0.006,1.24,0.011,INDEF,INDEF,1.537,0.007
110,166.477937101,-62.5027834452,18.101,0.007,1.16,0.011,INDEF,INDEF,1.594,0.007
111,166.41156604,-62.5071996915,18.106,0.006,1.928,0.018,INDEF,INDEF,2.268,0.006
112,166.423293319,-62.4941486569,18.172,0.007,1.609,0.017,INDEF,INDEF,2.054,0.007
113,166.335255519,-62.461363826,18.219,0.008,1.11,0.012,INDEF,INDEF,1.878,0.011
114,166.364337996,-62.4834405567,18.226,0.007,1.142,0.012,INDEF,INDEF,1.444,0.008
115,166.352265308,-62.5263259094,18.263,0.008,1.333,0.014,INDEF,INDEF,1.766,0.008
116,166.378736561,-62.5182547038,18.272,0.008,1.297,0.014,INDEF,INDEF,1.694,0.008
117,166.3374265,-62.473756516,18.346,0.008,1.25,0.013,INDEF,INDEF,1.87,0.008
118,166.42079947,-62.4858928411,18.349,0.009,1.838,0.021,INDEF,INDEF,2.536,0.009
119,166.316743335,-62.4808850509,18.351,0.008,0.998,0.012,INDEF,INDEF,1.495,0.009
120,166.366422299,-62.4928210201,18.394,0.008,2.31,0.049,INDEF,INDEF,2.893,0.008
121,166.382610215,-62.4718122379,18.396,0.008,1.275,0.015,INDEF,INDEF,1.938,0.009
122,166.393172164,-62.5129192464,18.428,0.008,1.306,0.015,INDEF,INDEF,1.821,0.009
123,166.35493587,-62.5247853171,18.436,0.009,1.096,0.014,INDEF,INDEF,1.581,0.009
124,166.450042454,-62.5146040691,18.444,0.008,1.343,0.016,INDEF,INDEF,1.821,0.009
125,166.397455243,-62.4940311698,18.467,0.01,1.216,0.016,INDEF,INDEF,1.476,0.011
126,166.449946196,-62.4486284151,18.476,0.009,1.227,0.015,INDEF,INDEF,1.51,0.01
127,166.352809813,-62.484754611,18.512,0.014,1.446,0.021,INDEF,INDEF,INDEF,0
128,166.481485195,-62.5193769344,18.515,0.009,1.144,0.015,INDEF,INDEF,1.475,0.01
129,166.454190525,-62.5076707053,18.54,0.009,1.709,0.022,INDEF,INDEF,2.021,0.01
