    N    R        ALFA(gaia)        DELTA(gaia)      PARALAJE     ERROR     MOV.PR.ALF    ERROR     MOV.PR.DEL    ERROR        BP         ERROR        RP         ERROR         J         ERROR         H         ERROR         K         ERROR       3.6         ERROR        4.5        ERROR        5.8        ERROR       8          ERROR         W1         ERROR        W2         ERROR         W3        ERROR         W4        ERROR         V         ERROR        B-V        ERROR        U-B        ERROR        V-I        ERROR   
    1   1.94   239.89348743700   -53.72558986440      3.9255      0.0397     10.3290      0.0740    -36.3210      0.0560     10.4568      0.0005      9.5736      0.0006      8.9900      0.0240      8.6470      0.0240      8.5650      0.0220      8.4580      0.0460      8.5650      0.0470      8.4900      0.0390      8.5220      0.0940      8.5890      0.0240      8.7620      0.0270      7.5490      ------      3.5040      0.3940     10.2670      0.0010      0.6850      0.0010      0.1540      0.0010      0.9140      0.0010
    2   1.37   239.93814251900   -53.77115951510      1.5785      0.0360     -4.1470      0.0560     -5.4530      0.0450     12.4784      0.0009     11.6017      0.0005     10.9410      0.0220     10.6600      0.0250     10.5830      0.0250     10.5690      0.0930     10.6120      0.1220     10.4510      0.3390      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     12.2830      0.0010      0.6750      0.0010      0.1490      0.0020      0.9420      0.0010
    3   0.68   239.91148299500   -53.74557384860      0.3330      0.0408     -2.6630      0.0700     -2.6530      0.0580     12.4706      0.0016     11.8003      0.0008     11.3030      0.0230     11.2340      0.0220     11.0860      0.0350      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     12.3640      0.0010      0.4800      0.0010     -0.4040      0.0020      0.7710      0.0010
    4   1.33   239.87985090800   -53.74236687030      1.2704      0.0399     -3.6850      0.0640     -7.9620      0.0490     12.6284      0.0022     11.9668      0.0013     11.4620      0.0230     11.2520      0.0230     11.2030      0.0250     11.1740      0.0630     11.1870      0.1030      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     12.5300      0.0010      0.4700      0.0010      0.0310      0.0020      0.7420      0.0010
    5   2.51   239.92219812800   -53.79763795600      0.4353      0.0363     -3.1210      0.0580     -3.5220      0.0450     12.8187      0.0010     11.3287      0.0006     10.1710      0.0220      9.8810      0.0230      9.7110      0.0200      9.5440      0.0410      9.5070      0.0520      9.4940      0.0570      9.6980      0.1290      9.4840      0.0280      9.4920      0.0280      6.0510      0.0470      2.1250      0.0280     12.5650      0.0010      1.0470      0.0010      0.5200      0.0020      1.5380      0.0010
    6   1.26   239.93147765400   -53.77263199400      0.2312      0.1080     -1.4480      0.1490     -6.1630      0.1240     13.4092      0.0019     11.2144      0.0006      9.6360      0.0220      9.2390      0.0250      9.0480      0.0200      8.8950      0.0740      9.0240      0.2210      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     13.1420      0.0010      1.6510      0.0010      0.5790      0.0040      2.2520      0.0010
    7   0.17   239.91014872700   -53.75414717510      0.3168      0.0378     -2.6820      0.0580     -3.8120      0.0500     13.4554      0.0027     11.1586      0.0009      9.4750      0.0490      9.0990      0.0570      8.4770      0.0630      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     13.2490      0.0010      1.7020      0.0020      0.5470      0.0050      2.4330      0.0020
    8   0.48   239.90229398100   -53.76392081400      0.2716      0.0416     -2.7430      0.0630     -3.9300      0.0520     13.8720      0.0035     11.3317      0.0010      9.5050      0.0450      9.0200      0.0520      8.4730      0.0590      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     13.6700      0.0010      1.9720      0.0020      0.8980      0.0080      2.6830      0.0020
    9   0.63   239.90811405700   -53.76719852240      0.3850      0.0601     -0.4000      0.0930     -0.7790      0.0770     14.1037      0.0013     12.9869      0.0010     12.0400      0.0360     11.7610      0.0470     11.4970      0.0590      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     13.9020      0.0010      0.8000      0.0020      0.5200      0.0030      1.1400      0.0020
   10   0.78   239.89027241700   -53.74913610720      1.3641      0.0238      3.9510      0.0390      7.7660      0.0310     14.1881      0.0011     13.3004      0.0007     12.6730      0.0220     12.2870      0.0270     12.1170      0.0380     11.9550      0.1410     11.6580      0.2000     11.2490      0.2620      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.0300      0.0010      0.6710      0.0020      0.0580      0.0030      0.9060      0.0020
