    N    R        ALFA(gaia)        DELTA(gaia)      PARALAJE     ERROR     MOV.PR.ALF    ERROR     MOV.PR.DEL    ERROR        BP         ERROR        RP         ERROR         J         ERROR         H         ERROR         K         ERROR       3.6         ERROR        4.5        ERROR        5.8        ERROR       8          ERROR         W1         ERROR        W2         ERROR         W3        ERROR         W4        ERROR         V         ERROR        B-V        ERROR        U-B        ERROR        V-I        ERROR   
   11   2.52   239.86487345300   -53.79005391210      0.5297      0.0217     -0.3980      0.0350     -5.3350      0.0280     14.4560      0.0018     12.4329      0.0006     10.8260      0.0220     10.1020      0.0230      9.9280      0.0210      9.8020      0.0520      9.8620      0.0610      9.7070      0.0490      9.6870      0.0770      9.8250      0.0280      9.9770      0.0320     11.2810      ------      3.8550      0.0360     14.1940      0.0010      1.7260      0.0020      1.6890      0.0120      2.0210      0.0010
   12   2.61   239.96131459100   -53.72665791740      0.3317      0.0266     -2.2990      0.0470     -3.5020      0.0370     14.5096      0.0014     13.2052      0.0008     12.1910      0.0230     11.8860      0.0280     11.7700      0.0340     11.6720      0.0780     11.7150      0.0690     11.5610      0.1370      ------      ------     11.6760      0.0790     12.7830      0.0800      7.7060      0.2310      3.7290      0.1910     14.2290      0.0010      0.9360      0.0020      0.6560      0.0040      1.3480      0.0020
   13   1.54   239.95103474000   -53.76089973080      0.5649      0.0272     -2.6650      0.0500     -5.4600      0.0380     14.6141      0.0019     12.6711      0.0009     11.1350      0.0230     10.4710      0.0260     10.2830      0.0200     10.1180      0.0720     10.1190      0.0840      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.3170      0.0010      1.6360      0.0020      ------      ------      1.9760      0.0010
   14   2.14   239.91809429000   -53.72149717530      0.3907      0.0617     -2.8130      0.1030     -1.2290      0.0830     14.5639      0.0031     11.8060      0.0009      9.7380      0.0230      8.7700      0.0310      8.4200      0.0220      8.1890      0.0430      8.3820      0.0500      8.1710      0.0310      8.1800      0.0590      8.0820      0.0260      8.0830      0.0250      5.9840      0.0330      2.3280      0.0450     14.3270      0.0010      2.3210      0.0040      ------      ------      ------      ------
   15   3.00   239.94448635600   -53.80192476760      2.0321      0.0256     -6.1700      0.0430    -19.7530      0.0330     14.7105      0.0014     13.5648      0.0008     12.6990      0.0220     12.2700      0.0260     12.2500      0.0300     12.1970      0.0510     12.0490      0.0900     12.0430      0.2000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.4710      0.0010      0.9390      0.0020      0.5910      0.0050      1.1870      0.0020
   16   2.74   239.87222920300   -53.79709051960      1.3784      0.0257    -28.1180      0.0420    -33.0110      0.0350     14.6762      0.0014     13.6625      0.0009     12.9430      0.0250     12.5640      0.0260     12.4270      0.0300     12.4340      0.0480     12.4360      0.0960      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.4900      0.0010      0.8040      0.0020      0.3500      0.0040      1.0280      0.0020
   17   1.99   239.95541488200   -53.73859572990      0.0073      0.2083     -4.7750      0.3370     -5.7880      0.2730     14.8903      0.0017     13.6666      0.0008     12.6920      ------     12.4470      ------     12.1990      0.0370      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.6350      0.0010      0.9050      0.0020      0.5370      0.0050      1.2730      0.0020
   18   1.14   239.91297668600   -53.73784442560      0.3552      0.0306     -3.5380      0.0510     -6.6530      0.0420     14.9230      0.0021     13.0224      0.0007     11.5070      0.0220     10.8910      0.0250     10.6430      0.0180      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.6460      0.0010      1.6230      0.0030      1.4540      0.0140      1.9180      0.0010
   19   1.07   239.93693398800   -53.76208176570      0.5440      0.0318     -0.0360      0.0540     -0.4790      0.0430     14.9142      0.0012     13.8865      0.0011     12.6440      ------     12.7940      0.0800     12.6830      0.1060      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.6900      0.0020      0.6970      0.0020      0.4290      0.0050      1.0540      0.0020
   20   2.98   239.83872905600   -53.72895204780      0.7509      0.0852     -0.7910      0.1380     -2.6940      0.1030     15.0223      0.0112     13.7204      0.0045     12.5770      0.0310     11.5710      0.0370     10.5740      0.0300     10.0120      0.0730     10.0450      0.0830      9.8210      0.0630     10.0000      0.0710      9.8180      0.0300     10.0610      0.0350      7.3480      ------      2.8330      0.0430     14.7530      0.0020      0.9530      0.0030      0.3860      0.0060      1.2810      0.0030
   21   1.35   239.93924114000   -53.74364297150      0.6970      0.0291    -13.9580      0.0550     -7.3220      0.0420     15.1639      0.0018     13.2911      0.0008     11.8130      0.0360     11.1160      0.0390     10.9410      0.0370     10.7420      0.0770     10.6820      0.0820     10.4100      0.2560      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.8830      0.0010      1.5210      0.0030      1.1600      0.0130      1.9000      0.0020
   22   0.34   239.91625471800   -53.75342899250      0.3680      0.0276     -4.5280      0.0480     -5.8900      0.0380     15.1401      0.0025     12.9966      0.0008     11.2990      0.0380     10.5560      0.0410     10.0630      0.0420      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.8840      0.0020      1.8570      0.0040      1.5860      0.0260      2.2220      0.0020
   23   0.62   239.89538559700   -53.76370632920      1.4113      0.0338     -2.5490      0.0560     -8.0140      0.0450     15.0949      0.0022     13.9427      0.0013     12.9140      0.1040     12.5140      0.1170     11.6300      0.1040      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.9170      0.0010      0.8840      0.0020      0.3450      0.0050      1.2510      0.0020
   24   0.64   239.92470102100   -53.76106409800      0.4206      0.0320     -1.7210      0.0500     -2.9160      0.0400     15.1208      0.0028     14.1290      0.0010     13.3510      0.0210     13.2150      0.0210     13.2260      0.0350      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.9280      0.0010      0.7090      0.0020      0.3330      0.0050      1.0370      0.0020
   25   1.20   239.87899848600   -53.74667556660      0.8017      0.0274     -7.6280      0.0470     -5.9000      0.0370     15.1552      0.0017     13.6250      0.0007     12.4600      0.0280     11.9820      0.0290     11.8260      0.0350      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.9400      0.0010      1.1540      0.0020      0.5590      0.0080      1.5280      0.0020
   26   1.45   239.86829454100   -53.76185688870      0.4591      0.0341     -1.8900      0.0490     -3.3070      0.0410     15.2565      0.0015     13.8763      0.0009     12.7910      0.0210     12.5370      0.0260     12.4020      0.0180     12.2100      0.1340     12.2450      0.1390      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.0480      0.0010      0.9980      0.0020      0.6950      0.0070      1.3640      0.0020
   27   1.42   239.86819835500   -53.75652522940      4.5143      0.6434    -17.0770      0.9860     -7.9380      0.8040     15.3058      0.0033     14.1139      0.0025     13.1140      0.0320     12.6650      0.0630     11.4400      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.1020      0.0020      0.9270      0.0030      0.3830      0.0060      1.2210      0.0020
   28   2.18   239.86594957000   -53.73032871990      ------      ------      ------      ------      ------      ------     15.3832      0.0013     13.8457      0.0007     12.6590      0.0290     12.2330      0.0330     11.6780      0.0370      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.1420      0.0010      1.1300      0.0030      0.5700      0.0090      1.5420      0.0020
   29   0.38   239.91282611600   -53.76250082630      0.2965      0.0329     -3.9170      0.0500     -4.4470      0.0430     15.3445      0.0024     13.9681      0.0012     12.7690      0.0700     12.1150      0.0800     11.0460      0.0640      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.1590      0.0020      1.0160      0.0030      0.5400      0.0100      1.4240      0.0030
   30   1.18   239.88090780300   -53.76794522180      0.4694      0.0342     -3.0510      0.0520     -3.5100      0.0430     15.4138      0.0025     14.2291      0.0014     13.3310      0.0230     13.0790      0.0310     12.7980      0.0300     12.5430      0.0980     12.2760      0.1580      ------      ------     10.0200      0.2090      ------      ------      ------      ------      ------      ------      ------      ------     15.2220      0.0010      0.8310      0.0020      0.5330      0.0070      1.1890      0.0020
   31   2.69   239.89499170000   -53.80085976010      1.2668      0.0333    -46.1390      0.0560    -11.5470      0.0430     15.4559      0.0019     14.4139      0.0011     13.6040      0.0380     13.1860      0.0440     11.4740      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.2780      0.0010      0.7860      0.0020      0.1660      0.0060      1.0930      0.0020
   32   2.48   239.85711253200   -53.78483350280      0.3964      0.0303     -3.0130      0.0490     -2.3640      0.0390     15.5931      0.0021     14.0027      0.0006     12.8310      0.0230     12.4670      0.0260     12.2580      0.0200     12.2250      0.0780     12.0950      0.0970     12.0570      0.3210      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.3640      0.0010      1.1930      0.0030      0.7510      0.0120      1.5860      0.0020
   33   2.58   239.86040654300   -53.72428490020      0.2649      0.0347     -4.3470      0.0600     -4.3510      0.0470     15.6232      0.0014     14.3394      0.0009     13.3790      0.0240     13.1180      0.0360     13.0840      0.0470     12.8330      0.1170     12.7370      0.2070      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.3840      0.0010      0.9110      0.0040      0.5320      0.0090      1.2720      0.0020
   34   1.71   239.86090838300   -53.75183510280      0.3712      0.0337     -1.1120      0.0540     -2.6220      0.0430     15.6665      0.0017     14.3934      0.0010     13.4020      0.0310     13.1770      0.0310     13.0550      0.0290     12.9670      0.1170     13.0400      0.2160      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.4410      0.0020      0.9340      0.0030      0.6340      0.0100      1.2610      0.0020
   35   1.95   239.85337251100   -53.75723796890      0.4831      0.0327     -3.5140      0.0530     -3.2900      0.0430     15.7738      0.0020     14.2847      0.0010     13.1530      0.0220     12.8440      0.0220     12.6050      0.0200     12.4940      0.0870     12.4290      0.1240      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.5300      0.0030      1.1050      0.0040      0.7440      0.0120      1.4780      0.0030
   36   3.84   239.83302384900   -53.80264925390      0.3030      0.0326     -3.5030      0.0540     -3.9410      0.0430     15.8264      0.0024     14.1830      0.0010     12.9130      0.0220     12.5670      0.0270     12.4140      0.0250     12.2450      0.0580     12.2000      0.0960     11.9150      0.1720      ------      ------     12.2890      0.0740     13.3050      0.2870      8.5430      0.3960      6.4430      ------     15.5330      0.0020      1.1620      0.0040      0.8160      0.0160      1.6700      0.0020
   37   0.99   239.92570673800   -53.74379129370      0.8038      0.0358      2.3100      0.0630     -2.3850      0.0490     15.8160      0.0031     14.2746      0.0008     13.1670      0.0230     12.6530      0.0630     12.3600      0.0760      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.5700      0.0020      1.1940      0.0030      0.5890      0.0120      1.5840      0.0020
   38   1.68   239.88706369400   -53.78179899650      2.2114      0.2259     -2.5360      0.3600     -2.8580      0.2930     15.7955      0.0025     14.5565      0.0013     13.5780      0.0680     13.3170      0.0720     13.1410      0.0870     13.1350      0.0910     13.1190      0.1680      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.5780      0.0020      0.8180      0.0040      0.5660      0.0100      1.2320      0.0020
   39   1.46   239.87418412400   -53.77021213630      0.3532      0.0425     -1.4490      0.0550     -0.7610      0.0500     15.8070      0.0024     13.5729      0.0016     11.6100      ------     10.7010      ------     10.4450      0.0580      ------      ------      ------      ------      ------      ------      ------      ------      9.0310      0.0220      8.9730      0.0270      2.0520      0.0730     -1.6640      ------     15.5830      0.0020      1.9180      0.0060      ------      ------      2.2570      0.0020
   40   1.69   239.91144237900   -53.78473282810      0.3776      0.0335      0.1160      0.0550     -1.8140      0.0460     15.8902      0.0025     13.6975      0.0007     11.9500      0.0230     11.1970      0.0270     10.9350      0.0210     10.7270      0.0730     10.7740      0.0850      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.6350      0.0020      1.8880      0.0060      ------      ------      2.2190      0.0020
   41   1.28   239.90409149800   -53.73551012730      0.4961      0.0377     -1.1940      0.0650     -2.3980      0.0510     15.9123      0.0025     14.2931      0.0011     13.0720      0.0220     12.7010      0.0270     12.5160      0.0290      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.6780      0.0020      1.1950      0.0040      0.6620      0.0150      1.6190      0.0020
   42   0.44   239.90873282800   -53.74942266330      0.3200      0.0413     -2.7220      0.0580     -3.5210      0.0520     15.8580      0.0042     13.6180      0.0023     11.9770      0.0560     11.5060      0.0590     10.8440      0.0740      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.7000      0.0020      1.7260      0.0060      0.7760      0.0260      2.3700      0.0020
   43   2.72   239.84298552700   -53.78059457530      0.2937      0.0352     -6.6320      0.0560     -4.1300      0.0460     15.9266      0.0029     13.6547      0.0009     11.8370      0.0230     11.1160      0.0260     10.8250      0.0200     10.6570      0.0500     10.8010      0.0700     10.6580      0.0770     10.5370      0.0970     10.6270      0.0490     11.4000      0.0460      6.4940      0.0350      2.0920      0.0410     15.7080      0.0020      1.9870      0.0070      ------      ------      2.2900      0.0020
   44   2.84   239.85241145300   -53.79053252570      0.3885      0.0331     -2.3040      0.0530     -2.3810      0.0430     15.9609      0.0019     14.2009      0.0009     12.8530      0.0230     12.4250      0.0300     12.1920      0.0290     12.0580      0.0440     12.0310      0.1020     11.8460      0.1970      ------      ------     11.7500      0.0590     12.1080      0.1220      6.6640      0.0270      6.9380      ------     15.7220      0.0020      1.3560      0.0050      0.7870      0.0180      1.7650      0.0020
   45   2.62   239.88406981400   -53.79798144280      0.4369      0.0384     -3.8600      0.0620     -2.8130      0.0490     15.9736      0.0021     14.7116      0.0011     13.6840      0.0560     13.3690      0.0770     12.8650      0.0810      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.7280      0.0020      0.9420      0.0040      0.6470      0.0120      1.2640      0.0020
   46   2.57   239.92813435600   -53.79786236350      0.4613      0.0357     -1.6520      0.0580     -2.8460      0.0460     15.9667      0.0021     14.5302      0.0013     13.4050      0.0220     13.1460      0.0300     12.8910      0.0330     12.8200      0.0820     12.8690      0.1140      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.7390      0.0020      1.0270      0.0030      0.6660      0.0120      1.5150      0.0020
   47   2.49   239.86479823100   -53.72405168330      0.3531      0.0362     -3.0970      0.0590     -3.5100      0.0510     15.7428      0.0161     13.4132      0.0125     11.8030      ------     11.4030      0.0410     11.2020      0.0280      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.7530      0.0020      1.8000      0.0060      0.8770      0.0300      2.3540      0.0020
   48   1.51   239.88030039500   -53.73771078610      0.3182      0.0344     -2.8420      0.0550     -3.4800      0.0450     16.0008      0.0024     13.7281      0.0007     12.1400      0.0310     11.7600      0.0390     11.4170      0.0380      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.7630      0.0020      1.7400      0.0060      0.9220      0.0280      2.3270      0.0020
   49   0.42   239.90371319500   -53.76322563550     -0.1284      0.0492     -3.2510      0.0800     -4.9980      0.0650     15.8853      0.0096     14.2496      0.0030      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.7860      0.0030      1.1590      0.0050      0.7250      0.0210      1.4880      0.0140
   50   0.06   239.90732884800   -53.75756294490      0.5667      0.0401     -0.6800      0.0690     -3.6680      0.0550     15.9159      0.0096     14.2921      0.0033      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.8510      0.0030      1.1600      0.0050      0.6480      0.0160      1.9160      0.0050
   51   1.99   239.93025933300   -53.78730601420      0.3230      0.0521     -4.7050      0.0830     -4.2320      0.0650      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.8600      0.0040      1.3130      0.0060      0.6410      0.0190      1.7870      0.0060
   52   2.40   239.84431865500   -53.74353888350      0.6814      0.0383     -5.7210      0.0600     -4.6350      0.0480     16.1638      0.0024     14.4885      0.0011     13.2790      0.0230     12.8400      0.0300     12.6660      0.0380     12.4980      0.0790     12.6100      0.1250      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.9300      0.0020      1.2990      0.0050      0.7080      0.0200      1.6740      0.0020
   53   1.44   239.87730357600   -53.77230463010      0.3240      0.0380     -4.8680      0.0580     -6.3330      0.0480     16.1702      0.0035     14.4548      0.0010     13.1660      0.0290     12.7060      0.0330     12.5540      0.0250     12.1490      0.1710     12.1480      0.1650      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.9390      0.0020      1.3180      0.0050      0.7410      0.0210      1.6990      0.0020
   54   1.94   239.93212666100   -53.78576689280      0.3080      0.0422     -4.1170      0.0670     -2.1680      0.0540     16.3425      0.0030     13.8638      0.0009     11.7950      0.0430     10.9600      0.0410     10.6530      0.0370     10.4720      0.0580     10.6070      0.0710     10.5590      0.1140      ------      ------      9.9980      0.0370      9.6690      0.0370      5.1970      0.0430      0.2490      0.0300     15.9600      0.0040      2.0420      0.0110      ------      ------      2.5180      0.0040
   55   2.24   239.88065689500   -53.79026899220      0.4560      0.0415     -2.9740      0.0660     -3.5760      0.0520     16.2050      0.0034     14.9085      0.0012     13.8750      0.0320     13.6530      0.0310     13.4440      0.0410     13.1020      0.0690     13.2380      0.1290      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.9720      0.0020      0.9450      0.0040      0.6850      0.0160      1.3130      0.0020
   56   1.35   239.94607964400   -53.75477860560      0.5100      0.0470     -1.7960      0.0840     -1.6220      0.0670     16.2708      0.0032     14.8180      0.0020     13.6810      0.0290     13.3450      0.0470     12.2180      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.0070      0.0020      1.0730      0.0040      0.6360      0.0170      1.4960      0.0020
   57   0.42   239.91172891800   -53.76345357250      1.1148      0.0561      3.7000      0.0870      4.3350      0.0730     16.2534      0.0057     14.8680      0.0023      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.0930      0.0030      1.0850      0.0050      ------      ------      1.4040      0.0060
   58   1.43   239.94105788600   -53.74271211610      0.3439      0.0402     -1.6000      0.0690     -5.1120      0.0530     16.4046      0.0043     14.3711      0.0011     12.7410      0.0290     12.0380      0.0290     11.7890      0.0280     11.6890      0.0780     11.6600      0.1010     11.1060      0.2020      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.1430      0.0030      1.7880      0.0080      ------      ------      2.0600      0.0030
   59   2.95   239.85590054800   -53.79486379210      0.2863      0.0429     -1.9750      0.0690     -2.3030      0.0560     16.3764      0.0033     15.1099      0.0013     14.0680      0.0290     13.8760      0.0340     13.4770      0.0470     13.3740      0.0980     13.3590      0.1800      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.1610      0.0020      0.9010      0.0040      0.6540      0.0160      1.2750      0.0020
   60   2.46   239.95486451100   -53.78709593920      0.5813      0.0446     -2.5210      0.0720     -4.8030      0.0570     16.4696      0.0075     14.9393      0.0086     13.7230      0.0210     13.3250      0.0310     13.1440      0.0300     13.2490      0.1080     12.8810      0.1790      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.1990      0.0030      1.1740      0.0050      0.5980      0.0210      1.6160      0.0030
   61   1.43   239.87035178200   -53.76496379840      0.2788      0.0454     -3.5470      0.0690     -5.0050      0.0570     16.4419      0.0045     14.9860      0.0017     13.9000      0.0250     13.5310      0.0350     13.3310      0.0640      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.2230      0.0020      1.0720      0.0050      ------      ------      1.4390      0.0020
   62   2.80   239.88421386600   -53.80113901280      0.3185      0.0461     -2.3790      0.0740     -2.8950      0.0580     16.5543      0.0036     15.0683      0.0013     13.8640      0.0860     13.6010      0.0790     13.3570      0.0880     13.2880      0.0680     13.1790      0.1170      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.2560      0.0030      1.0260      0.0070      0.7660      0.0240      1.4260      0.0040
   63   3.03   239.95043453800   -53.80071520590      0.6264      0.0452      1.2390      0.0700     -1.6610      0.0560     16.5941      0.0025     14.8453      0.0011     13.5130      0.0280     13.1180      0.0300     12.9710      0.0280     12.7380      0.0630     12.6730      0.1340      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.3110      0.0030      1.3150      0.0070      0.6550      0.0270      1.7960      0.0030
   64   1.19   239.88948563800   -53.77314074170      0.2583      0.0500     -3.0140      0.0800     -3.7750      0.0630     16.5934      0.0052     13.8998      0.0017     11.6440      0.0260     10.9410      0.0290     10.4340      0.0230      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.3200      0.0030      1.9690      0.0100      ------      ------      2.7410      0.0040
   65   2.39   239.84188199300   -53.76328765440      0.3556      0.0440     -1.3030      0.0710     -3.1950      0.0580     16.5718      0.0035     15.0921      0.0017     13.7210      ------     12.4500      ------     12.9230      0.1960      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.3380      0.0030      1.0930      0.0060      0.8190      0.0250      1.4700      0.0030
   66   2.09   239.90713873500   -53.79149459450     -3.6459      0.3286     -8.4230      0.5040     -2.9500      0.4090     16.5742      0.0055     14.8138      0.0023     13.4700      0.0280     12.9620      0.0310     12.7530      0.0350     12.3770      0.0950     12.1760      0.1230      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.3410      0.0030      1.3830      0.0070      0.8550      0.0340      1.8090      0.0030
   67   0.19   239.90400432200   -53.75469411860      0.0657      0.1340     -3.5960      0.2110     -4.6290      0.1640     16.5915      0.0401     14.8188      0.0137      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.3650      0.0060      1.5430      0.0100      ------      ------      1.6810      0.0110
   68   0.57   239.92062444700   -53.75051124170      0.3783      0.0530     -1.4000      0.0890     -3.4070      0.0690     16.5648      0.0033     15.1011      0.0011      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.3690      0.0030      1.1020      0.0060      0.6490      0.0240      1.5380      0.0030
