    N    R        ALFA(gaia)        DELTA(gaia)      PARALAJE     ERROR     MOV.PR.ALF    ERROR     MOV.PR.DEL    ERROR        BP         ERROR        RP         ERROR         J         ERROR         H         ERROR         K         ERROR       3.6         ERROR        4.5        ERROR        5.8        ERROR       8          ERROR         W1         ERROR        W2         ERROR         W3        ERROR         W4        ERROR         V         ERROR        B-V        ERROR        U-B        ERROR        V-I        ERROR   
    1   2.64   166.44490085300   -62.52310857210      0.9958      0.0307    -17.5660      0.0490      5.2850      0.0420     10.8101      0.0015      8.5617      0.0013      6.8820      0.0230      6.0170      0.0340      5.7400      0.0200      ------      ------      ------      ------      ------      ------      ------      ------      5.5460      0.1410      5.5550      0.0550      5.2480      0.0150      4.8300      0.0300     10.5240      0.0010      1.9080      0.0010      2.3530      0.0030      2.1770      0.0020
    2   2.19   166.33771674100   -62.46357046370      0.4216      0.0427     -6.1160      0.0680     -0.5040      0.0620     12.3834      0.0027      9.7431      0.0011      7.7680      0.0180      6.7410      0.0440      6.4140      0.0170      ------      ------      ------      ------      ------      ------      ------      ------      6.1180      0.0850      6.2410      0.0250      5.5120      0.0150      3.5770      0.0260     12.1680      0.0010      2.1490      0.0010      2.6700      0.0060      2.5650      0.0010
    3   1.26   166.44815203700   -62.47790462780      4.0920      0.8042     -7.0040      1.4150      1.6960      1.3120     12.9781      0.0015     11.9264      0.0014     11.1110      0.0230     10.9090      0.0240     10.7100      0.0190      ------      ------      ------      ------      ------      ------      ------      ------     10.0320      0.0370      9.7910      0.0490      4.2770      0.0270      2.0610      0.0250     12.7690      0.0010      0.7210      0.0010      0.4290      0.0020      0.9880      0.0010
    4   1.91   166.36519441200   -62.50963321030      0.3203      0.0309     -6.6110      0.0500      1.7400      0.0450     12.9429      0.0021     11.9057      0.0010     11.1050      0.0300     10.8830      0.0380     10.8250      0.0370      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     12.7700      0.0010      0.6730      0.0010     -0.1690      0.0020      0.9520      0.0010
    5   1.30   166.35897222900   -62.48915453290      0.7079      0.0346    -10.6830      0.0500      2.1600      0.0450     13.1938      0.0018     11.3836      0.0011      9.9890      0.0210      9.3660      0.0250      9.1340      0.0210      ------      ------      ------      ------      ------      ------      ------      ------      8.9330      0.0230      9.1060      0.0220      7.6150      0.0700      2.9380      0.0580     12.9470      0.0010      1.5290      0.0010      1.5350      0.0040      1.6560      0.0010
    6   2.66   166.34419292900   -62.44881573460      0.7504      0.0182    -11.5880      0.0290      2.0510      0.0300     13.7193      0.0015     12.8420      0.0014     12.1780      0.0220     12.0710      0.0220     11.9710      0.0210      ------      ------      ------      ------      ------      ------      ------      ------     11.5730      0.0260     11.5040      0.0210      7.0520      0.0180      4.8650      0.0300     13.5220      0.0010      0.6170      0.0010      0.2580      0.0020      0.7900      0.0010
    7   2.51   166.31375464800   -62.48486134820      0.5287      0.0194     -3.5340      0.0340      1.8300      0.0320     13.6898      0.0017     12.8587      0.0009     12.1850      0.0220     12.0070      0.0230     11.9100      0.0230      ------      ------      ------      ------      ------      ------      ------      ------     11.3850      0.0350     11.1230      0.0330      7.1670      0.0170      4.8750      0.0330     13.5330      0.0010      0.5540      0.0010      0.2890      0.0020      0.7390      0.0010
    8   2.50   166.45664405300   -62.51728689600      1.4864      0.2585    -11.1080      0.4050      1.6740      0.3400     13.9976      0.0013     12.9351      0.0008     12.1380      0.0230     11.8470      0.0220     11.7700      0.0210      ------      ------      ------      ------      ------      ------      ------      ------     11.2510      0.0270     11.3050      0.0240      8.3840      0.0910      5.9490      0.0530     13.7710      0.0010      0.7650      0.0010      0.2190      0.0020      1.0050      0.0010
    9   2.17   166.40240844700   -62.51944376940      0.4474      0.0345     -6.7000      0.0570      4.3490      0.0490     14.4270      0.0016     12.6847      0.0008     11.3280      0.0230     10.7250      0.0220     10.5780      0.0240      ------      ------      ------      ------      ------      ------      ------      ------     10.2630      0.0230     10.5560      0.0220     12.0490      ------      5.4950      0.0620     14.1610      0.0010      1.4000      0.0010      1.0600      0.0060      1.6280      0.0010
   10   1.92   166.41599054700   -62.51485498070      0.3934      0.0214     -6.8820      0.0360      1.4290      0.0340     14.4418      0.0020     13.7484      0.0014     13.1700      0.0230     13.0620      0.0360     13.0180      0.0380      ------      ------      ------      ------      ------      ------      ------      ------     11.9110      0.0530     12.4050      0.0370      9.3110      0.2770      4.9700      0.0610     14.2930      0.0010      0.4690      0.0010      0.1230      0.0020      0.6630      0.0010
