    N    R        ALFA(gaia)        DELTA(gaia)      PARALAJE     ERROR     MOV.PR.ALF    ERROR     MOV.PR.DEL    ERROR        BP         ERROR        RP         ERROR         J         ERROR         H         ERROR         K         ERROR       3.6         ERROR        4.5        ERROR        5.8        ERROR       8          ERROR         W1         ERROR        W2         ERROR         W3        ERROR         W4        ERROR         V         ERROR        B-V        ERROR        U-B        ERROR        V-I        ERROR   
   11   1.89   166.47220131200   -62.48516853040      1.1567      0.0219     -7.8130      0.0340     -4.7480      0.0290     14.6997      0.0014     13.3923      0.0011     12.4100      0.0280     12.0520      0.0300     11.8610      0.0260      ------      ------      ------      ------      ------      ------      ------      ------     11.3820      0.0270     12.2100      0.0310      8.7080      0.0760      5.8870      0.0410     14.4330      0.0010      0.9290      0.0010      0.2770      0.0030      1.2370      0.0020
   12   1.79   166.46408948900   -62.49432186300      0.6346      0.0226     -2.5760      0.0350      2.8930      0.0300     14.8151      0.0018     13.4787      0.0010     12.4950      0.0260     12.0720      0.0240     11.9830      0.0270      ------      ------      ------      ------      ------      ------      ------      ------     11.3340      0.0260     11.6520      0.0300      7.3780      0.0270      5.2450      0.0400     14.5600      0.0010      0.9690      0.0010      0.3670      0.0040      1.2690      0.0020
   13   0.13   166.40538499500   -62.48531683300      0.1629      0.0203     -5.0690      0.0330      1.6940      0.0290     14.8835      0.0034     12.9148      0.0017     11.3440      0.0260     10.8670      0.0270     10.6040      0.0240      ------      ------      ------      ------      ------      ------      ------      ------     10.1040      0.0370      9.7890      0.0410      5.1420      0.0340      1.1760      0.0340     14.6610      0.0010      1.3090      0.0020      0.1330      0.0040      1.8760      0.0020
   14   2.16   166.47443825000   -62.49896224510      0.4898      0.0232     -7.2580      0.0380      1.8200      0.0320     14.8764      0.0023     13.9791      0.0016     13.2550      0.0230     13.1030      0.0220     13.0050      0.0320      ------      ------      ------      ------      ------      ------      ------      ------     12.5710      0.0310     12.5540      0.0350      9.7150      0.3540      7.1770      0.1130     14.6620      0.0010      0.6270      0.0010      0.3670      0.0030      0.8460      0.0020
   15   0.40   166.41136785100   -62.47758173220     -0.2282      0.1060     -4.8350      0.1660      1.5220      0.1320     15.1370      0.0062     13.1737      0.0037     11.6230      0.0240     11.1960      0.0290     10.9120      0.0240      ------      ------      ------      ------      ------      ------      ------      ------     10.5210      0.0450     10.4290      0.0510      5.7860      0.0230      1.4860      0.0380     14.9120      0.0010      1.3110      0.0020      0.1950      0.0050      1.8620      0.0020
   16   2.88   166.33600193500   -62.51952883170      0.5106      0.0251     -9.5030      0.0420      3.6670      0.0360     15.1795      0.0021     14.0570      0.0013     13.1880      0.0260     12.9220      0.0350     12.7700      0.0340      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.9860      0.0010      0.7660      0.0010      0.4030      0.0040      1.0180      0.0020
   17   2.63   166.30954471100   -62.48587429320      0.2829      0.0255     -4.5060      0.0430      1.3940      0.0410     15.4921      0.0027     13.8361      0.0018     12.5510      0.0240     12.1050      0.0230     11.8670      0.0270      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.2610      0.0010      1.1090      0.0020      0.7370      0.0080      1.5320      0.0020
   18   1.87   166.43788118000   -62.45621958270      0.5818      0.0274     -7.2870      0.0440      2.8950      0.0380     15.5616      0.0026     14.3227      0.0016     13.3860      0.0260     13.0290      0.0290     12.9060      0.0300      ------      ------      ------      ------      ------      ------      ------      ------     12.2170      0.0280     13.2490      0.0300      8.4410      0.0860      4.7980      0.0460     15.3240      0.0010      0.8630      0.0020      0.3420      0.0050      1.1640      0.0020
   19   0.59   166.38491564600   -62.48735052430      0.2070      0.0286     -5.6890      0.0450      1.9330      0.0410     15.5633      0.0026     14.1959      0.0033     13.0970      0.0300     12.8140      0.0290     12.5620      0.0290      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.3480      0.0010      0.9010      0.0020      0.0670      0.0050      1.2540      0.0020
   20   2.04   166.43372053100   -62.51437051390      1.0686      0.0286      8.4730      0.0450     -3.7030      0.0380     15.6117      0.0027     14.2116      0.0014     13.1560      0.0290     12.6780      0.0290     12.5850      0.0320      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.3670      0.0010      1.0690      0.0020      0.5060      0.0070      1.3050      0.0020
   21   0.96   166.43479541300   -62.47592010510      0.4065      0.0317     -9.9490      0.0510      1.7320      0.0430     15.7071      0.0040     14.6040      0.0019     13.7890      0.0240     13.5340      0.0450     13.3740      0.0400      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.4910      0.0020      0.7790      0.0020      0.4610      0.0060      1.0250      0.0020
   22   2.97   166.32144932800   -62.51488443120      0.7130      0.0294    -17.4840      0.0480      4.6650      0.0410     15.7309      0.0033     14.3603      0.0055     13.2740      0.0450     12.9160      0.0530     12.6620      0.0400      ------      ------      ------      ------      ------      ------      ------      ------     12.3050      0.0430     12.7090      0.0400     12.1610      ------      9.0740      ------     15.5170      0.0020      0.6960      0.0060      ------      ------      1.2340      0.0020
   23   2.78   166.33046679200   -62.45205402530      0.2780      0.0414     -5.1840      0.0650      2.0000      0.0620     15.8682      0.0037     13.3654      0.0026     11.2970      0.0240     10.3740      0.0290      9.9260      0.0210      ------      ------      ------      ------      ------      ------      ------      ------      9.6120      0.0230      9.6340      0.0200      7.2590      0.0200      5.3140      0.0370     15.6160      0.0020      1.9740      0.0030      1.5840      0.0320      2.4030      0.0020
   24   2.08   166.43599829000   -62.51471284430      0.3795      0.0289     -7.2310      0.0450      1.5490      0.0390     15.9235      0.0036     14.1360      0.0014     12.7150      0.0400     12.0580      0.0390     11.9000      0.0330      ------      ------      ------      ------      ------      ------      ------      ------     10.9890      0.0260     11.0560      0.0250      8.1460      0.1210      6.2120      0.1050     15.6540      0.0020      1.4210      0.0030      1.1420      0.0180      1.7020      0.0020
   25   1.30   166.41199166400   -62.50465202560      0.2659      0.0262     -7.0750      0.0440      3.3110      0.0370     15.9224      0.0031     13.8924      0.0016     12.2380      0.0260     11.5440      0.0250     11.3230      0.0260      ------      ------      ------      ------      ------      ------      ------      ------     10.9130      0.0360     10.9440      0.0640      9.5810      ------      3.1450      0.0370     15.6620      0.0020      1.4840      0.0030      1.0100      0.0250      1.9270      0.0020
   26   1.68   166.35098735800   -62.49669755600      0.5461      0.0327     -5.9740      0.0540      3.0080      0.0470     15.9476      0.0037     14.6219      0.0018     13.6380      0.0530     13.2460      0.0480     13.1050      0.0520      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.7510      0.0020      0.9500      0.0020      0.3150      0.0080      1.1990      0.0020
   27   1.95   166.46916912800   -62.49583595870      1.0756      0.1985     -6.8300      0.3410      4.0070      0.2650     16.0175      0.0054     14.7771      0.0027     13.8030      0.0230     13.4900      0.0360     13.3420      0.0380      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.7640      0.0020      0.8830      0.0020      0.3460      0.0080      1.1630      0.0020
   28   1.77   166.45864284200   -62.46795070350      0.9165      0.0401     -8.0330      0.0630      1.5860      0.0550     16.0536      0.0036     14.6424      0.0016     13.5690      0.0330     13.2220      0.0360     12.9230      0.0400      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.8060      0.0020      1.0080      0.0020      0.3390      0.0080      1.3430      0.0020
   29   0.62   166.38363149400   -62.47918433680      0.1632      0.0292     -5.4180      0.0470      1.8980      0.0420     16.0174      0.0041     14.0780      0.0020     12.5680      0.0360     12.0850      0.0400     11.8040      0.0330      ------      ------      ------      ------      ------      ------      ------      ------     11.4590      0.0370     12.0780      0.0510      9.8300      ------      2.6780      0.0580     15.8280      0.0020      1.2760      0.0030      0.1260      0.0090      1.8460      0.0020
   30   0.31   166.41527767200   -62.48244610590      0.1651      0.0323     -5.0950      0.0520      1.9040      0.0450     16.1518      0.0048     14.1243      0.0018     12.4770      0.0260     11.9350      0.0260     11.5650      0.0260      ------      ------      ------      ------      ------      ------      ------      ------     10.5550      0.0440     10.0030      0.0450      5.0070      0.0370      0.9170      0.0340     15.9120      0.0020      1.3450      0.0030      0.2600      0.0110      1.9340      0.0020
   31   0.55   166.39790498900   -62.47467100920      0.6145      0.0398     -7.6030      0.0620      3.1050      0.0560     16.1715      0.0064     14.6807      0.0174      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.9350      0.0030      1.0360      0.0040      0.4050      0.0100      1.3650      0.0070
   32   1.98   166.46328656800   -62.50176429800      0.7697      0.0359    -17.6380      0.0630      1.6150      0.0500     16.2396      0.0043     14.8209      0.0023     13.7440      0.0290     13.2440      0.0360     13.1880      0.0450      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.9830      0.0020      1.0220      0.0030      0.2820      0.0090      1.3510      0.0020
   33   1.58   166.35453549300   -62.49625894610      0.5635      0.0372     -8.5770      0.0630      3.1340      0.0600     16.2223      0.0042     14.8811      0.0023     13.9000      0.0260     13.4600      0.0290     13.2800      0.0350      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.0260      0.0020      0.9310      0.0030      0.2680      0.0090      1.2140      0.0020
   34   1.89   166.46861145000   -62.49370465380      0.3895      0.0349    -10.0060      0.0570      3.4880      0.0480     16.4273      0.0065     14.7966      0.0028     13.5720      0.0470     13.0630      0.0330     12.8860      0.0390      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.1500      0.0020      1.2580      0.0030      0.7460      0.0260      1.5450      0.0020
   35   1.92   166.34569281500   -62.50031257330      0.3843      0.0412     -7.3980      0.0670      1.8550      0.0590     16.4572      0.0065     15.2518      0.0033     14.3640      0.0630     13.9960      0.0580     13.8230      0.0890      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.2760      0.0020      0.8180      0.0030      0.3300      0.0100      1.0830      0.0030
   36   0.66   166.39052079600   -62.47431964970      0.4118      0.0454     -7.0790      0.0700      1.0430      0.0620     16.4916      0.0064     15.2034      0.0032     14.1580      0.0490     13.8040      0.0560     13.3800      0.0550      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.2920      0.0020      0.8370      0.0030      0.4050      0.0110      1.1900      0.0030
   37   2.08   166.36705198500   -62.45312388650      0.6127      0.0411     -8.1930      0.0680      2.7910      0.0610     16.5855      0.0075     15.1494      0.0030     14.0520      0.0460     13.5670      0.0600     13.4270      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.3590      0.0020      1.0030      0.0030      0.3650      0.0130      1.3310      0.0030
   38   2.63   166.37656460500   -62.52519147760      0.3807      0.0463     -5.9950      0.0780      2.4310      0.0640     16.6497      0.0051     15.4116      0.0035     14.4520      0.0390     14.1330      0.0620     14.1750      0.0890      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.4380      0.0020      0.8300      0.0030      0.5670      0.0140      1.1510      0.0030
   39   3.26   166.31853160000   -62.44615549280      0.2337      0.0543     -5.6420      0.0850      1.1140      0.0790     16.7566      0.0069     15.3014      0.0025     14.1000      0.0500     13.7430      0.0660     13.5510      0.0650      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.4650      0.0060      0.9530      0.0060      ------      ------      ------      0.0000
   40   1.08   166.37072981200   -62.47394216380      0.5348      0.0455    -10.8570      0.0730      1.4970      0.0630     16.7092      0.0043     15.2587      0.0026     14.2320      0.0350     13.7970      0.0360     13.6430      0.0490      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.4700      0.0020      1.0270      0.0030      0.4030      0.0210      1.3170      0.0030
   41   2.76   166.32226645400   -62.50936006240      0.1873      0.0504     -2.5310      0.0860      1.6230      0.0700     16.6297      0.0087     13.5994      0.0031     11.2270      0.0400     10.1110      0.0560      9.6680      0.0440      ------      ------      ------      ------      ------      ------      ------      ------      8.9390      0.0230      9.0460      0.0230     12.4190      ------      9.2870      ------     16.4830      0.0030      2.4720      0.0080      ------      ------      3.0060      0.0030
   42   1.61   166.34625076000   -62.48258785490      0.2159      0.0395     -4.5570      0.0680     -0.1610      0.0580     16.6905      0.0062     14.2398      0.0023     12.2590      0.0210     11.3850      0.0220     11.1030      0.0190      ------      ------      ------      ------      ------      ------      ------      ------     10.9720      0.0290     11.0630      0.0370     12.0220      ------      3.7040      0.0300     16.4850      0.0020      1.8820      0.0050      ------      ------      2.3730      0.0020
   43   2.46   166.34396852200   -62.51340189640      0.4938      0.0451     -4.8460      0.0750      6.2700      0.0650     16.7471      0.0053     15.4376      0.0036     14.4880      0.0420     14.1180      0.0560     14.0050      0.0700      ------      ------      ------      ------      ------      ------      ------      ------     13.2790      0.1120     14.1840      0.0700     12.1940      ------      5.6930      0.0480     16.5290      0.0020      0.9230      0.0030      0.2720      0.0120      1.1890      0.0030
   44   1.86   166.39124765900   -62.51374530350      0.6322      0.0449     -6.0780      0.0750      1.6420      0.0640     16.8410      0.0050     15.3318      0.0028     14.2300      0.0620     13.7520      0.0950     13.6360      0.0850      ------      ------      ------      ------      ------      ------      ------      ------     11.7810      0.0480     11.4780      0.0410      7.0560      0.1130      4.1730      0.0490     16.5940      0.0030      1.1300      0.0040      0.5500      0.0190      1.3900      0.0030
   45   1.69   166.46432299200   -62.47832530010      0.5537      0.0461     -6.4450      0.0750      0.1010      0.0640     16.8277      0.0069     15.3958      0.0026     14.3520      0.0600     13.9230      0.0670     13.7260      0.0660      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.6090      0.0030      1.0510      0.0040      0.3120      0.0240      1.3780      0.0030
   46   1.64   166.37038318400   -62.46094366030      0.2861      0.0469     -5.0250      0.0800      1.3200      0.0680     16.8607      0.0068     15.3684      0.0025     14.1310      0.0290     13.8510      0.0330     13.5960      0.0400      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.6310      0.0030      0.9610      0.0040      0.4890      0.0250      1.3860      0.0030
   47   2.94   166.47817824900   -62.51833736460      0.4618      0.0532     -6.2740      0.0950      2.4410      0.0750     16.9731      0.0070     15.7392      0.0040     14.8180      0.0530     14.5270      0.0650     14.6500      0.1110      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.6980      0.0030      0.8740      0.0040      0.2510      0.0140      1.1610      0.0040
   48   0.68   166.38485846500   -62.47631515850      0.1608      0.0457     -5.1060      0.0710      1.8520      0.0600     16.9212      0.0061     14.9353      0.0020     13.3400      0.0330     12.8570      0.0360     12.5520      0.0370      ------      ------      ------      ------      ------      ------      ------      ------     12.7050      0.1530     14.4460      0.5120     12.3450      ------      2.4960      0.0370     16.7500      0.0030      1.2580      0.0040      0.1740      0.0180      1.9190      0.0030
   49   2.13   166.45194892900   -62.51111467070      0.8299      0.0527    -13.4530      0.0940      0.0650      0.0720     17.0650      0.0088     15.5508      0.0027     14.4270      0.0350     13.9360      0.0390     13.8040      0.0600      ------      ------      ------      ------      ------      ------      ------      ------     11.9370      0.0380     12.3610      0.0420      7.1500      0.0360      5.4010      0.0580     16.7640      0.0030      1.1580      0.0040      0.7660      0.0390      1.3980      0.0030
   50   0.28   166.39849426500   -62.47950872490      0.1655      0.0441     -5.4450      0.0700      1.9750      0.0640     16.9815      0.0060     15.0593      0.0027     13.5110      0.0530     12.9620      0.0580     12.6720      0.0520      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.7730      0.0030      1.2740      0.0040      0.3850      0.0350      1.8210      0.0030
   51   2.37   166.38096507700   -62.52124474050      0.5371      0.0569     -5.1850      0.1140      2.1650      0.0880     17.0814      0.0060     15.6160      0.0094     14.3930      0.0500     14.0160      0.0490     13.8380      0.0690      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.7960      0.0030      1.0770      0.0050      0.5220      0.0340      1.3650      0.0060
   52   1.66   166.34526619000   -62.48791324390      0.5340      0.0504    -14.9480      0.0890     10.6570      0.0710     17.0551      0.0053     15.4758      0.0035     14.3490      0.0330     13.8350      0.0420     13.6660      0.0550      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.8160      0.0030      1.1970      0.0040      0.7350      0.0410      1.4290      0.0030
   53   2.85   166.35137262100   -62.52406496410      0.8041      0.1102     -5.8190      0.1900      2.2100      0.1570     17.0586      0.0075     14.7766      0.0020     12.9580      0.0290     12.2010      0.0290     11.8990      0.0290      ------      ------      ------      ------      ------      ------      ------      ------     11.7400      0.0340     12.0350      0.0320     12.4750      ------      9.3090      ------     16.8330      0.0030      1.8140      0.0060      ------      ------      2.1760      0.0030
   54   2.73   166.34972801800   -62.52115086150      0.3901      0.0551     -6.7040      0.1050      1.7030      0.0810     17.0608      0.0071     15.7020      0.0041     14.5660      0.0380     14.2800      0.0410     14.1780      0.0690      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.8330      0.0030      0.9180      0.0040      0.6020      0.0310      1.2410      0.0030
   55   2.22   166.39054295600   -62.51969901810     -0.3227      0.0895     -6.3150      0.1480      1.7070      0.1260     17.0539      0.0119     14.6155      0.0031     12.6210      0.0230     11.7310      0.0220     11.4700      0.0190      ------      ------      ------      ------      ------      ------      ------      ------     10.9210      0.0390     11.1390      0.0270      7.6030      0.0290      4.8010      0.0520     16.8480      0.0030      1.9900      0.0070      ------      ------      2.3770      0.0030
   56   2.90   166.31149017200   -62.46081902850      0.6877      0.0615     -9.5930      0.0980      1.7740      0.0880     17.1597      0.0068     15.5961      0.0040     14.0930      ------     13.9580      0.0410     13.7830      0.0570      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.8870      0.0030      1.0780      0.0040      ------      ------      1.4380      0.0030
   57   0.68   166.38105652900   -62.47966559410      0.7439      0.0517    -11.5240      0.0920     11.4830      0.0730     17.0712      0.0083     15.5193      0.0028     14.4260      0.0660     13.8510      0.0710     13.7100      0.0550      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.8930      0.0030      1.1230      0.0040      0.4410      0.0370      1.4430      0.0030
   58   2.00   166.34350930300   -62.50126555630      0.6986      0.0594     -6.5380      0.1230      2.7950      0.1010     17.1772      0.0088     15.5623      0.0046     14.4130      0.0320     13.8590      0.0870     13.7590      0.0550      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.9360      0.0030      1.2540      0.0050      0.8690      0.0440      1.4510      0.0030
   59   0.13   166.39958962000   -62.48380122130      0.0872      0.0512     -5.4570      0.0880      1.9720      0.0730     17.2015      0.0067     15.2459      0.0027     13.6670      0.0870     13.0960      0.1210     12.7390      0.0970      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.9770      0.0030      1.2850      0.0050      0.2520      0.0240      1.8560      0.0030
   60   1.81   166.36056358800   -62.50575257360      0.4760      0.0605     -5.6070      0.1200     -0.3830      0.0860     17.2293      0.0064     15.7010      0.0040     14.6960      0.0300     14.1070      0.0530     13.9110      0.0500      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.9820      0.0030      1.1460      0.0040      0.6360      0.0470      1.3710      0.0030
   61   1.65   166.46326084900   -62.47962517250      0.4098      0.0598     -7.1090      0.1030      3.3990      0.0830     17.2308      0.0103     15.7312      0.0034     14.5490      0.0290     14.1600      0.0390     13.9380      0.0590      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.9860      0.0030      1.0440      0.0050      0.4880      0.0310      1.4310      0.0040
   62   0.74   166.39085562300   -62.49391158870      0.7202      0.0584     -7.3400      0.1010      1.3840      0.0850     17.2085      0.0065     15.8071      0.0034     14.7520      0.0490     14.3860      0.0580     14.5320      0.0910      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.0080      0.0030      1.0080      0.0050      ------      ------      1.2700      0.0040
   63   2.12   166.42374999700   -62.51745842060      1.2602      0.0594    -13.6880      0.1040      2.7150      0.0830     17.3317      0.0059     15.6719      0.0040     14.4790      0.0290     13.8440      0.0350     13.7470      0.0540      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.0640      0.0030      1.3180      0.0050      ------      ------      1.5560      0.0040
   64   2.42   166.47853378500   -62.46217975470      0.3314      0.0570     -4.7030      0.1030      1.7450      0.0840     17.3368      0.0058     15.5737      0.0027     14.1740      0.0670     13.6950      0.0680     13.4410      0.0750      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.0650      0.0030      1.2050      0.0050      ------      ------      1.7100      0.0040
   65   1.16   166.41884997500   -62.50142318620      1.0914      0.0581      1.7360      0.1070    -11.0620      0.0810     17.3302      0.0087     15.7107      0.0040     14.5370      0.0290     13.9420      0.0270     13.9020      0.0570      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.0690      0.0030      1.2520      0.0050      ------      ------      1.4810      0.0040
   66   3.25   166.31087875800   -62.51626555840      0.3842      0.0771    -12.4450      0.1420      3.5520      0.1120     17.7397      0.0476     16.1241      0.0039      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.1050      0.0470      1.1980      0.0450      0.6480      0.0430      ------      0.0000
   67   2.58   166.38635072300   -62.52543262910      0.4797      0.0631     -6.4510      0.1270      3.2310      0.0990     17.3595      0.0066     15.9297      0.0047     14.8900      0.0410     14.5160      0.0470     14.6210      0.1030      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.1290      0.0030      1.0730      0.0050      0.4360      0.0260      1.3060      0.0040
   68   2.47   166.38455611000   -62.52347761630      0.2047      0.0631     -5.3560      0.1270      2.4990      0.0990     17.3980      0.0063     15.9053      0.0035     14.6570      0.0460     14.2470      0.0390     14.1590      0.0700      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.1810      0.0030      0.9730      0.0050      0.5480      0.0260      1.3960      0.0040
   69   1.79   166.34157869000   -62.47629438430      0.2202      0.0630     -5.5050      0.1200      1.6330      0.0940     17.4242      0.0107     15.7858      0.0032     14.4650      0.0360     14.0230      0.0570     13.8030      0.0630      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.2010      0.0030      1.0180      0.0050      0.5940      0.0450      1.5200      0.0040
