    N    R        ALFA(gaia)        DELTA(gaia)      PARALAJE     ERROR     MOV.PR.ALF    ERROR     MOV.PR.DEL    ERROR        BP         ERROR        RP         ERROR         J         ERROR         H         ERROR         K         ERROR       3.6         ERROR        4.5        ERROR        5.8        ERROR       8          ERROR         W1         ERROR        W2         ERROR         W3        ERROR         W4        ERROR         V         ERROR        B-V        ERROR        U-B        ERROR        V-I        ERROR   
   16   2.30   254.87339772900   -40.21410417760      0.6915      0.0497     -0.7910      0.0770     -1.4600      0.0610     15.4529      0.0035     14.1415      0.0019     13.1090      0.0300     12.7250      0.0470     12.5780      0.0350     12.5420      0.0760     12.5530      0.1010      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.2660      0.0020      0.9170      0.0030      0.4000      0.0100      1.1810      0.0020
   17   1.46   254.88587704000   -40.17673299100      1.2664      0.0451     -1.9480      0.0790     -1.2990      0.0550     15.5679      0.0018     14.3390      0.0017     13.4950      0.0270     13.0160      0.0400     12.8850      0.0580     12.5500      0.1040     12.6990      0.2600      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.3550      0.0020      0.9410      0.0030      0.3560      0.0110      1.0830      0.0020
   18   1.22   254.90180846100   -40.20860797800      0.9256      0.1312     -1.8890      0.1890     -2.6720      0.1380     15.5856      0.0036     14.2469      0.0029     13.2360      0.0390     12.7400      0.0440     12.6300      0.0620     12.6840      0.0940     12.7640      0.1530      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.3990      0.0020      1.0050      0.0030      0.4720      0.0120      1.1890      0.0020
   19   3.41   254.95643911700   -40.23577648680      0.7576      0.0496      2.3870      0.1080     -1.8830      0.0710     15.6825      0.0030     14.3697      0.0024     13.4120      0.0260     12.9580      0.0300     12.8680      0.0350     12.7320      0.0760     12.6480      0.1010      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.4270      0.0020      0.9570      0.0030      0.3550      0.0110      1.2110      0.0020
   20   0.93   254.89400305400   -40.18351038650      0.5655      0.0500     -0.7580      0.0790     -0.6710      0.0560     15.7683      0.0041     14.5125      0.0013     13.6170      0.0290     13.2450      0.0280     13.2080      0.0400     13.2110      0.0800     13.1140      0.1460      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.5770      0.0020      0.8790      0.0030      0.2950      0.0110      1.1210      0.0020
   21   1.50   254.90251602300   -40.21383286340      0.7527      0.0490     -0.3260      0.0790     -3.6750      0.0560     15.7723      0.0028     14.4869      0.0014     13.5940      ------     13.1400      ------     13.0980      0.0370      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.5820      0.0020      0.9410      0.0030      0.3570      0.0120      1.1340      0.0020
   22   1.50   254.93014477000   -40.16889526520      0.3394      0.4451     -2.3580      0.6740     -9.1680      0.4910     16.0502      0.0066     14.3468      0.0013     13.1210      0.0260     12.4290      0.0270     12.3640      0.0270     12.5630      0.1540      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.7760      0.0020      1.3310      0.0050      1.0520      0.0330      1.5720      0.0020
   23   0.82   254.93012594600   -40.19220520300      0.7134      0.0534     -4.3550      0.0840     -1.4820      0.0610     16.1234      0.0062     14.7664      0.0022     13.7640      0.0630     13.2770      0.0580     12.7110      ------     12.7620      0.1060     12.5530      0.1890      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.9060      0.0020      1.0320      0.0050      0.4550      0.0270      1.2230      0.0030
   24   2.48   254.88917954900   -40.22724137070      0.5624      0.0659      0.2930      0.0950      0.8160      0.0750     16.0931      0.0027     14.8587      0.0013     13.9570      0.0300     13.5420      0.0440     13.3220      0.0450      ------      ------      ------      ------      ------      ------      ------      ------     13.4570      0.0710     13.6920      ------      8.9900      ------      3.2420      0.2270     15.9240      0.0020      0.8660      0.0040      0.2740      0.0140      1.1110      0.0030
   25   0.31   254.90604778100   -40.19131239630      0.6575      0.0662      0.5550      0.1020     -0.2870      0.0740     16.1298      0.0059     13.6649      0.0021     11.5340      0.0270     10.8020      0.0270     10.4340      0.0260     10.1390      0.0640     10.1210      0.0750      9.8220      0.1080      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.9500      0.0020      1.5350      0.0060      0.4010      0.0280      2.3960      0.0020
   26   1.87   254.87209928500   -40.18517224070      0.6207      0.0557     -6.8000      0.0980     -6.0480      0.0690     16.2662      0.0035     14.7617      0.0035     13.6470      0.0420     13.0240      0.0590     12.7420      0.0990     12.8910      0.1450     12.5200      0.2580      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.0530      0.0020      1.1500      0.0050      0.6840      0.0280      1.3480      0.0030
   27   3.00   254.93909385800   -40.23563164160      1.2264      0.0691     -5.6070      0.0910    -19.7120      0.0670     16.3370      0.0039     14.9452      0.0022     13.9040      0.0380     12.2700      ------     11.0750      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.0730      0.0020      1.1020      0.0050      ------      ------      1.2560      0.0030
   28   0.81   254.92976092600   -40.19310764920      0.5354      0.0609     -3.9250      0.1040     -1.7960      0.0730     16.3542      0.0090     15.0054      0.0052     14.0580      0.0330     13.5350      0.0430     12.5430      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.1440      0.0030      1.0100      0.0070      0.4360      0.0310      1.2130      0.0040
   29   2.11   254.92793704700   -40.22319013010      4.1419      0.0538    -23.1380      0.0820    -32.5640      0.0600     16.3851      0.0049     14.2323      0.0015     12.7420      0.0270     11.9790      0.0280     11.7870      0.0350      ------      ------      ------      ------      ------      ------      ------      ------      9.9670      0.0360      9.8370      0.0360      4.4790      0.0360      0.2810      0.0210     16.1620      0.0020      1.6500      0.0080      1.4390      0.0780      2.0790      0.0020
   30   1.60   254.94276968300   -40.17685493270      0.7573      0.0621     -4.1140      0.0940     -5.2300      0.0670     16.4675      0.0044     15.0821      0.0021     14.0440      0.0240     13.6020      0.0300     13.5520      0.0390     13.1890      0.1180     13.2890      0.2880      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.2030      0.0030      1.0210      0.0060      0.4280      0.0230      1.2630      0.0030
   31   2.53   254.91405869200   -40.23212844740      0.6059      0.0600     -2.0490      0.0960     -0.3210      0.0690     16.5698      0.0038     14.5720      0.0020     12.9910      ------     12.1910      0.0440     12.0330      0.0680      ------      ------      ------      ------      ------      ------      ------      ------     10.9670      0.0550     11.4510      0.0670      8.9500      ------      1.1860      0.0480     16.3130      0.0030      1.6240      0.0090      ------      ------      1.8580      0.0030
   32   1.79   254.88396548200   -40.16969879360      0.6967      0.0648     -1.1370      0.1000     -5.9010      0.0730     16.5550      0.0059     15.2052      0.0026     14.2580      0.0330     13.7740      0.0270     13.8510      0.0520     13.6650      0.0970     13.4480      0.1670     11.6130      0.2310      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.3300      0.0030      1.0040      0.0060      0.3340      0.0240      1.2030      0.0030
   33   0.48   254.90639323300   -40.18356577010      0.7535      0.0776     -3.8540      0.1040     -5.8780      0.0790     16.6641      0.0044     15.1737      0.0024     14.0800      0.0390     13.4960      0.0460     13.3530      0.0680     13.1460      0.1350      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.4430      0.0030      1.1440      0.0070      0.6260      0.0350      1.3520      0.0030
   34   2.70   254.86138894000   -40.21227425480      0.5502      0.0893      1.5110      0.1150      0.7050      0.0990     16.7582      0.0047     14.9810      0.0017     13.5160      0.0270     12.9690      0.0280     12.7820      0.0390     12.5890      0.0490     12.5610      0.0910      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.5700      0.0030      1.1700      0.0070      0.6380      0.0440      1.6470      0.0030
   35   1.10   254.93438259700   -40.18229107300      0.7769      0.0889     -4.5280      0.1640     -1.3790      0.1010     17.0560      0.0088     15.5943      0.0080     14.5220      0.0330     14.0180      0.0430     13.7290      0.0820      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.7960      0.0040      1.0950      0.0100      ------      ------      1.3210      0.0040
   36   2.44   254.87063178400   -40.21524095430      0.6360      0.0883      2.4440      0.1650      1.7440      0.1140     17.0201      0.0083     15.4956      0.0024     14.2830      0.0380     13.6050      0.0490     13.0140      0.0420     12.3400      0.0890     12.1410      0.0900      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.8370      0.0040      1.0540      0.0080      0.4370      0.0410      1.4120      0.0040
   37   2.89   254.87657649500   -40.22961074690      1.0759      0.0932    -10.4170      0.1690     -4.8890      0.1180     17.1709      0.0051     15.6683      0.0044     14.6110      0.0300     13.9980      0.0350     14.0220      0.0610     13.5530      0.1640     13.6540      0.3430      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.9760      0.0040      1.1670      0.0110      ------      ------      1.3340      0.0040
   38   1.65   254.89598065400   -40.21446171290      0.5935      0.0981     -5.8210      0.2000     -7.8800      0.1240     17.3305      0.0073     15.8598      0.0055     14.7580      0.0780     14.2150      0.0700     14.0990      0.1250      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.1370      0.0040      1.1480      0.0120      ------      ------      1.3300      0.0050
   39   3.66   254.96495332100   -40.23606064040      0.7289      0.0903     -0.8680      0.1800      0.3360      0.1120     17.4332      0.0106     15.7962      0.0050     14.6020      0.0260     14.0000      0.0370     14.0420      0.0600     13.8930      0.0860     13.6770      0.1470      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.1420      0.0040      1.3110      0.0140      ------      ------      1.4960      0.0050
   40   2.01   254.95297414800   -40.20282270320      0.8174      0.1088     -2.8560      0.2310     -0.4620      0.1450     17.6679      0.0265     16.1217      0.0142      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.1620      0.0060      1.2670      0.0160      ------      ------      ------      0.0000
   41   0.73   254.90633648200   -40.17878778830      0.6586      0.0907      2.0350      0.2020     -4.6300      0.1280     17.3771      0.0116     15.8730      0.0036     14.6620      0.0320     14.2780      0.0470     14.2020      0.0900     13.5660      0.1710      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.1630      0.0040      1.1980      0.0120      ------      ------      1.3770      0.0050
   42   2.78   254.92504649200   -40.23526678730      1.0174      0.0928      3.0760      0.1950     -9.7350      0.1210     17.4284      0.0104     15.8900      0.0041     14.6690      0.0290     13.0450      ------     12.0060      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.1850      0.0040      1.2180      0.0130      ------      ------      1.4270      0.0050
   43   3.56   254.90284269000   -40.24882870700      0.6146      0.1064     -2.1660      0.1950     -3.5610      0.1360     17.4080      0.0076     15.9236      0.0042     14.7940      0.0630     14.1200      0.0500     13.7440      0.0600     13.1310      0.1450     12.8720      0.1440      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.2120      0.0040      1.1260      0.0130      ------      ------      1.3620      0.0050
   44   0.81   254.92102757100   -40.20174654000      1.3214      0.0916    -16.4800      0.1840    -14.1290      0.1150     17.3460      0.0075     15.7176      0.0042     14.5930      0.0500     13.9220      0.0540     13.8120      0.0860     13.5110      0.1090      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.2350      0.0040      1.2000      0.0140      ------      ------      1.4640      0.0050
   45   2.22   254.89149269500   -40.22340178550      0.8244      0.0965     -3.4460      0.1920     -6.5580      0.1250     17.4230      0.0056     15.8857      0.0043     14.7640      0.0450     14.1940      0.0560     13.9410      0.0790      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.2430      0.0050      1.2350      0.0460      ------      ------      1.3910      0.0050
   46   2.18   254.95941265700   -40.19630144880      0.9626      0.1060      0.9010      0.2240     -1.9960      0.1420     17.6937      0.0154     16.0176      0.0074      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.3320      0.0050      1.2600      0.0160      ------      ------      1.8050      0.0080
