    N    R        ALFA(gaia)        DELTA(gaia)      PARALAJE     ERROR     MOV.PR.ALF    ERROR     MOV.PR.DEL    ERROR        BP         ERROR        RP         ERROR         J         ERROR         H         ERROR         K         ERROR       3.6         ERROR        4.5        ERROR        5.8        ERROR       8          ERROR         W1         ERROR        W2         ERROR         W3        ERROR         W4        ERROR         V         ERROR        B-V        ERROR        U-B        ERROR        V-I        ERROR   
  ---   3.21   254.90079627400   -40.13730922250      1.2776      0.3574     -3.8670      0.6190     -3.8640      0.4280     19.9960      0.0952     18.0135      0.0216     16.2550      0.1260     15.6730      0.1640     14.6160      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.21   254.84521388700   -40.20474415150      ------      ------      ------      ------      ------      ------     21.6190      0.5268     18.5639      0.0364     15.1560      0.0510     13.3080      0.0550     12.3330      0.0680     11.1280      0.0460     10.5280      0.0670     10.2520      0.3220      ------      ------      9.3100      0.0350      8.8090      0.0310      5.6480      ------      2.3250      0.0130      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.21   254.97958900000   -40.20533000000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.7900      0.1600     15.0040      0.0940     14.3480      0.0800     13.6880      0.0650     13.6060      0.1120      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.21   254.92631400000   -40.13749300000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.7910      ------     17.2260      ------     14.9820      0.1260      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.22   254.87101000000   -40.23330700000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.9610      0.0990     14.5320      0.0530     14.0380      0.0650     13.5070      0.1010     13.5990      0.1320      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.22   254.94119700000   -40.23901700000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.6890      0.1620     14.3940      0.0480     13.4460      0.0430     12.6770      0.0540     12.5260      0.0810      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.23   254.98228300000   -40.19714400000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.2540      ------     16.0710      ------     14.6970      0.1050      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.23   254.86807600000   -40.23175000000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.2240      0.1080     14.7860      0.0640     14.3360      0.0720     13.8750      0.1120     13.5990      0.1830      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.23   254.96673100000   -40.15564300000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     18.4390      ------     15.6880      0.1450     13.5530      0.0450      ------      ------      ------      ------      ------      ------      ------      ------     11.3500      0.0370      9.7230      0.0270      7.2870      0.2000      3.8840      0.1020      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.23   254.91491000000   -40.24383900000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.5290      ------     14.2460      ------     14.4940      0.1140      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.24   254.84530000000   -40.17350000000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.5740      ------     15.0690      0.1070     13.6130      0.0540      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.23   254.84399552100   -40.20300298660      0.7028      0.0983      6.1930      0.1800     -2.1870      0.1280     17.1133      0.0126     15.7312      0.0063     14.7570      0.0550     14.3420      0.0650     14.2330      0.1460      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.24   254.92683200000   -40.24282500000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.8530      ------     15.3910      0.1310     14.3890      0.0900      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.24   254.93296600000   -40.13829000000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.6600      0.1650     13.5490      0.0460     11.4870      0.0300     10.0730      0.0380      9.4220      0.0390      8.7090      0.0280      8.1190      0.0320      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.24   254.98188700000   -40.20058100000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.8260      0.0700     13.5130      0.0550     12.5170      0.0550     11.8380      0.0490     11.8830      0.0950     11.4230      0.1270      ------      ------     11.3910      0.0340     11.3990      0.0440      8.1700      0.1640      4.0820      0.0890      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.25   254.86772500000   -40.14795300000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.3280      0.1200     14.1250      0.0410     13.0990      0.0330     12.2840      0.0570     12.1530      0.0810      ------      ------      ------      ------     11.6990      0.1790     11.2070      0.1900      5.8870      0.0540      1.8440      0.0460      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.25   254.96833600000   -40.22349900000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.4730      ------     13.9990      0.0350     12.5480      0.0290      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.26   254.84781592200   -40.16763320940      ------      ------      ------      ------      ------      ------     20.3552      0.0921     18.4436      0.0355     15.7900      0.0820     14.8860      0.0990     14.6840      0.1150      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.26   254.89749400000   -40.24307600000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.6600      ------     14.7150      0.0930     13.8060      0.0760      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.26   254.84458103000   -40.20618582090      1.2490      0.1533      2.4650      0.3060     -3.6780      0.2110     18.2812      0.0194     16.4350      0.0076     15.1760      0.0620     14.4260      0.0430     14.1650      0.0720      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.26   254.88222900000   -40.14080400000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.1260      ------     13.7900      ------     13.8730      0.0650      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.26   254.88300600000   -40.23949100000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     18.0500      ------     15.4310      0.1190     14.4050      0.0820      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.26   254.89520921800   -40.13721758930      0.9665      0.1400     -1.6530      0.3240     -1.2240      0.2040     18.3148      0.0239     16.5630      0.0070     15.2000      ------     14.6500      0.0700     14.5550      0.0920      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.27   254.88583305100   -40.13940133340      0.5459      0.3853     -0.3950      0.5250     -1.8670      0.3700     20.3140      0.1564     17.1171      0.0205     13.9690      0.0290     12.1160      0.0270     10.7200      0.0250      8.6070      0.0320      7.9790      0.0360      7.2500      0.0260      6.1400      0.0220      8.8460      0.0290      7.8330      0.0220      5.1440      0.0580      2.2080      0.0500      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.27   254.90976700000   -40.24452200000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.4960      0.1330     14.2950      0.0460     13.4960      0.0480     12.7890      0.0580     12.7580      0.0910      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.28   254.93115400000   -40.13718400000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     18.3610      ------     15.7170      0.1590     12.2170      0.0260      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.28   254.88330600000   -40.14002600000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.9210      ------     13.6510      0.0570     12.2910      0.0510      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.29   254.98189000000   -40.17630000000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.1990      ------     15.8330      ------     14.7040      0.1520      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.29   254.84857195600   -40.16525972230     -0.4582      0.8793     -1.0080      2.2440     -2.2260      1.3900     20.2095      0.1181     17.9279      0.0163     14.8940      0.0470     13.4040      0.0360     12.7510      0.0340     12.1940      0.0780     12.0480      0.0980     11.0170      0.1530      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.29   254.98155200000   -40.17524000000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.0620      ------     14.7280      ------     13.7200      0.0700      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.29   254.86176977500   -40.15117124080      0.6095      0.0439      2.8170      0.0650     -1.6920      0.0490     15.4881      0.0027     14.2825      0.0024     13.3910      0.0260     12.8350      0.0300     12.5060      0.0330     12.0460      0.0530     11.9620      0.0790      ------      ------      ------      ------     11.7370      0.1840     11.3930      0.2240      6.0800      0.0640      1.8460      0.0470      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.30   254.90055100000   -40.13577300000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.0530      ------     15.3390      0.1790     13.6060      0.0620      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.30   254.88186700000   -40.14022100000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.7870      ------     14.6410      0.0760     13.5300      0.0760      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.30   254.89997100000   -40.24420200000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.6730      ------     14.1840      ------     14.0160      0.1020      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.31   254.98064100000   -40.20809900000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.8840      0.0830     13.1030      0.0320     11.9500      0.0260     11.1150      0.0330     11.1090      0.0490     10.8500      0.0560      ------      ------     11.1180      0.0300     11.5470      0.0250     12.0120      ------      4.8610      0.0700      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.31   254.85725700000   -40.15451000000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.2960      ------     15.3490      0.1070     14.1920      0.0630      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.31   254.90554100000   -40.24489600000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.5360      0.1370     14.7080      0.0740     13.7680      0.0640     12.9140      0.0720     12.9240      0.1200      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.31   254.84571997100   -40.16895153030      1.0229      0.2176      1.1000      0.5970     -1.2480      0.3510     19.2874      0.0709     16.5785      0.0162     14.0940      0.0380     12.9020      0.0480     12.2110      0.0460     11.7200      0.0570     11.3930      0.0800      ------      ------      ------      ------     10.7650      0.1040     10.2440      0.1040      5.8410      0.1570      2.6150      0.0110      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.31   254.86515400000   -40.23168200000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.0930      0.0870     14.4690      0.0670     13.8040      0.0610     13.0760      0.0920     13.0540      0.1330      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.31   254.84083053700   -40.18295004620      ------      ------      ------      ------      ------      ------     20.3274      0.2055     18.4505      0.0292     15.2380      0.0490     13.6530      0.0390     12.7930      0.0320     11.6040      0.0780     11.0600      0.0750     10.1780      0.0920      9.3590      0.1930      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.32   254.97685900000   -40.21526300000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.0680      ------     14.4620      0.0580     12.7230      0.0340      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.32   254.89879500000   -40.24427000000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.9430      ------     14.3010      ------     14.0110      0.0670      ------      ------      ------      ------      ------      ------      ------      ------     11.9540      0.1480     11.7840      0.2680      5.8000      0.0430      1.9760      0.0480      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.32   254.98358200000   -40.20044300000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.6280      ------     14.6370      ------     14.5620      0.0870      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.32   254.87756300000   -40.14154400000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.8030      0.0320     11.9560      0.0250     10.6170      0.0200      9.6840      0.0370      9.7840      0.0380      9.4450      0.0590      ------      ------      9.8430      0.0340      9.8690      0.0320      8.8180      ------      2.5130      0.0490      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.32   254.98161200000   -40.20673000000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.1730      ------     15.1660      0.1040     14.3990      0.0920      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.32   254.91824600000   -40.24522000000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.9870      ------     15.6470      ------     15.0860      0.1480      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.32   254.87413200000   -40.23702200000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.2700      0.0760     13.0480      0.0430     12.0740      0.0370     11.2880      0.0550     11.3610      0.0670     11.1740      0.1010      ------      ------     10.3080      0.0260     11.2040      0.0380     10.2860      ------      5.0730      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.33   254.89456700000   -40.13616600000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.2840      ------     15.3490      0.0970     14.0820      0.0710      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.33   254.84270254600   -40.20565543400      1.0157      0.1777     -3.0460      0.3600      1.0650      0.2400     17.4394      0.0117     15.7002      0.0033     14.4550      0.0510     13.7700      0.0470     13.6110      0.0640      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.33   254.96433000000   -40.22902300000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.7050      ------     15.4480      0.1250     14.2150      0.0730      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.34   254.85583900000   -40.22500600000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.9910      ------     15.4230      ------     14.6520      0.0910      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.34   254.92686800000   -40.13541400000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.5750      ------     16.7590      ------     14.3350      0.0750      ------      ------      ------      ------      ------      ------      ------      ------     11.0880      0.0240     10.9100      0.0260      9.0020      ------      6.0600      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.34   254.94838700000   -40.23850300000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.3520      0.1200     13.7510      0.0220     12.6760      0.0210     11.8420      0.0360     11.7250      0.0720      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.35   254.86582500000   -40.23294100000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.2700      ------     15.4000      ------     14.5870      0.0980      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.35   254.98552400000   -40.18664600000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.3150      0.0470     12.8710      0.0300     11.8890      0.0260     11.1120      0.0340     11.0550      0.0510     10.9170      0.0750     10.8510      0.1080     11.0860      0.0340     10.9590      0.0360      7.8170      0.1700      4.1230      0.0680      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.35   254.97245400000   -40.22206900000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.5190      ------     13.2130      0.0360     10.9470      0.0270      ------      ------      ------      ------      ------      ------      ------      ------      9.4820      0.0280      8.8470      0.0210      5.5410      0.0190      3.7500      0.0710      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.36   254.94226600000   -40.24125700000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.9000      ------     15.5690      0.1260     14.6950      0.1040      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.36   254.90171500000   -40.13452900000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.6670      0.0900     11.7760      ------      9.8200      ------      ------      ------      ------      ------      ------      ------      ------      ------      8.6500      0.0370      8.4080      0.0490      6.3910      ------      3.6860      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.37   254.87500400000   -40.14170500000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.4890      ------     15.6930      0.2050     14.6350      0.1680      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.37   254.85245800000   -40.15756600000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     18.3450      ------     15.0990      0.0800     13.8370      0.0610      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.37   254.93515400000   -40.24347300000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.9310      0.0820     13.5850      0.0300     12.6430      0.0330     11.7810      0.0590     11.6480      0.0610     11.0100      0.1320      ------      ------     11.4950      0.0440     11.7030      0.0810      7.0640      0.0410      3.4150      0.0380      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.37   254.97658300000   -40.21767000000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.1930      ------     14.9840      0.0860     13.2210      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.38   254.97845029100   -40.16485557570      0.7069      0.1933     -2.2930      0.4600     -3.1070      0.2860     18.8642      0.0269     17.0219      0.0120     15.5730      0.0550     14.9450      0.0770     14.7180      0.1090      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.38   254.89342700000   -40.24440800000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.6020      ------     14.5680      ------     13.7630      0.0790      ------      ------      ------      ------      ------      ------      ------      ------     10.9700      0.0600     10.6530      0.0420      5.2500      0.0330      2.7630      0.0670      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.38   254.97635300000   -40.21836900000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.2190      ------     14.5880      ------     13.6670      0.0670      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.39   254.98132100000   -40.21064800000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.5950      ------     15.5530      0.1420     14.7440      0.1140      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.39   254.84531000000   -40.16627100000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.4280      ------     14.7790      ------     14.0000      0.0860      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.39   254.97884500000   -40.21516800000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.1220      ------     13.1650      0.0350     10.9920      0.0290      ------      ------      ------      ------      ------      ------      ------      ------      9.4900      0.0250      9.2370      0.0190      6.3230      0.0180      4.0020      0.0440      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.40   254.83999800000   -40.17820000000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.9040      ------     14.0330      0.0490     12.6400      0.0390      ------      ------      ------      ------      ------      ------      ------      ------     11.4960      0.1380     12.2670      ------      4.1960      ------      4.8460      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.40   254.90733000000   -40.24659700000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.5640      ------     15.5290      0.1290     14.4840      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.41   254.98564323800   -40.17959472080      1.0178      0.0548     -4.6640      0.0860     -3.9950      0.0610     16.1134      0.0076     14.8203      0.0022     13.8690      0.0240     13.4610      0.0340     13.3040      0.0390     13.3680      0.0600     13.5230      0.1250      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.41   254.89182500000   -40.13537600000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     18.2290      ------     15.8550      0.1480     14.4230      0.0800      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.41   254.96858100000   -40.15258000000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     18.4970      ------     16.6680      ------     15.0430      0.1440      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.41   254.84212022000   -40.20862709830      2.2069      0.0655     -3.8520      0.0960      6.7290      0.0880     15.6810      0.0035     14.2034      0.0020     13.1760      0.0290     12.5980      0.0310     12.3540      0.0390      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.42   254.90086618500   -40.13375208860      1.5535      0.2938     -7.2120      0.4720    -20.0990      0.3350     19.8639      0.1147     17.6987      0.0163     15.9040      0.0860     12.3960      ------     10.4730      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.42   254.83910125600   -40.20008230960      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.2110      0.0870     13.5520      0.0530     12.8630      0.0500     12.5660      0.1440     12.2970      0.1010      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.42   254.87205800000   -40.14209700000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.7040      ------     15.1400      0.0820     14.3890      0.0870      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.41   254.90303909800   -40.24642821310      1.0408      0.5452     -6.3410      1.1160     -2.9830      0.7640     20.2119      0.0829     18.0895      0.0291     15.9500      0.1010     14.7430      0.0840     14.2030      0.0990     13.8250      0.0930     13.5490      0.1240      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.42   254.96016000000   -40.23394400000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.1090      ------     14.8500      0.0730     13.9390      0.0650      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.43   254.88331186600   -40.24268031250      ------      ------      ------      ------      ------      ------     19.9381      0.2540     18.6848      0.0527     15.5580      0.0690     13.9240      0.0370     13.3260      0.0370     12.8110      0.0810     12.7680      0.1070      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.43   254.98512900000   -40.17621600000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.6620      0.1390     14.9120      0.0800     13.9870      0.0800     13.3540      0.1150     13.3420      0.1410      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.44   254.98349200000   -40.17147100000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.7300      ------     15.6850      0.1380     14.0380      0.0760      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
  ---   3.44   254.83947485900   -40.20319199270      0.7343      0.0608     -4.1260      0.0870    -11.4070      0.0810     14.0899      0.0022     12.1849      0.0010     10.7170      0.0220      9.9760      0.0240      9.7870      0.0230      9.6500      0.0560      9.7200      0.0620      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------
