    N    R        ALFA(gaia)        DELTA(gaia)      PARALAJE     ERROR     MOV.PR.ALF    ERROR     MOV.PR.DEL    ERROR        BP         ERROR        RP         ERROR         J         ERROR         H         ERROR         K         ERROR       3.6         ERROR        4.5        ERROR        5.8        ERROR       8          ERROR         W1         ERROR        W2         ERROR         W3        ERROR         W4        ERROR         V         ERROR        B-V        ERROR        U-B        ERROR        V-I        ERROR   
   11   0.66   112.52711197700   -18.53002590060      0.2553      0.0217     -1.8200      0.0270      2.1440      0.0320     14.5867      0.0020     13.3465      0.0020     12.3860      0.0270     12.1360      0.0260     11.9550      0.0210      ------      ------      ------      ------      ------      ------      ------      ------     11.6280      0.0500     11.7460      0.0780     10.2870      ------      3.1020      0.0700     14.3710      0.0010      0.8060      0.0010     -0.2990      0.0030      1.1710      0.0010
   12   1.38   112.49387233100   -18.54278568050      1.3661      0.0244     -2.3340      0.0330      2.6170      0.0350     15.0573      0.0040     14.0501      0.0041     13.2840      0.0290     12.8840      0.0380     12.8120      0.0380      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.8260      0.0020      0.7800      0.0030      0.1350      0.0030      0.8930      0.0040
   13   0.63   112.51660796700   -18.54550905230     -0.0117      0.2137      0.4610      0.2920      0.5940      0.3190     15.1144      0.0014     13.9072      0.0009     13.0580      0.0240     12.7690      0.0230     12.6640      0.0310      ------      ------      ------      ------      ------      ------      ------      ------     12.1580      0.0470     12.0810      0.0620      6.7750      0.1100      2.2740      0.0700     14.8940      0.0010      0.8440      0.0020      0.2890      0.0030      1.1140      0.0010
   14   1.89   112.54990150000   -18.53624183570      0.2525      0.0266     -2.1240      0.0330      3.9640      0.0380     15.4049      0.0023     13.3218      0.0008     11.7050      0.0260     11.0130      0.0240     10.8150      0.0230      ------      ------      ------      ------      ------      ------      ------      ------     10.4230      0.0300     10.3130      0.0400      6.2640      0.0700      3.2730      0.0500     15.0890      0.0010      1.6620      0.0020      1.1130      0.0060      2.0140      0.0020
   15   1.91   112.53465350300   -18.56197274480      0.2041      0.0302     -1.8960      0.0370      2.4090      0.0410     15.5610      0.0019     14.0885      0.0011     12.8830      0.0280     12.5650      0.0260     12.3600      0.0270      ------      ------      ------      ------      ------      ------      ------      ------     12.2590      0.0560     12.0890      0.0530     11.6270      ------      4.0520      0.1070     15.2940      0.0010      0.9620      0.0020     -0.1100      0.0040      1.3950      0.0020
   16   0.77   112.51893224500   -18.52232120070      0.6240      0.0267     -0.6010      0.0360     -0.0670      0.0420     15.4443      0.0017     14.2597      0.0011     13.4240      0.0230     13.1110      0.0310     13.0680      0.0270      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.2050      0.0010      0.8270      0.0020      0.1670      0.0040      1.0780      0.0010
   17   0.99   112.52815879000   -18.54730951590      0.7609      0.0430     -3.1350      0.0540      1.8350      0.0600     15.6173      0.0018     14.4542      0.0011     13.6540      0.0320     13.2690      0.0330     13.1590      0.0290      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     15.3570      0.0010      0.7910      0.0020      0.2510      0.0040      1.0560      0.0010
   18   0.68   112.51015641800   -18.52548816920      0.2286      0.0273     -1.7940      0.0370      2.4020      0.0400     15.9781      0.0033     14.1336      0.0021     12.7240      0.0290     12.2670      0.0380     12.0290      0.0310      ------      ------      ------      ------      ------      ------      ------      ------     11.4650      0.0550     11.2990      0.0880      7.5310      0.2800      2.4690      0.0570     15.7030      0.0010      1.2060      0.0030      0.1850      0.0070      1.7660      0.0020
   19   2.12   112.51172169200   -18.56998151030      0.4569      0.0720     -1.7130      0.0950      2.3490      0.1090     16.3464      0.0030     14.5784      0.0013     13.1280      0.0230     12.7270      0.0360     12.4810      0.0230      ------      ------      ------      ------      ------      ------      ------      ------     12.3390      0.0430     12.4970      0.1140      9.7110      ------      4.3040      0.0900     16.0660      0.0010      1.1570      0.0030      0.0960      0.0060      1.6790      0.0020
   20   1.87   112.52864995500   -18.50597539710      0.3015      0.0396     -1.7320      0.0490      2.4290      0.0570     16.5074      0.0036     14.3163      0.0016     12.4580      0.0300     11.6940      0.0230     11.2840      0.0210      ------      ------      ------      ------      ------      ------      ------      ------     10.9220      0.0250     10.9220      0.0260      9.1850      0.1360      3.8400      0.0270     16.2200      0.0010      1.3180      0.0030     -0.0430      0.0060      2.1470      0.0020
   21   2.92   112.54419344500   -18.49390098030      0.3568      0.0357     -1.3220      0.0500      1.9080      0.0530     16.3616      0.0030     14.6153      0.0017     13.2830      0.0280     12.8060      0.0240     12.6190      0.0190      ------      ------      ------      ------      ------      ------      ------      ------     12.3690      0.0450     12.3780      0.0710      8.6330      0.1050      8.0590      ------     16.0510      0.0010      1.2930      0.0030      0.4820      0.0060      1.6460      0.0020
   22   1.75   112.54238369700   -18.51885804930      0.6042      0.0394     -1.2230      0.0490     -1.4680      0.0560     16.2207      0.0027     15.0384      0.0015     14.1900      0.0320     13.8530      0.0360     13.7950      0.0520      ------      ------      ------      ------      ------      ------      ------      ------     12.8240      0.0620     13.3780      0.1480      8.2630      0.2170      5.3800      0.2080     15.9440      0.0010      0.8590      0.0020      0.1310      0.0040      1.0660      0.0020
   23   2.13   112.55288513100   -18.52609932030      1.5202      0.0401     -2.6020      0.0500     -2.3440      0.0570     16.3563      0.0032     15.0116      0.0012     14.0810      0.0310     13.5490      0.0290     13.3550      0.0410      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.0540      0.0010      1.1020      0.0030      0.8050      0.0060      1.2140      0.0020
   24   1.40   112.49243862200   -18.53073088370      0.4283      0.0389     -5.4870      0.0520      3.1140      0.0590     16.4856      0.0055     14.9678      0.0038     13.9000      0.0290     13.5240      0.0360     13.4150      0.0390      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.1860      0.0010      1.0780      0.0030      0.4580      0.0060      1.3770      0.0020
   25   1.24   112.53230356300   -18.54942987580      0.5430      0.0445     -1.8890      0.0550      0.9910      0.0630     16.5008      0.0025     15.2766      0.0021     14.3830      0.0380     14.0600      0.0350     14.0020      0.0640      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.2420      0.0010      0.8310      0.0030      0.1760      0.0050      1.1200      0.0020
   26   2.07   112.55168723300   -18.54438247780      7.4569      0.0510    -28.7890      0.0690    -15.0590      0.0790     17.2772      0.0039     14.6486      0.0017     12.9890      0.0260     12.3900      0.0230     12.1230      0.0230      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.9880      0.0020      1.5580      0.0050      0.9500      0.0200      2.6680      0.0020
   27   1.21   112.50642527900   -18.55261182190      0.1815      0.0415     -2.1250      0.0530      2.3410      0.0590     16.6908      0.0039     14.9966      0.0014     13.6590      0.0280     13.2310      0.0330     12.9740      0.0340      ------      ------      ------      ------      ------      ------      ------      ------     11.7560      0.0360     11.4970      0.0540      7.2150      0.0660      1.7890      0.0330     16.4450      0.0010      1.0900      0.0030      0.0830      0.0070      1.6160      0.0020
   28   2.88   112.48968847100   -18.57564578950      0.5979      0.0437     -1.4940      0.0570     -0.2870      0.0630     16.6395      0.0034     15.3136      0.0015     14.2960      0.0290     14.0800      0.0680     14.0140      0.0700      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.3670      0.0010      0.9540      0.0030      ------      ------      1.2250      0.0020
   29   0.94   112.51208357200   -18.55004218230      0.3797      0.0460     -1.5960      0.0580      2.0320      0.0650     16.5451      0.0027     15.3305      0.0022     14.2990      ------     13.8900      ------     14.0570      0.0920      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.3360      0.0010      0.8320      0.0030      0.2650      0.0050      1.1040      0.0020
   30   1.58   112.49140921900   -18.52399530010      0.8698      0.0474      3.6850      0.0620     -8.1730      0.0670     16.6500      0.0036     15.4694      0.0027     14.6470      0.0320     14.2370      0.0490     14.1770      0.0680      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.3910      0.0010      0.9250      0.0030      0.4670      0.0060      1.0290      0.0030
   31   0.48   112.51017314000   -18.54010007940      1.4890      0.0439     -5.5970      0.0650     19.1460      0.0700     16.8170      0.0036     15.2931      0.0024     14.2220      0.0710     13.5840      0.0950     13.4900      0.0810      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.5890      0.0010      1.1950      0.0040      1.1600      0.0130      1.4160      0.0020
   32   2.85   112.54590240000   -18.49649054840      0.8964      0.0490     -7.7660      0.0720     -0.6390      0.0790     16.7818      0.0039     15.5836      0.0021     14.7420      0.0470     14.1880      0.0480     14.1050      0.0750      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.4990      0.0010      0.9080      0.0030      0.4290      0.0060      1.0710      0.0020
   33   1.76   112.48951206600   -18.52097455000      0.2087      0.0503     -2.4580      0.0660      2.5170      0.0740     16.7856      0.0057     15.4357      0.0022     14.4580      0.0410     14.1530      0.0620     14.0620      0.0750      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.5470      0.0020      0.9210      0.0030      0.1900      0.0060      1.2410      0.0030
   34   3.24   112.47305057600   -18.50039928150      1.6238      0.0445    -10.8750      0.0590     -1.3580      0.0630     16.9217      0.0042     15.1554      0.0017     13.9390      0.0320     13.2850      0.0250     13.1360      0.0380      ------      ------      ------      ------      ------      ------      ------      ------     12.9530      0.0480     13.1590      0.0750      9.2930      ------      7.7110      ------     16.6340      0.0020      1.3780      0.0050      1.2080      0.0160      1.6850      0.0040
   35   0.74   112.52903812400   -18.53885427380      0.1997      0.0488     -1.8710      0.0630      2.1990      0.0740     16.9947      0.0044     15.3110      0.0018     13.8970      0.0320     13.3020      0.0400     13.0590      0.0390      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.7610      0.0010      1.0590      0.0040      0.1770      0.0080      1.5960      0.0020
   36   0.53   112.52114453700   -18.54283354410      0.1553      0.0549     -1.8790      0.0690      2.4200      0.0880     16.9783      0.0047     15.4483      0.0020     14.2380      0.0290     13.8810      0.0440     13.7010      0.0540      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.7680      0.0010      0.9820      0.0030      0.0470      0.0060      1.4460      0.0020
   37   0.70   112.50454322100   -18.53351016420      0.8447      0.0526    -11.4690      0.0740     11.8910      0.0810     16.9280      0.0042     15.7535      0.0020     14.8850      0.0940     13.5260      ------     13.2450      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.7180      0.0010      0.8750      0.0040      0.2460      0.0080      1.0110      0.0020
   38   2.52   112.54779154100   -18.50502444330      0.4953      0.0585     -4.4610      0.0790      1.7870      0.0980     17.1765      0.0047     15.6841      0.0024     14.5920      0.0410     14.1240      0.0540     13.9450      0.0660      ------      ------      ------      ------      ------      ------      ------      ------     12.2320      0.0310     12.5140      0.0410      7.0920      0.0420      4.9030      0.0550     16.8700      0.0010      1.0910      0.0040      0.2390      0.0090      1.3800      0.0020
   39   2.76   112.47501672000   -18.51131898340      0.4552      0.0518      0.6610      0.0730     -1.3520      0.0790     17.2594      0.0062     15.4775      0.0021     14.1800      0.0290     13.7210      0.0270     13.4560      0.0380      ------      ------      ------      ------      ------      ------      ------      ------     12.9260      0.0300     12.9620      0.0390      8.6940      0.1660      4.8480      0.0360     16.9500      0.0020      1.3090      0.0050      0.6030      0.0130      1.6690      0.0040
   40   2.53   112.55253846300   -18.56001718360      0.2668      0.0588     -2.2520      0.0760      0.8160      0.0890     17.1910      0.0044     15.7810      0.0024     14.7060      0.0460     14.2660      0.0480     14.1480      0.0640      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.9080      0.0020      0.9930      0.0040      0.1850      0.0090      1.3260      0.0020
   41   2.43   112.47928547100   -18.55459751530      0.8656      0.0553     -1.6160      0.0740      1.6460      0.0850     17.1092      0.0057     15.8652      0.0029     15.0720      0.0500     14.5300      0.0670     14.5470      0.1070      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.8310      0.0020      0.9930      0.0040      0.5360      0.0090      1.0800      0.0030
   42   0.35   112.51123448700   -18.53239994670      0.1128      0.0589     -1.8960      0.0800      2.3480      0.0890     17.2238      0.0044     15.6993      0.0022     14.5520      0.0400     14.1560      0.0740     13.7780      0.0680      ------      ------      ------      ------      ------      ------      ------      ------     13.5200      0.1490     14.9060      ------      7.6020      ------      4.6460      0.4610     16.9980      0.0010      0.9870      0.0040      0.1270      0.0080      1.4200      0.0020
   43   2.41   112.47856145000   -18.55258465760      0.3276      0.0566     -3.0070      0.0750      3.8580      0.0860     17.2657      0.0070     15.7594      0.0024     14.5840      0.0450     14.1940      0.0680     14.0090      0.0660      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     16.9990      0.0020      1.1200      0.0050      0.2760      0.0100      1.3850      0.0030
   44   1.78   112.54658785400   -18.54366046830      0.4046      0.0637     -2.1790      0.0800      2.4830      0.1000     17.3329      0.0068     15.9075      0.0044     14.8460      0.0500     14.4960      0.0740     14.1780      0.0860      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.0250      0.0010      0.9960      0.0040      0.3410      0.0090      1.3140      0.0020
   45   1.19   112.51903446200   -18.55466530920      0.3696      0.0644     -1.9350      0.0810      2.4390      0.1030     17.5263      0.0051     15.7002      0.0019     14.2140      0.0400     13.6940      0.0650     13.2900      0.0600      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.2680      0.0010      1.1930      0.0050      0.3850      0.0140      1.7490      0.0020
   46   2.28   112.49178400100   -18.50523971990      0.1847      0.0593     -1.9980      0.0840      2.8140      0.0930     17.4490      0.0045     15.7826      0.0028     14.5660      0.0360     14.0770      0.0450     14.0040      0.0650      ------      ------      ------      ------      ------      ------      ------      ------     13.6380      0.0700     13.5320      0.0580      9.0420      0.1430      4.9850      0.0810     17.1520      0.0020      1.2150      0.0050      0.3950      0.0140      1.5570      0.0030
   47   1.97   112.52497397400   -18.56694274660      0.1130      0.0690     -1.8570      0.0850      2.3950      0.0980     17.4295      0.0046     15.8818      0.0026     14.6390      0.0350     14.2090      0.0510     14.1760      0.0710      ------      ------      ------      ------      ------      ------      ------      ------     13.8910      0.0960     13.5970      0.1610      9.9210      ------      4.4750      0.0750     17.1540      0.0010      0.9950      0.0040      0.2410      0.0100      1.4340      0.0020
   48   2.41   112.48703453800   -18.56366313250      0.5273      0.0651     -2.3250      0.0850     -0.2510      0.0970     17.3418      0.0081     15.9715      0.0051     14.9380      0.0730     14.7120      0.1210     14.4590      0.1150      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.1050      0.0020      1.0030      0.0060      0.2130      0.0130      1.2530      0.0030
   49   1.26   112.53643859700   -18.54455237370      0.2263      0.0655     -1.8820      0.0840      2.4340      0.0970     17.5247      0.0048     15.8053      0.0024     14.3670      0.0410     13.9080      0.0480     13.5330      0.0440      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.2710      0.0010      1.1010      0.0050      0.1850      0.0100      1.6410      0.0020
   50   1.59   112.52459073900   -18.50957690930      0.3810      0.0688     -0.7040      0.0930      1.3260      0.1020     17.4407      0.0091     16.0971      0.0038     15.1640      0.0560     14.6780      0.0740     14.4320      0.1010      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.1710      0.0010      0.9190      0.0040      0.2790      0.0090      1.2470      0.0030
   51   1.05   112.51052919000   -18.55146416840      0.6284      0.0667     -0.9750      0.0860      0.9390      0.1000     17.3755      0.0056     15.9874      0.0027     15.0660      0.0760     14.6920      0.1010     14.3550      0.0940      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.1790      0.0020      0.9810      0.0050      0.1420      0.0090      1.2550      0.0030
   52   1.51   112.49020452900   -18.53731095910      0.5156      0.0627     -3.3700      0.0850     -0.3950      0.0970     17.5003      0.0089     15.9878      0.0031     14.9240      0.0460     14.5600      0.0480     14.3680      0.0810      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.2290      0.0010      1.0850      0.0050      0.2270      0.0110      1.3850      0.0030
   53   2.34   112.49358758400   -18.56717249300      0.5644      0.0693     -4.2920      0.0930     -2.3150      0.1030     17.4975      0.0053     16.0773      0.0031     15.0260      0.0490     14.6230      0.0870     14.3870      0.0780      ------      ------      ------      ------      ------      ------      ------      ------     13.3190      0.0300     16.7040      ------     10.3970      ------      7.9710      ------     17.2320      0.0020      1.0020      0.0050      0.1460      0.0100      1.3070      0.0020
   54   2.86   112.53974573100   -18.49270346290      0.3540      0.0897     -3.2520      0.1310      3.0130      0.1600     17.7180      0.0074     16.1297      0.0033     15.0030      0.0520     14.5100      0.0560     14.2160      0.0730      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.4140      0.0020      1.1080      0.0060      0.3690      0.0130      1.4760      0.0020
   55   2.37   112.53857177100   -18.50146879370      0.4849      0.0776     -1.4040      0.1060      2.1370      0.1180     17.6531      0.0098     16.2151      0.0029     15.1880      0.0560     14.7550      0.0690     14.9520      0.1530      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.3780      0.0010      1.0430      0.0050      0.3080      0.0130      1.3400      0.0020
   56   0.75   112.52278179100   -18.52399428370      5.4426      0.6202     -7.1340      0.8260      4.2430      0.8890     17.7413      0.0068     16.1531      0.0033     15.0400      0.0480     14.5360      0.0720     14.4650      0.1070      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.5100      0.0020      1.1170      0.0060      0.4320      0.0300      1.4810      0.0020
   57   2.33   112.51131168200   -18.57348531990      0.5013      0.0819     -3.5260      0.0990      2.0960      0.1150     17.7602      0.0055     16.2765      0.0035     15.2430      0.0510     14.7090      0.0610     14.4110      0.0980      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.4720      0.0020      1.1250      0.0060      0.4300      0.0830      1.3430      0.0020
   58   1.05   112.51665586600   -18.51747324380      0.3454      0.0739     -0.1130      0.1010      4.4720      0.1120     17.8915      0.0099     16.1114      0.0035      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.6250      0.0020      1.3710      0.0080      0.7260      0.0250      1.6680      0.0030
   59   1.05   112.53497926200   -18.53679546460      0.5279      0.0807     -1.2050      0.1030      5.0170      0.1180     17.7999      0.0062     16.2148      0.0027     15.0870      0.0410     14.7120      0.0720     14.2400      0.0780      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.5530      0.0020      1.1590      0.0060      0.3160      0.0150      1.4840      0.0020
   60   0.78   112.52977442100   -18.53087548710      0.6372      0.0854     -2.8570      0.1040      2.2520      0.1160     17.7239      0.0063     16.2594      0.0037     15.2420      0.0630     14.9630      0.0890     14.4910      0.1020      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.5090      0.0010      1.0400      0.0050      0.1890      0.0130      1.3540      0.0020
   61   2.08   112.53308186400   -18.56604487830      0.4331      0.0872     -1.9390      0.1040      2.0660      0.1170     17.9388      0.0079     16.2744      0.0039     14.8820      0.0570     14.3710      0.0730     14.3270      0.0890      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.6760      0.0020      1.1120      0.0060      0.3790      0.0170      1.5920      0.0020
   62   1.92   112.54978364600   -18.54099010250      0.1324      0.0854     -1.0890      0.1050      1.4320      0.1180     18.0240      0.0081     16.2713      0.0037     14.8940      0.0450     14.4700      0.0800     14.0970      0.0970      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.7120      0.0020      1.2380      0.0070      0.6860      0.0210      1.6560      0.0030
   63   1.76   112.51681857400   -18.56433349740      0.2392      0.0812     -1.9120      0.1030      2.1710      0.1170     18.3828      0.0142     16.1102      0.0051     14.1430      0.0360     13.2000      0.0480     12.4900      0.0300      ------      ------      ------      ------      ------      ------      ------      ------     11.4930      0.0290     11.1770      0.0310      7.6930      0.0890      2.9640      0.0290     18.1520      0.0020      1.5970      0.0140      0.6710      0.0430      2.2200      0.0030
   64   0.72   112.50658531300   -18.54219401910      0.1935      0.0816     -2.2090      0.1100      2.6440      0.1160     17.7088      0.0102     16.2050      0.0082     14.8700      0.1760     12.9460      ------     12.6810      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.6530      0.0030      1.0080      0.0070      0.6670      0.0190      1.4060      0.0040
   65   1.64   112.54255410300   -18.54699512500      0.1238      0.0840     -2.1160      0.1070      2.6650      0.1250     18.0566      0.0082     16.3525      0.0051     14.9560      0.0490     14.7350      0.0820     14.4590      0.0940      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.7980      0.0020      1.1220      0.0080      0.4690      0.0190      1.6140      0.0020
   66   1.32   112.53132233500   -18.55202968260      0.2385      0.0895     -1.9590      0.1110      2.5050      0.1260     18.1046      0.0070     16.3958      0.0032     14.9950      0.0430     14.5590      0.0620     14.4190      0.0920      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.8540      0.0020      1.1300      0.0080      0.3790      0.0200      1.6230      0.0030
   67   2.06   112.51482417200   -18.56932950290      0.0660      0.0988     -2.0360      0.1190      2.1990      0.1320     18.1589      0.0082     16.4471      0.0040     15.0910      0.0440     14.4660      0.0930     14.1710      0.0810      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.9120      0.0020      1.0830      0.0080      0.4280      0.0210      1.6290      0.0020
   68   1.85   112.48432086000   -18.53723328160      0.3068      0.0962     -1.8330      0.1290      3.0800      0.1420     18.1116      0.0065     16.5696      0.0048     15.3330      0.0530     15.0310      0.1300     14.7710      0.1380      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.8420      0.0020      1.0760      0.0070      0.2130      0.0170      1.4260      0.0030
   69   0.83   112.50422293600   -18.52772849050      0.2404      0.0856     -1.8690      0.1160      2.1380      0.1270     18.1859      0.0106     16.4173      0.0038     15.0790      0.0770     14.6880      0.0800     14.3190      0.1000      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     17.9980      0.0020      1.2050      0.0080      0.4570      0.0230      1.6900      0.0030
