    N    R        ALFA(gaia)        DELTA(gaia)      PARALAJE     ERROR     MOV.PR.ALF    ERROR     MOV.PR.DEL    ERROR        BP         ERROR        RP         ERROR         J         ERROR         H         ERROR         K         ERROR       3.6         ERROR        4.5        ERROR        5.8        ERROR       8          ERROR         W1         ERROR        W2         ERROR         W3        ERROR         W4        ERROR         V         ERROR        B-V        ERROR        U-B        ERROR        V-I        ERROR   
    1   1.94   112.54207909900   -18.55652915640      1.0115      0.0396     -2.8860      0.0470      3.6740      0.0570     11.7949      0.0012     11.5921      0.0015     11.3590      0.0280     11.3230      0.0260     11.2360      0.0240      ------      ------      ------      ------      ------      ------      ------      ------     11.2310      0.0310     11.1550      0.0480      9.1350      ------      5.3410      ------     11.7170      0.0020      0.1540      0.0020     -0.1120      0.0020      0.2010      0.0030
    2   2.47   112.48534258200   -18.56342749130      2.1830      0.0288      2.2370      0.0370    -29.8870      0.0410     12.7439      0.0008     11.8237      0.0006     11.2000      0.0240     10.8830      0.0250     10.8140      0.0210      ------      ------      ------      ------      ------      ------      ------      ------     10.6180      0.0220     10.9710      0.0220     11.9050      ------      5.5450      0.0810     12.5180      0.0020      0.7250      0.0030      0.0470      0.0030      0.7970      0.0040
    3   1.16   112.52666417700   -18.51817551410      0.5470      0.0317     -1.6130      0.0420      2.3480      0.0490     12.3790      0.0015     10.4280      0.0009      8.9220      0.0320      8.1940      0.0530      7.9570      0.0210      ------      ------      ------      ------      ------      ------      ------      ------      7.7590      0.0270      7.9030      0.0200      6.6670      0.0270      2.1700      0.0200     12.0680      0.0010      1.7050      0.0020      1.6220      0.0030      1.8440      0.0030
    4   0.61   112.50820963500   -18.54118016850      0.3938      0.0308     -1.9070      0.0420      2.4020      0.0440     13.0181      0.0026     11.7125      0.0033     10.6780      0.0290     10.3250      0.0450     10.0590      0.0300      ------      ------      ------      ------      ------      ------      ------      ------      9.6510      0.0290      9.4500      0.0320      7.7850      0.1780      1.4600      0.0540     12.8050      0.0010      0.8220      0.0010     -0.3890      0.0020      1.2530      0.0020
    5   0.92   112.51953898800   -18.55001736270      0.0853      0.0308     -2.2900      0.0420      2.3810      0.0450     13.8103      0.0142     12.2271      0.0067     10.5110      0.0350     10.1460      0.0410      9.8580      0.0290      ------      ------      ------      ------      ------      ------      ------      ------      9.3220      0.0230      9.0080      0.0200      3.9070      0.0150      0.0650      0.0200     13.6050      0.0020      0.5150      0.0130      0.4410      0.0180      1.5310      0.0030
    6   0.61   112.51079571600   -18.54347307790      0.9398      0.0190     -0.5260      0.0250      4.4300      0.0270     13.7116      0.0010     12.9402      0.0007     12.3830      0.0260     12.0710      0.0360     12.0010      0.0290      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     13.5580      0.0010      0.5210      0.0010     -0.1590      0.0030      0.7140      0.0010
    7   0.92   112.52749359200   -18.52366566770      0.4893      0.0579     -3.3080      0.0790      3.1860      0.0920     13.7748      0.0011     12.9723      0.0010     12.4140      0.0270     12.2290      0.0270     12.0660      0.0230      ------      ------      ------      ------      ------      ------      ------      ------     11.7070      0.0380     11.8810      0.0480     10.0630      ------      3.7640      0.0910     13.5930      0.0010      0.5250      0.0010     -0.2780      0.0020      0.7440      0.0010
    8   0.57   112.52624981500   -18.53784346510      1.0152      0.0192      0.3050      0.0250     -2.5700      0.0280     13.7970      0.0010     13.1119      0.0008     12.6260      0.0270     12.4180      0.0240     12.2650      0.0270      ------      ------      ------      ------      ------      ------      ------      ------     11.9400      0.0720     12.2610      0.0580      7.2570      0.0380      2.4790      0.0330     13.6290      0.0010      0.4870      0.0010     -0.1680      0.0030      0.5950      0.0010
    9   1.09   112.53148548700   -18.54667726100      0.9116      0.0214     -3.2100      0.0260      6.1470      0.0290     14.1018      0.0010     13.4196      0.0011     12.8840      0.0300     12.6320      0.0300     12.5080      0.0360      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     13.9310      0.0010      0.4700      0.0010     -0.2040      0.0030      0.6180      0.0010
   10   1.92   112.53508971600   -18.50822855320      1.2042      0.0211     -3.2230      0.0270      5.2320      0.0290     14.3158      0.0012     13.5201      0.0009     12.9490      0.0350     12.6190      0.0370     12.5370      0.0390      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------      ------     14.1170      0.0010      0.5710      0.0010     -0.1630      0.0030      0.7180      0.0020
