DR2Name,RA_ICRS,DE_ICRS,Gmag,e_Gmag,BP-RP,e_BP-RP,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
Gaia DR2 3026538869375228416,0.018983848581423914,-0.0014365213449991643,19.10989207456083,0.00298498653628777,1.8198143543952128,0.03414434484608997,0.6666,-6.804,-5.676,0.2573,0.337,0.386,0.841,0
Gaia DR2 3026539075533665408,0.006469267429267973,0.013573599785001278,19.863025351206545,0.0057513699706822075,2.6035372519834716,0.07266138850507887,0.4766,-2.634,-5.241,0.6202,0.925,0.996,0.84,0
Gaia DR2 3026533200029111552,0.0042627760757370575,-0.0035466419549976536,14.609025919432668,0.001866528854720462,1.2073091309005264,0.0028733860204212267,-0.0117,0.461,0.594,0.2137,0.292,0.319,0.839,0
Gaia DR2 3026533200018425600,0.004507453496991606,-0.000161501564999611,18.35532735229855,0.003248896169250828,1.853389742711041,0.01840009479859201,0.9216,1.432,2.261,0.3183,0.411,0.461,0.839,0
Gaia DR2 3026533264445001216,-0.006236782187717578,0.010478587745001988,19.10667480139881,0.003830453255021993,1.9196509056882292,0.05503073308339494,0.3969,-1.721,2.63,0.2827,0.412,0.45,0.839,0
Gaia DR2 3026539109904100992,0.01008457598989467,0.017983836735002257,17.098629936713436,0.0035798239044429634,1.588208609532348,0.007915858311917613,5.4426,-7.134,4.243,0.6202,0.826,0.889,0.833,0
Gaia DR2 3026533195727070080,-0.00288849064930233,-0.0031618863049978074,19.398086632176405,0.005533919442610727,2.063832599273038,0.03584139418629284,4.017,-2.132,6.128,0.5768,0.76,0.846,0.808,0
Gaia DR2 3026533268737914624,-0.006247397494495678,0.009727334465001292,19.98292139045375,0.006775136775666076,1.7868729079167913,0.04386505207352516,0.1704,-2.522,1.46,0.7884,1.075,1.133,0.807,0
Gaia DR2 3026533200018440704,-0.004314528651952789,0.001054967175001309,17.896880640029384,0.006761963502298289,2.0181135247843613,0.0381901107000739,nan,nan,nan,nan,nan,nan,0.794,0
Gaia DR2 3026533230085260928,-0.021177402891175014,-0.002537672804997726,19.742768743133368,0.005502821250752069,2.6851842257149663,0.07031221513910269,0.6248,-2.165,1.811,0.3849,0.522,0.578,0.95,0
Gaia DR2 3026533165663641472,-0.007637206704059679,-0.0069670831449997195,20.613419546093862,0.00966610003766873,nan,nan,1.7408,-0.286,8.545,1.4578,2.051,2.515,0.88,-1
Gaia DR2 3026533200018426240,0.005533494393397655,-0.003065803374997955,20.64029763668962,0.009992421309938077,nan,nan,0.9408,-0.268,-2.316,1.2871,1.53,1.79,0.99,-1
Gaia DR2 3026533200018440192,-0.00019172179680088325,-0.0016638253349974264,20.359112862555264,0.009459673673696337,nan,nan,-1.1783,-1.373,1.7,0.8932,1.101,1.662,0.99,-1
Gaia DR2 3026533165658716288,-0.009370281715389341,-0.004091908374999065,20.646547678596242,0.009111376459261616,nan,nan,1.402,-0.82,1.873,1.4359,1.588,1.891,0.96,-1
Gaia DR2 3026532993859998592,0.007581550777573765,-0.008410251464997742,15.900335823372993,0.0032903667641825006,nan,nan,0.5307,-1.667,2.058,0.0766,0.103,0.168,0.88,-1
Gaia DR2 3026532993870680832,0.007163605796395053,-0.008495313704997898,13.314229846821506,0.0019318153568287204,nan,nan,0.2297,-1.358,2.293,0.0316,0.042,0.048,0.93,-1
Gaia DR2 3026533234378199680,-0.01776188188413524,-0.000596047704998881,16.89129293428359,0.002329708480923687,nan,nan,0.6781,0.215,5.71,0.1012,0.125,0.19,0.89,-1
