_r _x _y _p DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON GLAT ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 e_BP-RP e_BP-G d_arcsec
0.123569 0.028426 -0.120255 166.7 "Gaia DR2 5967065791676201344" 254.94978716411 0.0805 -40.31024390139 0.0691 1635721458409799680 5967065791676201344 332203952 2015.5 0.7910 0.0865 9.1450 -2.974 0.189 -3.269 0.133 0.1148 0.0357 -0.4268 -0.0540 -0.2674 -0.0923 -0.7647 -0.1512 0.3729 0.2834 186 0 185 1 0.7125 193.16 0.0 0.0 31 0 4.4134 1.4267 0.0198 0.125 21 11 0.18254 0 23 0 201 4153.0 3.204 1296.324 16.64246900359066 0.0019853129430375408 20 1420 9.224 153.894 17.4710 0.0071 23 4027 13.41 300.384 15.7495 0.0036 1.311 0 1.7216155818638939 0.8285925042546545 0.8930 "" "" 0 "" "" "" NOT_AVAILABLE 345.31085563593 1.29959122103 258.01756571752 -17.49494920073 100001 4236.00 4107.50 4358.27 "" "" "" "" "" "" 200111 1.15 1.08 1.22 0.380 0.294 0.467 254.949803954 2.9305 -40.3102298246 2.0617 0.008271088359135858 0.007461778612682324 10.0620
0.124129 0.022278 -0.122114 169.7 "Gaia DR2 5967065791674313088" 254.94172572179 2.7227 -40.31210518001 1.6013 1635721458409799680 5967065791674313088 877140501 2015.5 "" "" "" "" "" "" "" 0.3892 "" "" "" "" "" "" "" "" "" 116 0 116 0 0.6483 120.24 0.0 0.0 3 0 0.032 "" "" 0.127 14 7 6.8535 0 16 0 131 119.1 1.344 88.624 20.49852943282631 0.01238263455899302 8 52.12 8.205 6.352 21.0590 0.1709 13 181.6 11.51 15.787 19.1138 0.0688 1.963 0 1.9451815787912352 0.5604636769492792 1.3846 "" "" 0 "" "" "" NOT_AVAILABLE 345.30559479836 1.30327770506 258.01136968179 -17.49746543551 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.941725722 2.7227 -40.31210518 1.6013 0.18426164227902808 0.1713839226497062 4.4824
0.125673 0.033723 -0.121064 164.4 "Gaia DR2 5967065791672733952" 254.95673425878 1.6655 -40.31105054619 1.3499 1635721458409799680 5967065791672733952 1065587175 2015.5 "" "" "" "" "" "" "" 0.7971 "" "" "" "" "" "" "" "" "" 162 0 162 0 3.5196 227.14 2.036 2.0 3 0 0.0383 "" "" 0.257 18 8 4.8691 0 20 0 179 145.4 1.257 115.679 20.28198902926885 0.009556616533256823 12 30.93 4.612 6.706 21.6254 0.1619 17 189.5 7.701 24.601 19.0681 0.0441 1.516 0 2.5573089770138964 1.343426076847038 1.2139 "" "" 0 "" "" "" NOT_AVAILABLE 345.31349207562 1.29492572352 258.02317906407 -17.49517752246 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.956734259 1.6655 -40.3110505462 1.3499 0.16782489698984168 0.16218824279306207 10.8823
0.126851 0.028118 -0.123696 167.2 "Gaia DR2 5967065787377715840" 254.94938489904 1.2163 -40.31368532322 0.9994 1635721458409799680 5967065787377715840 286957907 2015.5 "" "" "" "" "" "" "" 0.7675 "" "" "" "" "" "" "" "" "" 152 0 152 0 1.8074 179.46 0.733 0.4 3 0 0.0766 "" "" 0.234 17 8 3.4834 0 19 0 169 195.2 1.148 170.025 19.962200483647724 0.006634765834973417 17 55.57 12.77 4.351 20.9892 0.2495 18 248.9 9.617 25.883 18.7718 0.0419 1.560 0 2.2174898315280487 1.027039875085915 1.1904 "" "" 0 "" "" "" NOT_AVAILABLE 345.30795825179 1.29770788596 258.01763677757 -17.49840360094 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.949384899 1.2163 -40.3136853232 0.9994 0.2530212523713598 0.24960063582881528 8.5759
0.120089 0.021734 -0.118106 169.6 "Gaia DR2 5967065997831176576" 254.9410099151 1.8513 -40.30809809918 1.5302 1635721458409799680 5967065997831176576 1273911403 2015.5 "" "" "" "" "" "" "" 0.7739 "" "" "" "" "" "" "" "" "" 154 0 153 1 2.3286 190.99 2.376 2.5 3 0 0.0324 "" "" 0.239 18 8 5.3439 0 20 0 171 131.0 1.186 110.428 20.395553278328343 0.009996043642911593 15 61.39 8.231 7.458 20.8811 0.1456 19 169.1 8.294 20.389 19.1915 0.0533 1.760 0 1.6896260604474485 0.4855495543508397 1.2040 "" "" 0 "" "" "" NOT_AVAILABLE 345.3084105231 1.30618122782 258.01034547637 -17.49354109477 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.941009915 1.8513 -40.3080980992 1.5302 0.1550266017516047 0.1459237101782472 7.4301
0.094655 0.010404 -0.094082 173.7 "Gaia DR2 5967066066550684032" 254.92614783928 1.8276 -40.28407614486 1.4013 1635721458409799680 5967066066550684032 621901548 2015.5 "" "" "" "" "" "" "" 0.8568 "" "" "" "" "" "" "" "" "" 154 0 154 0 3.9219 226.59 2.071 2.7 3 0 0.0475 "" "" 0.245 18 9 4.2943 0 20 0 171 177.6 1.162 152.765 20.065037174045287 0.007331577793698205 8 70.46 8.522 8.268 20.7315 0.1313 11 287.9 10.41 27.651 18.6137 0.0393 2.018 0 2.117761450321659 0.6664446415287202 1.4513 "" "" 0 "" "" "" NOT_AVAILABLE 345.32030858232 1.32993114846 257.99580088348 -17.47088952595 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.926147839 1.8276 -40.2840761449 1.4013 0.1370760757727015 0.13152220692966318 2.9228
0.096081 0.007359 -0.095799 175.6 "Gaia DR2 5967066066550684416" 254.92215609149 0.2242 -40.2857941952 0.1842 1635721458409799680 5967066066550684416 162539431 2015.5 0.8433 0.2584 3.2639 -1.131 0.388 -3.887 0.297 0.4248 -0.0718 -0.5189 -0.3966 -0.3481 -0.2134 -0.8442 -0.3385 0.4565 0.1314 200 0 198 2 2.3534 242.25 0.314 0.77 31 0 0.7234 1.3539 0.0444 0.135 23 11 0.38818 0 25 0 216 1004.0 1.674 599.877 18.18374135646556 0.00255255799340715 20 303.5 7.87 38.560 19.1460 0.0282 21 1138 14.94 76.200 17.1213 0.0142 1.436 0 2.024780957041738 0.9622977143774634 1.0624 "" "" 0 "" "" "" NOT_AVAILABLE 345.31707585703 1.3312650149 257.99282273923 -17.47292772194 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.922162476 6.0194 -40.2857774593 4.6017 0.031644315489743544 0.028306484107929217 2.0797
0.127501 -0.041009 -0.120726 198.8 "Gaia DR2 5967066337133310720" 254.85873060745 0.205 -40.31070901189 0.1716 1635721458409799680 5967066337133310720 1525479263 2015.5 1.1826 0.3218 3.6752 -0.190 0.372 -6.648 0.290 0.1844 -0.2762 -0.3025 -0.2579 -0.2932 -0.0212 -0.7933 -0.4263 0.5267 -0.1001 202 0 200 2 0.898 212.57 0.233 0.39 31 0 0.6716 1.4124 0.0417 0.089 23 10 0.36263 0 25 0 218 959.7 1.7 564.663 18.233072573574994 0.002633868107453958 21 327.4 8.762 37.369 19.0636 0.0291 20 1039 14.09 73.739 17.2205 0.0147 1.424 0 1.843138245212785 0.8305312804502734 1.0125 "" "" 0 "" "" "" NOT_AVAILABLE 345.26758253639 1.35390423331 257.9452450661 -17.50295366013 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.858731678 5.7653 -40.31068039 4.4913 0.032657888267802894 0.029207256685998006 6.8823
0.142395 -0.074325 -0.121459 211.5 "Gaia DR2 5967066478869118976" 254.81503990347 17.1876 -40.31141303346 8.2365 1635721458409799680 5967066478869118976 802399267 2015.5 "" "" "" "" "" "" "" 0.8759 "" "" "" "" "" "" "" "" "" 75 0 75 0 3.4771 118.78 7.123 3.5 3 0 0.0072 "" "" 0.301 9 5 403.46 0 11 0 88 87.55 1.538 56.919 20.832722403198364 0.019159807359413118 7 101.7 19.88 5.117 20.3331 0.2122 11 225.2 18.58 12.119 18.8806 0.0896 3.734 0 1.4525704143349358 -0.4996247529250475 1.9521 "" "" 0 "" "" "" NOT_AVAILABLE 345.2464209362 1.37965101871 257.910600279 -17.50728819137 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.815039903 17.1876 -40.3114130335 8.2365 0.2303421667462948 0.21306148805670916 7.1396
0.134371 -0.073213 -0.112675 213.0 "Gaia DR2 5967066474572486656" 254.8165104777 0.7114 -40.30263026628 0.6606 1635721458409799680 5967066474572486656 194583885 2015.5 1.5391 1.3392 1.1493 -5.131 1.755 -3.399 1.340 0.2739 -0.1979 -0.0150 -0.1438 -0.5337 -0.0235 -0.7975 -0.3877 0.6339 0.1970 155 0 154 1 1.696 179.48 0.546 0.18 31 0 0.0632 1.2410 0.1552 0.133 18 8 1.6023 0 19 0 162 191.9 1.24 154.739 19.98042972612825 0.007243900381609726 18 121.2 11.69 10.360 20.1430 0.1048 17 339.6 11.43 29.713 18.4346 0.0365 2.400 0 1.7083931099994842 0.16257207940289575 1.5458 "" "" 0 "" "" "" NOT_AVAILABLE 345.25401766474 1.38420271252 257.9107630759 -17.49843547823 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 254.816539444 27.2068 -40.3026156326 20.7832 0.1110136976139449 0.10506034033970661 2.0388
