_r_1 _x_1 _y_1 _p_1 DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON_1 GLAT_1 ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000_1 e_RAJ2000 DEJ2000_1 e_DEJ2000 e_BP-RP e_BP-G d_arcsec _r_2 _x_2 _y_2 _p_2 RAJ2000_2 DEJ2000_2 errMaj errMin errPA _2MASS Jmag Jcmsig e_Jmag Jsnr Hmag Hcmsig e_Hmag Hsnr Kmag Kcmsig e_Kmag Ksnr Qflg Rflg Bflg Cflg Ndet prox pxPA pxCntr Xflg Aflg Cntr Hemis Date Scan GLON_2 GLAT_2 Xscan JD Jpsfchi Hpsfchi Kpsfchi Jstdap e_Jstdap Hstdap e_Hstdap Kstdap e_Kstdap edgeNS edgeEW edge dup use opt Dopt PAopt Bmag Rmag Nopt extKey scanKey coaddKey coadd Opt
0.152693 0.090136 -0.12325 143.8 "Gaia DR2 3026527629447088768" 112.60714637573 0.0887 -18.66523238121 0.118 1635721458409799680 3026527629447088768 503019450 2015.5 0.1493 0.1619 0.9226 -4.331 0.186 0.762 0.235 -0.2906 0.0003 -0.4573 -0.0128 0.1188 0.0153 -0.4515 0.2856 -0.2157 -0.2889 403 0 402 1 0.1047 399.29 0.0 0.0 31 0 0.8365 1.4975 0.0226 0.067 46 14 0.22907 0 47 0 407 1061.0 1.225 865.89 18.124009238644867 0.002193717989466033 43 432.3 3.971 108.865 18.7619 0.0100 40 940.5 6.206 151.543 17.3285 0.0072 1.294 0 1.433406773757568 0.6378774246061205 0.7954 "" "" 0 "" "" "" NOT_AVAILABLE 233.90773149645 -0.1818646693 118.3440982987 -39.90587444878 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.607166056 2.8823 -18.665235663 3.644 0.01250473379957098 0.010307277232615248 0.2894 0.152596 0.090027 -0.12321 143.8 112.607145 -18.665152 0.17 0.16 68 07302571-1839545 16.219 0.122 0.123 9.2 15.636 0.144 0.144 7.0 15.227 "" "" "" BCU 220 110 c00 50600 15.2 302 975502171 0 0 32767 s 2000-03-29 15 233.908 -0.182 -69.7 2451633.4989 1.13 0.91 "" 16.228 0.363 15.912 0.243 "" "" 2934 183 ne 0 1 U 0.4 331 18.8 17.5 1 "" 52045 1197016 44 Opt
0.158307 0.113926 -0.109918 134.0 "Gaia DR2 3026527766886060928" 112.63224754516 0.0706 -18.65188638737 0.0905 1635721458409799680 3026527766886060928 160972884 2015.5 0.3783 0.1267 2.9859 -1.732 0.148 2.845 0.184 -0.2697 0.0495 -0.4390 -0.0407 0.0603 -0.0180 -0.4082 0.2595 -0.1644 -0.2817 409 0 407 2 0.0971 404.09 0.0 0.0 31 0 1.2953 1.4843 0.0174 0.087 47 14 0.17864 0 49 0 422 1504.0 1.411 1066.062 17.74535258404255 0.0020681493701774018 46 639.5 5.116 124.999 18.3367 0.0087 44 1294 5.168 250.396 16.9820 0.0043 1.286 0 1.3547672182758994 0.5913950617013057 0.7633 "" "" 0 "" "" "" NOT_AVAILABLE 233.90744778606 -0.15459538561 118.37100509733 -39.88805406312 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.632255414 2.2973 -18.6518986388 2.8545 0.009990818402333502 0.00903790276456821 0.4188 0.158142 0.113725 -0.109889 134.0 112.632149 -18.651817 0.21 0.2 96 07303171-1839065 15.965 0.089 0.09 11.7 15.698 0.169 0.169 6.6 15.218 0.183 0.183 5.8 ACC 222 111 000 50605 17.9 12 975502096 0 0 32767 s 2000-03-29 15 233.907 -0.155 -154.9 2451633.4989 1.03 1.02 0.8 16.032 0.279 15.592 0.35 15.125 0.183 2886 98 ne 0 1 U 0.7 292 18.5 17.3 1 "" 52045 1197015 33 Opt
0.163721 0.110637 -0.120681 137.5 "Gaia DR2 3026527736830891136" 112.62878357478 0.0296 -18.66265095072 0.0349 1635721458409799680 3026527736830891136 1471613790 2015.5 0.6626 0.0504 13.1576 -5.543 0.062 6.404 0.068 -0.2802 0.0587 -0.4170 -0.0264 0.0507 -0.0067 -0.3261 0.2914 -0.1963 -0.2934 377 0 376 1 -0.2572 363.38 0.0 0.0 31 0 8.1012 1.5661 0.0075 0.071 43 14 0.073508 0 45 1 388 7130.0 3.273 2178.345 16.05567617537034 0.0018677314805256506 40 3585 12.72 281.838 16.4651 0.0039 44 5169 10.17 508.169 15.4784 0.0021 1.228 0 0.986711850349625 0.40944037003920286 0.5772 "" "" 0 "" "" "" NOT_AVAILABLE 233.91531275898 -0.1626445844 118.36961244581 -39.89925697568 100001 5306.00 5088.35 5365.00 0.2287 0.0089 0.4251 0.1090 0.0109 0.2100 200111 0.97 0.95 1.05 0.671 0.559 0.783 112.628808767 0.9539 -18.6626785255 1.0536 0.004997629083884905 0.00450438250965036 0.1233 0.163708 0.110561 -0.120734 137.5 112.628817 -18.662664 0.06 0.06 45 07303091-1839455 14.795 0.038 0.04 34.2 14.412 0.053 0.054 21.6 14.167 0.073 0.073 15.3 AAA 222 111 000 663606 16.9 88 975502169 0 0 32767 s 2000-03-29 15 233.915 -0.163 -143.6 2451633.4989 0.72 1.02 0.9 14.727 0.068 14.395 0.075 14.268 0.132 2925 109 ne 0 1 U 0.2 302 17.0 15.9 1 "" 52045 1197015 33 Opt
0.168843 0.120391 -0.118381 134.5 "Gaia DR2 3026527702471148800" 112.63907691595 0.0226 -18.66034460068 0.0271 1635721458409799680 3026527702471148800 503863661 2015.5 0.4256 0.0387 10.9842 -1.727 0.048 4.113 0.054 -0.3056 0.0909 -0.3663 -0.1219 0.0075 -0.1291 -0.2235 0.2427 -0.1546 -0.3425 429 0 424 5 17.7739 1171.54 0.207 12.0 31 0 14.8679 1.4635 0.0055 0.074 49 14 0.060516 0 51 0 447 38490.0 22.13 1738.88 14.225058430897173 0.0019052159784361147 50 1.559e+04 30.11 517.670 14.8695 0.0021 48 3.628e+04 72.86 497.985 13.3627 0.0022 1.348 0 1.5068217089597535 0.6444352305886163 0.8623 "" "" 0 "" "" "" NOT_AVAILABLE 233.91797447634 -0.15298334932 118.38146842815 -39.8950511201 100001 4376.30 4102.42 4702.10 "" "" "" "" "" "" 200111 5.86 5.08 6.67 11.361 8.987 13.734 112.639084764 0.7456 -18.6603623112 0.8352 0.0038369726046090314 0.0031604996660620542 0.0393 0.168793 0.12029 -0.118413 134.5 112.639084 -18.660336 0.06 0.06 90 07303338-1839372 12.038 0.027 0.03 433.7 11.469 0.034 0.035 324.6 10.863 0.024 0.026 320.8 AAA 222 111 000 665566 12.4 56 975502149 0 0 32767 s 2000-03-29 15 233.918 -0.153 -178.6 2451633.4989 1.09 1.77 1.88 11.995 0.022 11.407 0.022 10.809 0.016 2916 74 ne 0 1 U 1.2 286 13.3 12.2 1 "" 52045 1197015 33 Opt
0.169592 0.123294 -0.116448 133.4 "Gaia DR2 3026527702465268224" 112.64213980491 0.4477 -18.65840937248 0.5754 1635721458409799680 3026527702465268224 1249261659 2015.5 0.6168 0.7905 0.7803 -1.376 0.946 1.590 1.124 -0.1867 0.0184 -0.4637 -0.1267 0.1982 -0.1126 -0.3875 0.1649 -0.1733 -0.2195 408 0 406 2 2.3474 470.48 1.242 0.82 31 0 0.0336 1.4247 0.1157 0.069 48 13 1.0578 0 50 0 424 127.6 0.7827 163.041 20.423688223133905 0.00689845714140232 44 47.04 5.719 8.225 21.1703 0.1320 48 224.1 5.917 37.873 18.8859 0.0287 2.124 0 2.2844318103755086 0.7466358388308016 1.5377 "" "" 0 "" "" "" NOT_AVAILABLE 233.917671221 -0.14950856269 118.3846712074 -39.89257566696 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.642146058 14.6689 -18.6584162185 17.4258 0.13509831209325457 0.13218820364470624 0.1343 0.16951 0.12315 -0.116482 133.4 112.642101 -18.658403 0.21 0.21 135 07303410-1839302 16.793 0.179 0.179 5.4 15.708 0.171 0.171 6.5 15.194 0.184 0.184 5.9 CCC 222 111 ccc 60606 11.2 54 975502139 0 0 32767 s 2000-03-29 15 233.918 -0.15 -188.9 2451633.4989 1.0 0.8 1.35 16.854 0.17 16.017 0.316 15.035 0.383 2909 64 ne 0 1 0 "" "" "" "" 0 "" 52045 1197015 33 Opt
0.159003 0.106454 -0.118108 138.0 "Gaia DR2 3026527732526308992" 112.6243664641 0.6222 -18.66008127285 0.7794 1635721458409799680 3026527732526308992 415835080 2015.5 4.9141 1.0981 4.4753 -1.214 1.347 6.116 1.640 -0.523 -0.0680 -0.2867 -0.1181 0.1757 -0.0756 -0.0427 0.3001 -0.2190 -0.5582 398 0 377 21 42.3439 3131.93 5.684 62.0 31 0 0.0233 1.1816 0.1240 0.046 47 14 1.6703 0 49 0 419 299.2 1.694 176.617 19.498314602303882 0.006405358284445719 45 81.67 4.765 17.142 20.5712 0.0633 46 410.7 4.315 95.176 18.2281 0.0114 1.645 0 2.343194980113772 1.0729157462645453 1.2702 "" "" 0 "" "" "" NOT_AVAILABLE 233.91104880144 -0.16508083868 118.36359905565 -39.89757372381 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.624371983 20.8847 -18.6601076055 25.4284 0.06440168804998377 0.06367782653537511 0.2062 0.158987 0.106402 -0.118134 138.0 112.624425 -18.660067 0.13 0.12 2 07302986-1839362 16.383 0.138 0.138 7.9 15.294 0.117 0.117 9.6 15.308 0.2 0.2 5.4 BBC 222 111 000 60606 6.6 31 975502151 0 0 32767 s 2000-03-29 15 233.911 -0.165 -128.6 2451633.4989 1.19 0.54 1.33 16.114 0.265 15.141 0.138 14.993 0.4 2916 124 ne 0 1 U 0.1 222 20.8 17.8 1 "" 52045 1197015 33 Opt
0.166858 0.115346 -0.120569 136.3 "Gaia DR2 3026527698166568832" 112.63375352249 0.0477 -18.66253612223 0.0576 1635721458409799680 3026527698166568832 1399801835 2015.5 0.2603 0.0824 3.1594 -1.309 0.104 1.461 0.126 -0.3047 -0.0005 -0.3523 -0.1172 0.1647 -0.1109 -0.0996 0.1364 -0.0014 -0.4040 366 0 365 1 -0.6291 342.74 0.0 0.0 31 0 3.1389 1.5280 0.0122 0.045 42 13 0.12632 0 44 0 380 3038.0 1.806 1682.361 16.982037814486088 0.0019121944287673802 40 1374 8.034 171.087 17.5060 0.0063 40 2483 5.273 470.775 16.2746 0.0023 1.270 0 1.2314487287877007 0.5240003250651952 0.7074 "" "" 0 "" "" "" NOT_AVAILABLE 233.91747382176 -0.15845959004 118.37559676494 -39.89820501128 100001 4938.00 4844.00 5091.00 "" "" "" "" "" "" "" "" "" "" "" "" "" 112.633759471 1.6091 -18.6625424124 1.9511 0.00715272167306362 0.00677416458851855 0.0870 0.166796 0.115239 -0.120585 136.3 112.633755 -18.662512 0.08 0.08 135 07303210-1839450 15.388 0.061 0.063 19.8 14.909 0.08 0.08 13.7 14.995 0.141 0.141 7.1 AAB 222 111 000 160606 16.9 268 975502170 0 0 32767 s 2000-03-29 15 233.917 -0.158 -160.4 2451633.4989 0.89 1.07 1.11 15.535 0.123 14.891 0.15 15.45 0.524 2924 92 ne 0 1 U 0.3 294 17.8 16.8 1 "" 52045 1197015 33 Opt
0.174142 0.121457 -0.124794 135.8 "Gaia DR2 3026527698166563456" 112.64020744911 0.1165 -18.66675646046 0.1535 1635721458409799680 3026527698166563456 168773702 2015.5 0.5308 0.2228 2.3823 -2.599 0.247 2.675 0.309 -0.3268 -0.0401 -0.3748 -0.0654 0.1732 -0.0284 -0.2945 0.2690 -0.1757 -0.3543 418 0 416 2 1.0581 441.39 0.167 0.17 31 0 0.444 1.4438 0.0308 0.048 48 14 0.29963 0 51 0 437 678.8 1.068 635.573 18.609061446084617 0.002481579143764166 44 255.2 5.871 43.474 19.3341 0.0250 45 635.5 5.784 109.871 17.7541 0.0099 1.312 0 1.580112939184481 0.7250943065412656 0.8550 "" "" 0 "" "" "" NOT_AVAILABLE 233.92411259802 -0.15512412003 118.38450450408 -39.90112020742 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.640219263 3.8314 -18.6667679796 4.7971 0.026962221936210062 0.025136786007816617 0.1479 0.174061 0.121309 -0.124825 135.8 112.640165 -18.666748 0.27 0.25 5 07303363-1840002 16.329 0.134 0.135 8.3 16.338 "" "" "" 15.513 0.233 0.233 4.4 BUD 202 101 000 60005 17.3 157 975502201 0 0 32767 s 2000-03-29 15 233.924 -0.155 -182.3 2451633.4989 0.78 "" 0.82 16.375 0.232 "" "" 16.641 1.374 2939 70 ne 0 1 U 0.4 291 19.4 17.8 1 "" 52045 1197016 44 Opt
0.15847 0.107421 -0.116506 137.3 "Gaia DR2 3026527736830891648" 112.62538570274 0.2226 -18.65847801281 0.2679 1635721458409799680 3026527736830891648 1093173594 2015.5 3.1507 0.4066 7.7492 0.916 0.465 7.471 0.528 -0.3261 0.0309 -0.4593 -0.0303 0.1546 0.0224 -0.3156 0.2903 -0.2955 -0.3411 413 0 412 1 36.9329 2629.36 2.387 62.0 31 0 0.1379 1.4137 0.0500 0.078 47 14 0.53098 0 49 0 429 1011.0 2.239 451.512 18.1765221110225 0.0030036981451334547 46 388.7 4.75 81.836 18.8773 0.0133 45 1022 5.693 179.550 17.2381 0.0060 1.396 0 1.6393033188383725 0.7008415033020512 0.9384 "" "" 0 "" "" "" NOT_AVAILABLE 233.91010640748 -0.16346378792 118.36441563503 -39.89581007044 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.62538154 7.2091 -18.6585101801 8.1934 0.01477025254432527 0.013674996361103127 0.1247 0.158456 0.107346 -0.116555 137.4 112.625421 -18.658487 0.13 0.12 99 07303010-1839305 16.095 0.108 0.109 10.3 15.391 0.11 0.11 8.8 15.372 0.204 0.204 5.0 ABC 222 111 000 60606 6.6 211 975502159 0 0 32767 s 2000-03-29 15 233.91 -0.163 -132.0 2451633.4989 1.36 1.26 1.46 16.168 0.203 15.597 0.212 16.305 1.44 2910 121 ne 0 1 U 0.2 231 19.0 17.6 1 "" 52045 1197015 33 Opt
0.155635 0.114876 -0.105004 132.4 "Gaia DR2 3026527766886066816" 112.63324664986 0.1323 -18.64697146073 0.1733 1635721458409799680 3026527766886066816 825261490 2015.5 0.2152 0.2336 0.9210 -4.802 0.279 3.340 0.352 -0.2406 0.0185 -0.4495 -0.0601 0.0942 -0.0412 -0.4271 0.2268 -0.1542 -0.2559 419 0 417 2 1.4963 455.75 0.249 0.32 31 0 0.3552 1.4494 0.0332 0.084 48 14 0.33408 0 50 0 429 583.0 1.051 554.495 18.7742658966412 0.002659740970527023 46 203.2 4.29 47.369 19.5816 0.0229 46 608.3 4.124 147.498 17.8016 0.0074 1.392 0 1.7799852766457676 0.8073248606352195 0.9726 "" "" 0 "" "" "" NOT_AVAILABLE 233.90359173702 -0.1514042053 118.37093620855 -39.88304908103 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.633268469 4.328 -18.6469858396 5.4563 0.024189590015940846 0.023117448814648812 0.1711 0.155538 0.114724 -0.105027 132.5 112.6332 -18.646954 0.13 0.12 171 07303196-1838490 16.259 0.114 0.115 8.9 15.894 "" "" "" 16.162 "" "" "" BUU 200 100 000 60000 17.9 192 975502126 0 0 32767 s 2000-03-29 15 233.904 -0.151 -158.5 2451633.4989 1.03 "" "" 17.169 0.475 "" "" "" "" 2868 94 ne 0 1 U 0.4 300 19.5 17.8 1 "" 52045 1197015 33 Opt
