_r _x _y _p DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON GLAT ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 e_BP-RP e_BP-G d_arcsec
0.169168 0.117405 -0.121794 136.1 "Gaia DR2 3026527698166566656" 112.63592839845 0.2465 -18.66375949489 0.3258 1635721458409799680 3026527698166566656 1146076843 2015.5 1.3248 0.4589 2.8868 -2.589 0.541 -0.701 0.710 -0.3082 -0.1089 -0.3168 -0.1607 0.2676 -0.1364 -0.1409 0.0847 0.0694 -0.4092 424 0 422 2 1.5738 463.41 0.544 0.45 31 0 0.1002 1.3297 0.0646 0.046 49 13 0.67319 0 51 0 436 250.9 0.877 286.107 19.689518565175955 0.004200078277721207 45 95.03 4.533 20.964 20.4068 0.0518 45 297.3 5.818 51.092 18.5791 0.0213 1.563 0 1.8277122481717676 0.7172524636858668 1.1104 "" "" 0 "" "" "" NOT_AVAILABLE 233.91953660718 -0.15724003978 118.37854677512 -39.89899261487 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.635940164 8.3963 -18.663756477 11.014 0.056030433500612174 0.051979237530022725 8.6671
0.15588 0.108851 -0.111579 135.7 "Gaia DR2 3026527766889408128" 112.6268924581 0.2328 -18.65355013123 0.2962 1635721458409799680 3026527766889408128 683047112 2015.5 0.5934 0.4564 1.3002 -2.566 0.507 2.764 0.654 -0.2461 0.0017 -0.3375 -0.1591 0.2576 -0.1325 -0.1422 0.0987 0.0131 -0.3693 398 0 397 1 -0.9552 365.22 0.0 0.0 31 0 0.1153 1.4566 0.0599 0.081 45 12 0.61548 0 47 0 408 273.5 0.8553 319.75 19.596125768562832 0.003843232977590016 44 108.6 4.374 24.835 20.2615 0.0437 46 273.9 4.873 56.202 18.6681 0.0193 1.399 0 1.5934074659705715 0.6653998100470524 0.9279 "" "" 0 "" "" "" NOT_AVAILABLE 233.90646988247 -0.15984469882 118.36495783717 -39.89069646515 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.626904116 7.8634 -18.6535620327 10.1415 0.04785459727532395 0.04390922813835687 18.4678
0.160219 0.104909 -0.121095 139.1 "Gaia DR2 3026527736822048256" 112.62273835677 0.1731 -18.66306875756 0.2297 1635721458409799680 3026527736822048256 1165818623 2015.5 0.5488 0.3278 1.6740 -3.471 0.361 2.436 0.470 -0.3073 0.1143 -0.3242 -0.1228 -0.0218 -0.1094 -0.2938 0.2510 -0.1438 -0.3112 386 0 385 1 0.4541 391.98 0.0 0.0 31 0 0.2203 1.4186 0.0435 0.052 44 14 0.44198 0 46 0 399 418.3 1.02 410.275 19.13475823762403 0.003200533153452625 31 210 5.57 37.705 19.5458 0.0288 33 499.6 6.297 79.346 18.0153 0.0137 1.697 0 1.530551290159103 0.4110935255411725 1.1194 "" "" 0 "" "" "" NOT_AVAILABLE 233.91292825164 -0.16786868694 118.36240551283 -39.90080883997 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.622754131 5.5928 -18.6630792449 7.2903 0.031968830518388884 0.029006914578154054 2.7920
0.133123 0.046153 -0.124866 159.7 "Gaia DR2 3026528247922377728" 112.56072222459 0.1963 -18.66686591553 0.2173 1635721458409799680 3026528247922377728 988647857 2015.5 2.0881 0.3423 6.0993 -1.156 0.415 6.610 0.480 -0.2604 0.0781 -0.3779 -0.1217 0.0417 -0.0851 -0.1325 0.1773 -0.2701 -0.2827 401 0 396 5 5.8634 578.09 1.268 5.2 31 0 0.1617 1.3538 0.0514 0.086 45 13 0.4595 0 47 1 403 416.5 1.254 332.14 19.13944068956569 0.003731728789845511 43 160.4 5.441 29.470 19.8387 0.0368 43 486.3 4.984 97.557 18.0448 0.0111 1.553 0 1.793998934186643 0.699286858446019 1.0946 "" "" 0 "" "" "" NOT_AVAILABLE 233.88804779489 -0.22123042862 118.28833096087 -39.9162345913 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.560727476 6.4319 -18.6668943766 7.4455 0.03855778368001111 0.037056196086631445 18.3728
0.123108 0.010315 -0.122675 175.2 "Gaia DR2 3026528179202903552" 112.52289433045 0.2553 -18.66468087529 0.2906 1635721458409799680 3026528179202903552 1045050295 2015.5 -0.3449 0.4253 -0.8109 1.024 0.536 4.408 0.610 -0.24 -0.0175 -0.4255 -0.0489 0.1595 -0.0184 -0.2646 0.1886 -0.2273 -0.2583 406 0 405 1 0.2643 406.85 0.0 0.0 31 0 0.0913 1.5265 0.0709 0.018 47 14 0.58467 0 49 0 424 228.4 0.7933 287.898 19.791707291619097 0.0041788327595588945 45 86.52 5.137 16.844 20.5086 0.0645 44 236 4.979 47.395 18.8297 0.0229 1.412 0 1.6789301534236323 0.7168888358525862 0.9620 "" "" 0 "" "" "" NOT_AVAILABLE 233.86893156127 -0.25162331329 118.24196955437 -39.9212187527 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.522889677 8.317 -18.6646998538 9.4599 0.06844985109529346 0.06460999002929434 14.9381
0.123884 0.018828 -0.122444 171.3 "Gaia DR2 3026528286578125568" 112.53187987308 0.3672 -18.66444935863 0.399 1635721458409799680 3026528286578125568 1171491274 2015.5 -0.0751 0.5909 -0.1271 3.042 0.760 3.987 0.808 -0.3693 -0.1196 -0.5283 0.0842 0.2582 0.1370 -0.3586 0.3048 -0.3768 -0.3488 425 0 422 3 2.7616 501.19 1.329 1.5 31 0 0.0517 1.3789 0.0904 0.024 48 13 0.8492 0 50 0 437 175.5 0.784 223.838 20.077769031083253 0.005173790781722085 39 62.04 4.566 13.588 20.8698 0.0799 46 227 4.081 55.634 18.8718 0.0195 1.647 0 1.9979854975099194 0.7920040209811212 1.2059 "" "" 0 "" "" "" NOT_AVAILABLE 233.87281333637 -0.24404330635 118.25278816988 -39.91930023782 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.531866047 11.7868 -18.6644665269 12.5281 0.08228888969108861 0.08008584044657198 15.7746
0.109261 0.033524 -0.10399 162.1 "Gaia DR2 3026528316641882624" 112.54738771739 0.2123 -18.64599305377 0.2374 1635721458409799680 3026528316641882624 558851996 2015.5 0.5144 0.3427 1.5011 -2.780 0.458 0.117 0.509 -0.2716 -0.0668 -0.3701 -0.1139 0.1279 -0.1158 -0.1248 0.1620 -0.1348 -0.3396 401 0 398 3 0.6867 411.88 0.106 0.023 31 0 0.1413 1.3228 0.0578 0.063 46 13 0.49792 0 47 0 408 308.4 0.8648 356.565 19.46575495907953 0.0035372323048038046 40 108.3 4.647 23.314 20.2644 0.0466 43 333 5.16 64.526 18.4559 0.0168 1.431 0 1.8085080878771862 0.7986729994925774 1.0098 "" "" 0 "" "" "" NOT_AVAILABLE 233.86367230709 -0.22229555968 118.26677799659 -39.89829156402 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.547400349 7.0999 -18.6459935581 7.9007 0.049572984225620564 0.04672532626603201 15.1732
0.125947 0.038083 -0.120052 162.4 "Gaia DR2 3026528252226987520" 112.55220261907 0.0209 -18.66205358369 0.0228 1635721458409799680 3026528252226987520 243375227 2015.5 0.4110 0.0356 11.5327 -3.339 0.043 1.357 0.047 -0.2992 0.1067 -0.4224 -0.0783 -0.0063 -0.0404 -0.2095 0.2642 -0.2881 -0.3016 415 0 415 0 -1.991 354.98 0.0 0.0 31 0 17.3694 1.5921 0.0053 0.084 47 14 0.054218 0 48 0 419 14330.0 4.992 2869.45 15.298087632943496 0.0018393380175086617 9 8274 125.7 65.848 15.5571 0.0165 7 1.158e+04 646.7 17.904 14.6027 0.0606 1.386 0 0.9543757725006063 0.2590105047303144 0.6954 "" "" 0 "" "" "" NOT_AVAILABLE 233.87995178554 -0.22600160241 118.27676960413 -39.91312417717 100001 5343.30 5086.80 5823.33 "" "" "" "" "" "" 200111 2.18 1.83 2.40 3.488 2.782 4.193 112.552217795 0.6704 -18.6620594258 0.7246 0.0628885019284255 0.016650471614798913 2.0816
0.121976 0.02261 -0.119862 169.3 "Gaia DR2 3026528286586730496" 112.53587109915 0.1998 -18.66186634749 0.2238 1635721458409799680 3026528286586730496 1098525270 2015.5 -0.5679 0.3302 -1.7201 -1.789 0.421 -0.830 0.475 -0.239 0.0449 -0.3979 -0.1080 0.0729 -0.0864 -0.1873 0.1672 -0.2050 -0.2667 434 0 431 3 -0.7957 402.55 0.0 0.0 31 0 0.1436 1.4138 0.0537 0.055 49 14 0.45338 0 50 0 440 307.2 0.8428 364.468 19.469917685740874 0.003480525123579928 42 109.1 3.925 27.796 20.2569 0.0391 45 327.2 4.124 79.327 18.4750 0.0137 1.420 0 1.781904984585296 0.7869204529734404 0.9949 "" "" 0 "" "" "" NOT_AVAILABLE 233.87236171694 -0.23948626608 118.25695069208 -39.91601719114 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.53587923 6.5292 -18.6618627759 7.3588 0.04145540374943852 0.039239382265251956 8.3746
0.115149 0.028266 -0.111626 165.8 "Gaia DR2 3026528320940563328" 112.54183977959 0.8689 -18.65362974044 0.7101 1635721458409799680 3026528320940563328 1602524234 2015.5 0.1668 1.2124 0.1376 -0.348 1.760 1.248 1.456 -0.2265 0.1134 -0.6133 -0.0101 0.3454 0.0864 -0.1837 0.1220 -0.2985 -0.2805 227 0 225 2 0.828 237.13 0.0 0.0 31 0 0.0234 1.4354 0.1904 0.048 26 10 1.7215 0 30 0 236 97.1 0.8453 114.87 20.720318416347766 0.009621743115431293 14 90.1 22.98 3.921 20.4646 0.2769 12 180.7 15.4 11.732 19.1195 0.0925 2.789 0 1.3451315023714017 -0.2557424190683406 1.6008 "" "" 0 "" "" "" NOT_AVAILABLE 233.86784930395 -0.23057227427 118.26204155078 -39.90682084934 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 112.541841359 27.2976 -18.6536351151 22.5824 0.2919914806696774 0.2770965919629698 10.1564
