_r _x _y _p DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON GLAT ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 e_BP-RP e_BP-G d_arcsec
0.168876 0.124993 -0.113559 132.3 "Gaia DR2 5240984149907766912" 166.6755889571 1.7875 -62.59630030251 3.1307 1635721458409799680 5240984149907766912 537377107 2015.5 "" "" "" "" "" "" "" 0.1808 "" "" "" "" "" "" "" "" "" 59 0 59 0 0.8351 62.41 2.359 0.45 3 0 0.015 "" "" -0.077 7 5 212.91 0 8 0 70 83.61 1.523 54.899 20.88272847662502 0.019858526757620308 2 48.12 10.6 4.540 21.1455 0.2392 5 93.42 27.48 3.399 19.8358 0.3194 1.693 1 1.3096495481348178 0.262744667083588 1.0469 "" "" 0 "" "" "" NOT_AVAILABLE 291.20595898822 -2.13344594694 209.73491437912 -58.95036229898 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.675588957 1.7875 -62.5963003025 3.1307 0.39904054545377265 0.23999364748807467 23.9358
0.124047 -0.016932 -0.122886 187.8 "Gaia DR2 5241006861699658112" 166.36721516986 2.1 -62.60588511458 1.468 1635721458409799680 5241006861699658112 1289222456 2015.5 0.5922 1.6983 0.3487 -13.063 3.710 3.520 2.866 0.0578 -0.3224 -0.5978 -0.3686 0.2288 -0.2746 -0.3435 0.0995 0.2585 0.1305 111 0 111 0 1.8597 134.67 4.585 1.9 31 0 0.0103 1.5304 0.3384 -0.139 13 9 3.6555 0 17 0 146 93.75 1.131 82.889 20.75846023423786 0.013221285216853241 9 46.16 9.609 4.804 21.1908 0.2260 16 133.9 11.08 12.084 19.4447 0.0899 1.921 0 1.7460771334061 0.43232228645564064 1.3137 "" "" 0 "" "" "" NOT_AVAILABLE 291.07929602255 -2.19832439774 209.56699127409 -59.0632907321 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.367337408 57.5493 -62.6059002711 44.4537 0.2432374692978129 0.2264104916251947 6.5926
0.151397 -0.087712 -0.1234 215.4 "Gaia DR2 5241009610478714496" 166.21337868033 0.6088 -62.60627381366 0.5813 1635721458409799680 5241009610478714496 792789613 2015.5 0.8401 0.6657 1.2621 -4.637 1.407 3.217 1.282 -0.15 -0.0429 -0.2125 0.0920 0.1407 0.1168 -0.4431 -0.1551 0.1637 -0.3061 205 0 205 0 1.4231 229.1 0.343 0.041 31 0 0.0334 1.2023 0.1561 -0.15 24 14 1.3781 0 27 0 232 119.2 0.8256 144.414 20.49743610954465 0.007730671736137167 14 53 7.646 6.932 21.0407 0.1566 22 143.4 13.38 10.720 19.3707 0.1013 1.647 0 1.6700727525414791 0.5433151658969884 1.1267 "" "" 0 "" "" "" NOT_AVAILABLE 291.01448041998 -2.22687789374 209.47678043957 -59.11679464072 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.213422074 21.8127 -62.6062876643 19.8838 0.18654020102064736 0.15682948133113425 8.4130
0.151485 -0.086846 -0.124119 215.0 "Gaia DR2 5241009610480576768" 166.21525676447 2.2928 -62.60699562635 3.6522 1635721458409799680 5241009610480576768 299496984 2015.5 "" "" "" "" "" "" "" 0.7133 "" "" "" "" "" "" "" "" "" 45 0 45 0 -0.9923 31.2 0.0 0.0 3 0 0.0138 "" "" -0.392 5 5 13.649 0 6 0 54 64.42 1.385 46.525 21.165865074548087 0.023405760990412902 0 "" "" "" "" "" 0 "" "" "" "" "" "" 0 "" "" "" "" "" 0 "" "" "" NOT_AVAILABLE 291.0155617263 -2.2271944787 209.47894727939 -59.11661956429 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.215256764 2.2928 -62.6069956264 3.6522 "" "" 11.4541
0.151453 -0.088281 -0.123063 215.7 "Gaia DR2 5241009610479967488" 166.21214538957 2.0934 -62.60593522501 2.0594 1635721458409799680 5241009610479967488 748656661 2015.5 1.1114 2.2214 0.5003 -9.347 3.348 6.484 3.837 -0.4396 -0.4981 -0.3719 0.0270 0.1576 0.2824 -0.5522 0.1799 0.3294 -0.3913 68 0 68 0 1.3261 78.31 3.613 1.1 31 0 0.0134 1.1072 0.5213 -0.446 8 7 3.9867 0 9 0 76 81.17 1.486 54.626 20.914964635811607 0.01995649790012542 2 82.21 55.84 1.472 20.5641 0.7374 5 103.2 31.59 3.267 19.7275 0.3323 2.285 0 0.8365716423575655 -0.3509026431290394 1.1874 "" "" 0 "" "" "" NOT_AVAILABLE 291.01382446869 -2.22679415667 209.47555605606 -59.11699877403 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.212232856 51.9438 -62.6059631411 59.5101 0.8088334279722007 0.737685028398275 6.7920
0.133404 -0.050215 -0.123592 202.1 "Gaia DR2 5241009743608054656" 166.29487617139 0.7768 -62.60655326126 0.7541 1635721458409799680 5241009743608054656 1250549078 2015.5 -0.6168 0.8336 -0.7400 -3.312 1.806 -0.111 1.653 -0.1197 -0.0702 -0.1528 -0.0056 0.0678 0.0697 -0.4474 -0.0933 0.1610 -0.3518 165 0 164 1 2.2931 202.71 2.554 2.7 31 0 0.0249 1.2370 0.2130 -0.071 19 13 1.7884 0 22 0 192 108.0 0.9132 118.268 20.604840611282626 0.009355496845106687 10 51.41 6.88 7.473 21.0738 0.1453 17 148.7 9.298 15.992 19.3312 0.0679 1.853 0 1.7425643076621569 0.46891927491484964 1.2735 "" "" 0 "" "" "" NOT_AVAILABLE 291.04900277474 -2.21217756627 209.52528590092 -59.0887639465 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.294907165 27.9972 -62.6065527815 25.6278 0.1603862585434207 0.14559620686909555 4.3650
0.132954 -0.051447 -0.122596 202.8 "Gaia DR2 5241009747915564544" 166.29220158204 0.4332 -62.60555543076 0.3765 1635721458409799680 5241009747915564544 1583854752 2015.5 0.2474 0.4596 0.5382 -7.036 0.973 2.719 0.818 -0.2468 -0.0889 -0.1680 0.1363 0.0681 0.2010 -0.2854 -0.0499 0.2564 -0.4662 210 0 208 2 0.1459 205.28 0.0 0.0 31 0 0.0675 1.2777 0.1082 -0.124 24 15 0.9739 0 28 0 244 181.4 0.8048 225.467 20.041567392358605 0.005141031324495399 20 65.26 8.108 8.049 20.8148 0.1349 26 224.2 10.71 20.931 18.8855 0.0519 1.595 0 1.9293108598230084 0.7732481548724444 1.1560 "" "" 0 "" "" "" NOT_AVAILABLE 291.04747542046 -2.21175248668 209.52224639066 -59.08903227199 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.292267426 15.0945 -62.6055671396 12.6784 0.14454400523554106 0.13500113700688146 4.4832
0.134813 -0.051625 -0.124537 202.5 "Gaia DR2 5241009747915557504" 166.29180730605 0.5656 -62.60749571549 0.4879 1635721458409799680 5241009747915557504 377216586 2015.5 1.7139 0.6007 2.8530 -22.225 1.284 11.671 1.088 -0.1777 -0.1325 -0.0500 0.0516 0.0781 0.0895 -0.1347 -0.0080 0.1311 -0.3557 204 0 204 0 4.1856 293.86 2.539 3.2 31 0 0.0379 1.2852 0.1381 -0.061 23 15 1.2313 0 27 0 238 161.7 0.916 176.497 20.166826416507696 0.006409504804109206 9 30.57 7.032 4.347 21.6382 0.2498 12 216.4 15.95 13.565 18.9237 0.0800 1.528 0 2.714575882685523 1.4714059936088475 1.2431 "" "" 0 "" "" "" NOT_AVAILABLE 291.04808238475 -2.21360444684 209.52485521067 -59.09044706678 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.292015294 19.9168 -62.6075459674 16.8674 0.26230591959097216 0.24987152059099974 2.6321
0.124635 -0.044616 -0.116376 201.0 "Gaia DR2 5241009851012077056" 166.30706764864 1.9607 -62.59934622135 1.7406 1635721458409799680 5241009851012077056 865510351 2015.5 1.5653 1.9928 0.7855 -8.194 3.268 2.831 4.061 -0.2279 -0.5856 -0.2887 -0.0565 -0.0788 0.3585 -0.7438 0.1289 0.4129 -0.4018 75 0 75 0 -1.8248 50.02 0.0 0.0 31 0 0.0184 "" "" -0.129 9 9 4.1207 0 12 0 94 78.4 1.084 72.359 20.952609822157502 0.01511261870600301 5 44.18 12.14 3.640 21.2383 0.2983 10 98.61 17.21 5.729 19.7771 0.1895 1.821 0 1.4612465684485656 0.2857013299942075 1.1755 "" "" 0 "" "" "" NOT_AVAILABLE 291.0512804412 -2.20333262499 209.52192937571 -59.07979515969 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.307144309 50.6874 -62.5993584108 62.9714 0.35338809636307805 0.29864942208265943 7.3462
0.111486 -0.043253 -0.102753 202.8 "Gaia DR2 5241009885358769536" 166.31007324037 15.5181 -62.58572543179 5.7118 1635721458409799680 5241009885358769536 557760350 2015.5 "" "" "" "" "" "" "" -0.8614 "" "" "" "" "" "" "" "" "" 56 0 56 0 0.5847 56.42 2.11 0.19 3 0 0.0094 "" "" -0.597 7 5 49.439 0 7 0 59 68.62 1.543 44.475 21.097288986110392 0.024479073775054688 0 "" "" "" "" "" 0 "" "" "" "" "" "" 0 "" "" "" "" "" 0 "" "" "" NOT_AVAILABLE 291.04712395667 -2.19028697215 209.50377266092 -59.06977662505 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.31007324 15.5181 -62.5857254318 5.7118 "" "" 4.7098
0.125903 -0.051903 -0.114706 204.3 "Gaia DR2 5241009850994806912" 166.29124068973 0.5188 -62.59766467749 0.4525 1635721458409799680 5241009850994806912 970684706 2015.5 0.1481 0.5350 0.2767 -12.543 1.203 2.547 0.993 -0.3227 -0.0569 -0.0165 0.0033 0.0029 0.0455 -0.1471 0.0209 0.1694 -0.5290 199 0 197 2 0.8405 208.24 0.0 0.0 31 0 0.0496 1.3374 0.1267 -0.149 23 14 1.2057 0 26 0 221 154.6 1.074 143.997 20.215165576001052 0.007752266287861994 7 64.49 12.73 5.065 20.8276 0.2144 12 230.5 15.46 14.913 18.8552 0.0728 1.908 0 1.9724430162907076 0.6124530393478587 1.3599 "" "" 0 "" "" "" NOT_AVAILABLE 291.04392393447 -2.20469095835 209.51012565597 -59.08416556303 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.291358032 18.6512 -62.5976756435 15.3924 0.22641544698572244 0.21452091598211012 3.9546
0.113361 -0.048496 -0.102464 205.3 "Gaia DR2 5241009885358628224" 166.29868704499 1.8969 -62.585428501 4.9545 1635721458409799680 5241009885358628224 142624882 2015.5 "" "" "" "" "" "" "" -0.2964 "" "" "" "" "" "" "" "" "" 43 0 43 0 -1.1886 28.0 0.0 0.0 3 0 0.0138 "" "" -0.112 5 5 26.498 0 6 0 53 67.03 1.406 47.689 21.122694594035416 0.022837944622163982 0 "" "" "" "" "" 0 "" "" "" "" "" "" 2 "" "" "" "" "" 0 "" "" "" NOT_AVAILABLE 291.04219313967 -2.1921019754 209.49661396848 -59.07352285443 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.298687045 1.8969 -62.585428501 4.9545 "" "" 12.7440
0.121989 -0.018908 -0.120515 188.9 "Gaia DR2 5241009816638225152" 166.36292436262 1.2522 -62.60351272794 1.8786 1635721458409799680 5241009816638225152 326710303 2015.5 "" "" "" "" "" "" "" -0.0073 "" "" "" "" "" "" "" "" "" 88 0 87 1 1.024 95.09 1.292 0.24 3 0 0.0189 "" "" -0.021 10 9 5.189 0 11 0 97 80.5 1.189 67.724 20.923856380429513 0.01613241656310774 7 38.67 9.675 3.996 21.3831 0.2717 9 148.1 15.27 9.704 19.3353 0.1119 2.320 0 2.047812530885704 0.4592485575767675 1.5885 "" "" 0 "" "" "" NOT_AVAILABLE 291.07653959988 -2.19693175676 209.56098957195 -59.06321135354 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.362924363 1.2522 -62.6035127279 1.8786 0.2938240022030442 0.2721591013803584 8.9517
0.127539 -0.035266 -0.122566 196.1 "Gaia DR2 5241009782275347712" 166.32736859992 0.3414 -62.60554915454 0.3147 1635721458409799680 5241009782275347712 1503409883 2015.5 0.0938 0.4071 0.2304 -7.792 0.757 1.467 0.691 -0.0842 -0.2230 -0.0639 -0.0506 -0.0643 0.0967 -0.3028 -0.0053 0.3600 -0.3452 218 0 218 0 1.7241 249.86 0.0 0.0 31 0 0.0937 1.3342 0.0916 -0.186 26 16 0.74689 0 30 0 254 229.8 0.9145 251.254 19.78516666920233 0.004681158909319186 21 60.27 7.688 7.840 20.9011 0.1385 24 252.9 9.275 27.269 18.7545 0.0398 1.363 0 2.1467049380764145 1.1159803438814926 1.0307 "" "" 0 "" "" "" NOT_AVAILABLE 291.062327328 -2.20530518816 209.54298895008 -59.07685697554 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.327441512 11.7461 -62.6055554702 10.7177 0.14412463227692918 0.1385819315144552 7.0958
0.126854 -0.05221 -0.115612 204.3 "Gaia DR2 5241009851011497088" 166.29057116438 0.5681 -62.59857020379 0.5228 1635721458409799680 5241009851011497088 123219542 2015.5 0.0478 0.6505 0.0735 -6.518 1.340 8.026 1.230 0.0114 -0.1917 -0.0155 0.1429 0.1681 0.1181 -0.0133 -0.1400 -0.0105 0.1066 193 0 186 7 13.1167 561.41 3.538 17.0 31 0 0.0383 1.6011 0.1375 -0.168 22 16 1.2047 0 26 0 215 225.0 1.271 177.063 19.80808847330946 0.006390816254490371 10 222.9 28.68 7.770 19.4813 0.1397 10 414.5 27.08 15.309 18.2181 0.0709 2.833 0 1.2631823283320074 -0.32681748219318507 1.5899 "" "" 0 "" "" "" NOT_AVAILABLE 291.04400208611 -2.20564428222 209.51105614741 -59.08499404542 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.290632147 20.7802 -62.5986047593 19.0654 0.15671865468959642 0.13988553276964463 3.1025
0.131976 -0.04575 -0.123793 200.3 "Gaia DR2 5241009850994793088" 166.30457926381 0.73 -62.60676105329 0.5831 1635721458409799680 5241009850994793088 1405172411 2015.5 -0.7077 0.7265 -0.9740 -12.895 1.492 5.268 1.238 -0.2905 -0.2093 -0.2758 0.1331 0.1051 0.2042 -0.2971 0.0173 0.2312 -0.4526 203 0 201 2 3.7675 279.61 3.046 3.6 31 0 0.0287 1.3715 0.1637 -0.152 24 15 1.4893 0 28 0 240 139.3 0.9187 151.661 20.328210513038755 0.007381641546113247 19 69.31 10.61 6.532 20.7495 0.1662 27 238.5 9.745 24.478 18.8181 0.0444 2.209 0 1.9314005967022858 0.42127806253115807 1.5101 "" "" 0 "" "" "" NOT_AVAILABLE 291.05318371727 -2.21059029358 209.53131577182 -59.08554251063 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.30469993 23.1325 -62.6067837358 19.2033 0.17206494758391008 0.16640225161483285 12.6510
0.112308 -0.040271 -0.104839 201.0 "Gaia DR2 5241009885357834112" 166.31654307423 1.3024 -62.58781577048 0.9301 1635721458409799680 5241009885357834112 1144841993 2015.5 0.8280 1.0550 0.7849 -5.321 3.087 2.283 2.374 -0.4592 -0.2665 -0.2243 0.0443 0.1377 0.0886 -0.2444 0.3204 -0.1715 -0.6833 122 0 122 0 1.5733 141.99 0.0 0.0 31 0 0.0212 0.9755 0.2782 -0.23 14 10 3.1752 0 16 0 140 87.35 0.9865 88.548 20.83525516863418 0.012392979513966278 13 66.18 16.14 4.102 20.7996 0.2647 15 163.2 17.56 9.290 19.2303 0.1169 2.626 0 1.569267462917388 -0.035688477370005245 1.6049 "" "" 0 "" "" "" NOT_AVAILABLE 291.05069120792 -2.19101891045 209.51065112012 -59.06891496921 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.316592835 47.8736 -62.5878256006 36.8102 0.28938064704595673 0.26501370288015014 8.1353
0.118125 -0.038954 -0.111518 199.3 "Gaia DR2 5241009885354587520" 166.319385625 0.221 -62.59449589448 0.182 1635721458409799680 5241009885354587520 940609682 2015.5 0.3640 0.2400 1.5166 -1.944 0.467 0.741 0.372 -0.1721 -0.2327 -0.0425 -0.0007 0.1231 0.0779 -0.0446 0.0933 0.2129 -0.3543 242 0 241 1 1.8343 277.39 0.246 0.14 31 0 0.2232 1.4312 0.0567 -0.107 28 17 0.44179 0 32 0 277 409.7 1.074 381.522 19.157182086652675 0.0033672617095482074 30 127.1 8.827 14.395 20.0914 0.0754 28 475.7 11.06 42.996 18.0686 0.0253 1.471 0 2.0228564216780462 0.9341958067111982 1.0886 "" "" 0 "" "" "" NOT_AVAILABLE 291.05455302925 -2.19662644997 209.52210240208 -59.07233466858 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.319403809 7.2418 -62.5944990849 5.7628 0.0795760721264578 0.07551455238730746 4.9711
0.122733 -0.032096 -0.118462 195.2 "Gaia DR2 5241009816638352640" 166.33426760321 1.2275 -62.60144806024 1.4821 1635721458409799680 5241009816638352640 1357117510 2015.5 0.1902 1.5464 0.1230 -8.609 3.396 8.000 3.810 -0.0454 0.1038 0.1408 -0.1396 -0.0117 0.2114 -0.5523 0.2161 0.0979 -0.5679 83 0 83 0 0.4571 83.15 1.153 0.14 31 0 0.0168 0.6550 0.3855 -0.236 10 8 4.0371 0 11 0 93 84.94 1.299 65.377 20.865581001728675 0.01670483307465353 6 87 21.27 4.090 20.5026 0.2655 10 152.6 21.44 7.116 19.3029 0.1526 2.821 0 1.199659353673315 -0.3629791332752177 1.5626 "" "" 0 "" "" "" NOT_AVAILABLE 291.0636094006 -2.20027970971 209.54105860532 -59.07176653902 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.334348152 52.6514 -62.6014825029 59.0735 0.30620788416693423 0.26600995329233057 7.5720
0.127668 -0.031231 -0.123789 194.2 "Gaia DR2 5241009782278614528" 166.3361356591 1.0705 -62.60677677101 1.5591 1635721458409799680 5241009782278614528 901488802 2015.5 -0.1602 1.4079 -0.1138 -9.887 2.558 4.646 3.837 -0.0925 -0.1177 -0.1267 0.0904 -0.4150 0.3064 -0.7629 -0.2153 0.5253 -0.3283 92 0 92 0 2.5447 124.22 2.952 1.6 31 0 0.0209 1.1059 0.3301 -0.149 11 10 3.7371 0 13 0 110 89.86 1.195 75.21 20.80443565448359 0.014547355509694678 8 56.2 18.44 3.047 20.9770 0.3563 10 153.5 9.957 15.415 19.2967 0.0704 2.333 0 1.6802822190224695 0.1725463104534697 1.5077 "" "" 0 "" "" "" NOT_AVAILABLE 291.06651964688 -2.20482690423 209.54995854749 -59.07463219515 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.336228184 39.6648 -62.606796776 59.495 0.36318112089103377 0.35657736161032727 13.5584
0.119437 -0.034618 -0.11431 196.8 "Gaia DR2 5241009816651772160" 166.32879826121 0.2458 -62.59729313873 0.2253 1635721458409799680 5241009816651772160 628628824 2015.5 -0.4551 0.2982 -1.5264 -2.980 0.535 3.813 0.461 -0.1505 -0.1963 0.0199 -0.0847 -0.0191 0.0013 -0.0595 0.1229 0.3138 -0.3736 218 0 217 1 0.3539 218.69 0.0 0.0 31 0 0.1756 1.4620 0.0641 -0.153 25 14 0.51894 0 31 0 253 355.9 1.048 339.548 19.310232555970167 0.003669384945556732 24 112.7 7.449 15.130 20.2216 0.0718 28 357.3 8.639 41.362 18.3793 0.0262 1.321 0 1.8423335748319047 0.9113576833147832 0.9309 "" "" 0 "" "" "" NOT_AVAILABLE 291.05964436026 -2.19746893061 209.53175134062 -59.07092066936 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.328826141 8.2909 -62.5973095571 7.1504 0.07644829840682564 0.07186906509151864 11.1013
0.117325 -0.038508 -0.110825 199.2 "Gaia DR2 5241009885371249536" 166.32035652553 0.46 -62.59380383415 0.4097 1635721458409799680 5241009885371249536 841548312 2015.5 -0.1134 0.5456 -0.2079 -5.063 1.032 2.098 0.919 -0.2557 -0.0730 -0.1779 0.1519 -0.1513 0.2632 -0.3313 -0.1115 0.4615 -0.5105 218 0 217 1 2.7747 273.63 1.862 2.5 31 0 0.0571 1.6433 0.1117 -0.137 25 15 1.078 0 29 0 253 200.3 1.042 192.266 19.934197610223855 0.005927062387727895 4 129.6 37.08 3.495 20.0699 0.3106 5 476.6 63.94 7.454 18.0665 0.1457 3.026 0 2.0034564149500227 0.13577369579573428 1.8676 "" "" 0 "" "" "" NOT_AVAILABLE 291.05468770538 -2.19581370603 209.52166299792 -59.07154241768 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.320403883 16.0067 -62.5938128663 14.2531 0.34309848955814576 0.3106997279369849 2.9028
0.121178 -0.031747 -0.116945 195.2 "Gaia DR2 5241009816635108736" 166.33503066532 0.5184 -62.59993218378 0.4483 1635721458409799680 5241009816635108736 1033496711 2015.5 0.0014 0.5766 0.0024 -5.379 1.144 0.279 0.933 -0.2092 -0.0926 -0.1248 0.1231 0.1157 0.1745 -0.1316 -0.0288 0.2911 -0.4363 208 0 208 0 0.5646 213.9 0.0 0.0 31 0 0.0453 1.2310 0.1346 -0.178 24 16 1.1185 0 28 0 243 143.5 0.9136 157.091 20.29611890342857 0.007142053016324046 21 61.23 9.238 6.628 20.8840 0.1638 24 189.5 13.35 14.198 19.0680 0.0765 1.747 0 1.8159977751860197 0.587870456099207 1.2281 "" "" 0 "" "" "" NOT_AVAILABLE 291.06332843611 -2.19874923102 209.5392909951 -59.07050328573 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.335080992 17.7366 -62.5999333835 14.4701 0.18079928006855578 0.16397424439730984 5.9601
0.125787 -0.027194 -0.122812 192.5 "Gaia DR2 5241009816635101184" 166.34491176004 0.3538 -62.60580324045 0.3037 1635721458409799680 5241009816635101184 813220968 2015.5 0.1537 0.4293 0.3581 -10.450 0.678 -0.541 0.615 -0.0585 -0.3939 -0.1807 -0.0694 -0.1745 0.1552 -0.3269 0.0792 0.4532 -0.3148 193 0 192 1 6.5486 343.38 1.647 4.8 31 0 0.116 1.2732 0.0887 -0.089 22 15 0.66465 0 26 0 229 350.9 2.368 148.163 19.325348781677597 0.0075456972057956545 14 251.2 26.97 9.314 19.3513 0.1166 12 992.8 175.4 5.660 17.2697 0.1918 3.545 0 2.081562660658747 0.02591568485951612 2.0556 "" "" 0 "" "" "" NOT_AVAILABLE 291.06983985523 -2.20232791491 209.55371211348 -59.07095376455 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.345009551 10.5132 -62.6058009124 9.5446 0.22448597599186326 0.11682140692697492 5.2244
0.119455 -0.041526 -0.112005 200.3 "Gaia DR2 5241009885354580736" 166.31379541354 0.3732 -62.59497965512 0.3095 1635721458409799680 5241009885354580736 1002726417 2015.5 0.8899 0.4034 2.2060 -7.387 0.824 1.864 0.661 -0.1793 -0.2179 -0.0380 0.0453 0.0890 0.1298 -0.0724 0.0463 0.2302 -0.4041 227 0 227 0 1.8493 262.55 1.179 1.4 31 0 0.0829 1.6452 0.0944 -0.113 26 17 0.79097 0 30 0 261 221.6 0.862 257.109 19.82432860993898 0.004590406491039567 22 55.97 6.583 8.503 20.9814 0.1277 26 252.7 10.56 23.922 18.7554 0.0454 1.393 0 2.2260902585105207 1.1571055503549488 1.0689 "" "" 0 "" "" "" NOT_AVAILABLE 291.05238347306 -2.19809432556 209.51951016776 -59.07458851524 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.313864511 12.7808 -62.594987682 10.2551 0.1355401819848042 0.12778354498921252 6.6577
0.114844 -0.033525 -0.109841 197.0 "Gaia DR2 5241009816637157504" 166.33118379575 1.7195 -62.59282617575 3.9806 1635721458409799680 5241009816637157504 1547310087 2015.5 "" "" "" "" "" "" "" -0.3148 "" "" "" "" "" "" "" "" "" 73 0 73 0 0.3294 71.22 1.704 0.26 3 0 0.0149 "" "" -0.336 9 8 8.3538 0 10 0 84 77.93 1.163 67.019 20.959152229784515 0.016300256905991288 2 142.4 25.11 5.673 19.9673 0.1914 4 112.6 40.04 2.811 19.6334 0.3862 3.272 1 0.33397673116422766 -0.991832160899456 1.3258 "" "" 0 "" "" "" NOT_AVAILABLE 291.05887416418 -2.19293384056 209.52662465571 -59.06715033723 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 166.331183796 1.7195 -62.5928261758 3.9806 0.43104239361744945 0.1920890774881464 2.7585
0.126425 -0.023553 -0.124212 190.7 "Gaia DR2 5241009816651769728" 166.35282324703 0.0273 -62.60720593246 0.0225 1635721458409799680 5241009816651769728 1026941064 2015.5 0.4015 0.0286 14.0364 -7.320 0.053 1.587 0.043 -0.0242 -0.1162 -0.3832 0.0010 0.1735 0.0200 -0.1526 0.0913 0.1751 -0.0730 255 0 247 8 -3.9915 163.87 0.0 0.0 31 0 16.2626 1.4580 0.0064 -0.026 28 17 0.059039 0 33 0 281 13400.0 5.117 2618.99 15.370394956024118 0.0018471205295227443 30 4895 14.8 330.706 16.1270 0.0033 30 1.296e+04 37.74 343.406 14.4805 0.0032 1.332 0 1.6465247823659936 0.7566011016794256 0.8899 "" "" 0 "" "" "" NOT_AVAILABLE 291.07374043075 -2.20216788104 209.56043231805 -59.06914083473 100001 4188.99 3996.98 4350.67 "" "" "" "" "" "" 200111 4.20 3.89 4.61 4.889 4.033 5.744 166.352891749 0.8193 -62.6072127644 0.6711 0.0051327919014440854 0.004018774921360156 8.6753
