#ID               x         y         V        ev        BV       ebv        UB       eub        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP
2         257.408354719 -41.647532467    13.167     0.001     0.877     0.001     0.365     0.003     5.268     0.712     0.252      0.16     0.302      G6.5     3.323     0.387    -0.007      0.49     0.462        F3     0.178    -0.126    -0.406       1.0      0.95      B6.5        --        --        --        --        --        --
3         257.411039548 -41.627237519    13.975     0.001     2.442     0.003     2.682     0.041        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
4         257.414297164 -41.6037908281     13.32     0.001     0.715     0.001     0.154     0.002     4.696     0.599      0.08      0.11     0.453        G0     4.217      0.52     0.016      0.19     0.504        F8    -0.216    -0.151    -0.503      0.86     1.493        B5        --        --        --        --        --        --
5         257.438553277 -41.6053886124    13.441     0.001     1.815     0.002     1.756     0.009        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
6         257.435744041 -41.6053526589    13.421     0.001     1.064     0.001     0.557     0.003     5.539     0.757     0.337       0.3     0.246        G8      3.04      0.34     0.006      0.72     0.426        F2     0.391    -0.113    -0.352      1.17      0.76        B7        --        --        --        --        --        --
7         257.438938437 -41.6183791339    13.546     0.001     0.869     0.001     0.494     0.003     5.909     0.822     0.466      0.04     0.318      K0.5     2.682     0.277     0.049      0.59     0.641        A9     0.761    -0.084    -0.235      0.95     0.929      B8.5        --        --        --        --        --        --
8         257.352357987 -41.6138047627    14.088     0.001     2.324     0.002     2.198     0.028        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
9         257.355337673 -41.589259562     13.89     0.001      1.94     0.002     1.662     0.011       8.4      1.35      1.21      0.59     0.054        M0     7.158     1.115     1.045      0.82     0.069      K4.5        --        --        --        --        --        --        --        --        --        --        --        --
10        257.340345653 -41.5990474073    13.725     0.001     0.875     0.001       0.4     0.003     5.442     0.741     0.307      0.13     0.377      G7.5     3.062     0.344     0.004      0.53     0.637        F2     0.391    -0.113    -0.352      0.98     1.146        B7        --        --        --        --        --        --
11        257.385581396 -41.618857755    13.767     0.001      1.09     0.001     0.684     0.003     6.018     0.844     0.512      0.24     0.252        K1     2.637     0.268     0.056      0.82     0.522      A8.5     0.809    -0.079    -0.217      1.16     0.745      B8.6        --        --        --        --        --        --
12        257.409117912 -41.6502220641     13.79     0.001     0.847     0.001     0.419     0.004      5.67     0.778     0.379      0.06     0.386      G9.5     2.888     0.315     0.021      0.53     0.711        F1     0.601      -0.1      -0.3      0.94     1.135        B8        --        --        --        --        --        --
13        257.392064183 -41.5791085771    13.856     0.001     0.839     0.001     0.412     0.004     5.641     0.773      0.37      0.06     0.404        G9      2.91     0.318     0.019      0.52     0.736        F1     0.601      -0.1      -0.3      0.93     1.187        B8        --        --        --        --        --        --
14        257.405077459 -41.5917546159    14.029     0.001      1.79     0.002     1.516      0.01     8.749     1.394     1.219       0.4     0.064        M0     6.984     1.071     0.981      0.71     0.093        K3        --        --        --        --        --        --        --        --        --        --        --        --
15        257.357925104 -41.635420238    13.968     0.001     1.126     0.002     0.588     0.004     5.453     0.742     0.311      0.38     0.293      G7.5     3.127     0.355    -0.001      0.77     0.491        F2     0.274    -0.121    -0.382      1.24     0.933        B7        --        --        --        --        --        --
16        257.427927517 -41.5979154299     14.17     0.001     0.854     0.002     0.172     0.003    -0.771    -0.182    -0.621      1.03     2.237      B3.5        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
17        257.433555508 -41.5705262994    14.714     0.001     1.734     0.002     1.321     0.015        --        --        --       ERR        --        --        --        --        --       ERR        --        --        --        --        --       ERR        --        --        --        --        --       ERR        --        --
19        257.438630879 -41.6258008598    14.837     0.001     1.834     0.002     1.718     0.024        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
20        257.425453037 -41.5829521275    14.998     0.001     1.985     0.003     2.003     0.041        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
21        257.390807228 -41.5824040784    14.648     0.001     0.842     0.002     0.342     0.005      5.29     0.715     0.259      0.12     0.627      G6.5      3.28      0.38    -0.006      0.46     0.974        F3     0.216    -0.124    -0.396      0.96     1.955      B6.5        --        --        --        --        --        --
23        257.419783416 -41.5793848858    14.975     0.001       1.9     0.002     1.785     0.029        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
25        257.410859041 -41.6401090236    14.766     0.001     1.083     0.002     0.645     0.006     5.891     0.818     0.459      0.26     0.411      K0.5     2.737     0.288      0.04      0.79     0.824      A9.5     0.688    -0.091    -0.265      1.17     1.231      B8.3        --        --        --        --        --        --
27        257.43616987 -41.6099291806     14.86     0.001     0.995     0.002     0.269     0.006    -0.902    -0.189    -0.649      1.18     2.635      B3.5        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
28        257.406915675 -41.6311906923    14.901     0.001     0.992     0.002     0.572     0.006     5.873     0.815     0.451      0.17     0.501      K0.5     2.737     0.288      0.04       0.7     0.997      A9.5     0.693    -0.091    -0.263      1.08     1.486      B8.3        --        --        --        --        --        --
31        257.334214587 -41.5907745304    14.989     0.001     1.244     0.002     0.563     0.008     4.742     0.609     0.093      0.63     0.456      G0.5     4.261     0.527     0.021      0.72       0.5        F9    -0.379     -0.16    -0.538       1.4     1.606      B4.5        --        --        --        --        --        --
33        257.416431858 -41.6002413404    15.346     0.001     2.017     0.003     1.396     0.054     5.945     0.829     0.481      1.18     0.141      K0.5     2.888     0.315     0.021       1.7     0.274        F1     0.352    -0.116    -0.362      2.13     0.477        B7        --        --        --        --        --        --
34        257.344911472 -41.5789354754    15.061     0.001     0.936     0.002      0.55     0.007     5.945     0.829     0.481       0.1     0.577      K0.5     2.673     0.275      0.05      0.66      1.17        A9     0.785    -0.081    -0.226      1.01     1.694      B8.6        --        --        --        --        --        --
35        257.359020386 -41.598914443    15.095     0.004     1.082     0.004     0.758     0.009     6.309     0.902     0.635      0.17     0.449        K2     2.437     0.212     0.093      0.87     0.982        A7     1.056    -0.054    -0.118      1.13      1.28      B9.4        --        --        --        --        --        --
37        257.328296567 -41.5770857461    15.117     0.003     1.267     0.003     0.477     0.008    -1.065    -0.198    -0.683      1.46     2.144        B3        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
38        257.439647224 -41.5988464312     15.17     0.005     0.615     0.006     0.653     0.007        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
39        257.406009071 -41.618878499    15.101     0.001     0.905     0.002     0.261     0.006     -0.51    -0.168    -0.566      1.07     2.876      B4.5        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
41        257.36233626 -41.5994183156    15.363     0.001     1.387     0.002     0.927     0.015     6.091     0.858     0.542      0.52      0.34        K1     2.628     0.266     0.058      1.12     0.712      A8.5      0.78    -0.082    -0.228      1.46     1.027      B8.5        --        --        --        --        --        --
42        257.405397946 -41.6344292402    15.647     0.001     1.716     0.003     1.156     0.028     5.964     0.833     0.489      0.88     0.246      K0.5     2.782     0.297     0.033      1.42     0.493        F0     0.565    -0.102    -0.309      1.81     0.784        B8        --        --        --        --        --        --
44        257.424826912 -41.6290497894    15.395     0.001     1.241     0.002     0.647     0.011     5.301     0.717     0.262      0.52     0.497      G6.5     3.345     0.391    -0.008      0.85     0.764        F4     0.062    -0.133    -0.434      1.37     1.649        B6        --        --        --        --        --        --
46        257.40005872 -41.6324277676    15.395     0.001     1.216     0.002     0.715     0.011     5.786     0.798     0.415      0.41     0.465        K0     2.888     0.315     0.021       0.9     0.878        F1     0.546    -0.103    -0.314      1.31     1.438        B8        --        --        --        --        --        --
48        257.43111743 -41.5734911619    15.339     0.001     0.928     0.002      0.28     0.007     -0.51    -0.168    -0.566      1.09     3.118      B4.5        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
