#ID               x         y         V        ev        BV       ebv        UB       eub        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP
54        257.396816064 -41.6315376706    15.894     0.001     1.715     0.004     1.163     0.037       6.0      0.84     0.504      0.87     0.275        K1     2.764     0.293     0.036      1.42     0.557      A9.5     0.584    -0.101    -0.304      1.81      0.87        B8        --        --        --        --        --        --
55        257.440864563 -41.6396103208    15.706     0.001     1.421     0.003     1.281     0.026     8.284     1.336     1.207      0.09     0.268      K6.5     7.726     1.245     1.162      0.17     0.309        K6     7.332     1.158     1.088      0.26     0.326        K5        --        --        --        --        --        --
56        257.432980527 -41.610854945     15.57     0.001     1.044     0.002     0.613      0.01     5.891     0.818     0.459      0.22      0.63      K0.5     2.746      0.29     0.039      0.75     1.258      A9.5     0.693    -0.091    -0.263      1.13     1.883      B8.3        --        --        --        --        --        --
57        257.346054143 -41.6406170752    15.701     0.001     1.239     0.003     0.824     0.016     6.109     0.862      0.55      0.37     0.489        K1     2.574     0.255     0.066      0.98     1.042        A8     0.843    -0.076    -0.203      1.31     1.444      B8.7        --        --        --        --        --        --
59        257.422568948 -41.6159894543     15.88     0.001     1.557     0.003     0.996     0.027     5.855     0.811     0.443      0.74     0.352        K0     2.888     0.315     0.021      1.24     0.676        F1     0.449    -0.109    -0.338      1.66      1.14      B7.5        --        --        --        --        --        --
61        257.340355186 -41.5813244325    15.691     0.001     0.959     0.002     0.622     0.013     6.127     0.865     0.558      0.09      0.72      K1.5     2.513     0.238     0.077      0.72     1.546        A8     0.944    -0.066    -0.163      1.02     2.075        B9        --        --        --        --        --        --
62        257.332404423 -41.6066624734    15.839     0.001     1.238     0.003     0.738     0.016       5.8       0.8      0.42      0.43     0.551        K0     2.844     0.307     0.026      0.93     1.053        F0     0.584    -0.101    -0.304      1.33     1.684        B8        --        --        --        --        --        --
63        257.368171116 -41.5748695191    15.706     0.001     0.876     0.002     0.077     0.007    -1.343    -0.212    -0.757      1.08     5.498      B2.7        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
64        257.330772715 -41.5953016868    15.801     0.002      0.78     0.004     0.436     0.011     2.646     0.269     0.055      0.51     2.064        A9     0.823    -0.078    -0.211      0.85     2.941      B8.7        --        --        --        --        --        --        --        --        --        --        --        --
66        257.430926617 -41.5800772747     15.88     0.001     1.186     0.003     0.495     0.014     -0.51    -0.168    -0.566      1.35      2.76      B4.5        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
67        257.398217388 -41.5790316474    15.884     0.001     1.102     0.002     0.675     0.016     5.945     0.829     0.481      0.27     0.661      K0.5     2.692     0.278     0.047      0.82     1.349        A9     0.742    -0.085    -0.243      1.18     1.981      B8.4        --        --        --        --        --        --
69        257.355903754 -41.5984100205    16.055     0.002     1.233     0.004     0.921     0.024     6.444     0.936     0.713      0.29     0.553      K2.5     2.241     0.174     0.095      1.06     1.275        A6     1.233    -0.033    -0.064      1.26     1.525      B9.8        --        --        --        --        --        --
70        257.338454256 -41.5840057146    15.893     0.001     1.141     0.003     0.701     0.016     5.927     0.825     0.474      0.31     0.632      K0.5      2.71     0.282     0.044      0.86     1.269      A9.5     0.727    -0.087    -0.249      1.22     1.891      B8.4        --        --        --        --        --        --
71        257.427938692 -41.5757958223    16.007     0.001     1.141     0.003     0.679     0.017     5.873     0.815     0.451      0.32     0.674      K0.5     2.782     0.297     0.033      0.84     1.331        F0     0.649    -0.095     -0.28      1.23     2.037      B8.1        --        --        --        --        --        --
72        257.436914309 -41.6466753684    16.004     0.001     1.052     0.003     0.354     0.013    -0.673    -0.176      -0.6      1.22     3.793        B4        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
73        257.409683847 -41.6172150386    16.068     0.001     1.214     0.003     0.688     0.019     5.655     0.776     0.374      0.43     0.655      G9.5     2.997     0.333      0.01      0.88     1.171        F1      0.41    -0.112    -0.347      1.32     2.057      B7.5        --        --        --        --        --        --
74        257.375677917 -41.6296181201    16.225     0.002      1.42     0.004     0.746     0.027     5.068     0.674     0.191      0.74     0.592      G4.5     3.729     0.447    -0.005      0.97      0.79        F6     -0.19    -0.149    -0.498      1.56     2.069        B5        --        --        --        --        --        --
75        257.331913809 -41.6155752689    16.368     0.002      1.53     0.005     0.671     0.032    -1.215    -0.206    -0.722      1.73      2.78      B2.9        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
77        257.422553091 -41.632194839    16.214     0.001     1.326     0.004     0.727     0.024     5.377      0.73     0.287      0.59     0.633        G7     3.258     0.376    -0.005      0.95     1.005        F3      0.12     -0.13     -0.42      1.45     2.088        B6        --        --        --        --        --        --
79        257.430815752 -41.5774238243    16.101     0.002     1.048     0.003     0.589     0.016     5.757     0.793     0.406      0.25      0.82        K0     2.844     0.307     0.026      0.74     1.558        F0      0.61    -0.099    -0.296      1.14     2.462        B8        --        --        --        --        --        --
80        257.383627733 -41.6152806462    16.278     0.003     1.168     0.004     0.912     0.022     6.541      0.96     0.768       0.2     0.666        K3     1.898     0.099      0.08      1.07     1.632        A4     1.558     0.015     0.021      1.15     1.702        A1        --        --        --        --        --        --
90        257.43863534 -41.644565276    16.609     0.002     1.121     0.005       0.6     0.027     5.539     0.757     0.337      0.36     0.979        G8      3.04      0.34     0.006      0.78     1.699        F2     0.371    -0.114    -0.357      1.23     3.055        B7        --        --        --        --        --        --
99        257.411021518 -41.583551116    16.752     0.005     1.145     0.008     0.633     0.031     5.612     0.769     0.361      0.37     0.997        G9     2.997     0.333      0.01      0.81     1.774        F1     0.429    -0.111    -0.343      1.25     3.087      B7.5        --        --        --        --        --        --
102       257.431429656 -41.6175589591    16.825     0.002     1.072     0.005     0.696     0.033     6.091     0.858     0.542      0.21     1.039        K1     2.555     0.251     0.069      0.82     2.216        A8     0.877    -0.072    -0.189      1.14      3.04      B8.8        --        --        --        --        --        --
106       257.392780637 -41.5836464457     16.93     0.002     1.269     0.007     0.664     0.046     5.279     0.714     0.255      0.55     0.976      G6.5     3.389     0.398     -0.01      0.87     1.475        F4     0.042    -0.135    -0.439       1.4     3.232        B6        --        --        --        --        --        --
107       257.404278471 -41.61016501    16.817     0.007     1.424      0.01     0.685     0.043    -0.608    -0.173    -0.586      1.59     3.156        B4        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
118       257.352991363 -41.5794150621    17.281     0.003     1.435      0.01     0.562      0.06    -1.331    -0.212    -0.754      1.64     5.078      B2.7        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
125       257.440312158 -41.6084712719    17.357     0.004     1.464     0.012     1.285      0.14     8.633     1.379     1.216      0.09     0.489        M0     7.071     1.093     1.018      0.37     0.673      K4.5        --        --        --        --        --        --        --        --        --        --        --        --
