#ID               x         y         V        ev        BV       ebv        UB       eub        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP
24        254.889179549 -40.2272413707    15.924     0.002     0.866     0.004     0.274     0.014     4.748      0.61     0.095      0.25     1.203      G0.5     4.305     0.534     0.027      0.33     1.316        F9    -0.216    -0.151    -0.503      1.01     3.997        B5        --        --        --        --        --        --
25        254.906047781 -40.1913123963     15.95     0.002     1.535     0.006     0.401     0.028    -3.293    -0.301    -1.082      1.83     5.176      O9.9        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
26        254.872099285 -40.1851722407    16.053     0.002      1.15     0.005     0.684     0.028     5.855     0.811     0.443      0.33     0.684        K0     2.782     0.297     0.033      0.85      1.34        F0     0.639    -0.096    -0.284      1.24      2.06      B8.1        --        --        --        --        --        --
28        254.929760926 -40.1931076492    16.144     0.003      1.01     0.007     0.436     0.031     5.117     0.683     0.205      0.32     1.016        G5     3.627     0.432    -0.007      0.58     1.392        F6     0.004    -0.137    -0.449      1.14     3.321        B6        --        --        --        --        --        --
29        254.927937047 -40.2231901301    16.162     0.002      1.65     0.008     1.439     0.078       8.4      1.35      1.21       0.3     0.232        M0     7.274     1.144     1.074       0.5     0.293        K5        --        --        --        --        --        --        --        --        --        --        --        --
30        254.942769683 -40.1768549327    16.203     0.003     1.021     0.006     0.428     0.023     5.014     0.663     0.174      0.35     1.049        G4      3.78     0.454    -0.005      0.57     1.353        F6    -0.093    -0.144    -0.474      1.16     3.468      B5.5        --        --        --        --        --        --
32        254.883965482 -40.1696987936     16.33     0.003     1.004     0.006     0.334     0.024    -0.542    -0.169    -0.573      1.17     4.457        B4        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
33        254.906393233 -40.1835657701    16.443     0.003     1.144     0.007     0.626     0.035     5.597     0.766     0.356      0.37     0.871        G9     2.997     0.333      0.01      0.81     1.538        F1     0.391    -0.113    -0.352      1.25     2.726        B7        --        --        --        --        --        --
34        254.86138894 -40.2122742548     16.57     0.003      1.17     0.007     0.638     0.044     5.568     0.762     0.347       0.4     0.896        G9      3.04      0.34     0.006      0.83     1.554        F2     0.352    -0.116    -0.362      1.28     2.819        B7        --        --        --        --        --        --
36        254.870631784 -40.2152409543    16.837     0.004     1.054     0.008     0.437     0.041     4.894     0.639     0.138      0.41     1.363      G2.5     3.932     0.476    -0.002      0.58     1.665        F8     -0.19    -0.149    -0.498       1.2     4.586        B5        --        --        --        --        --        --
63        254.858441824 -40.2074572827    14.059     0.001     0.818     0.002     0.227     0.004     4.653     0.592     0.074      0.22     0.556        G0     4.174     0.512      0.01       0.3     0.618        F8    -0.281    -0.155    -0.517      0.97     1.848        B5        --        --        --        --        --        --
64        254.897082091 -40.1925129213    15.543     0.002     1.529     0.007      0.09     0.018        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
67        254.941324617 -40.2482029198    16.428     0.003     1.021     0.006     0.383     0.028     4.718     0.604     0.086      0.41     1.224        G0     4.261     0.527     0.021      0.49     1.348        F9    -0.314    -0.157    -0.524      1.17     4.197      B4.5        --        --        --        --        --        --
68        254.867090783 -40.1733418497    16.716     0.003     0.988     0.008     0.257     0.031    -0.902    -0.189    -0.649      1.17     6.282      B3.5        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
