#ID               x         y         V        ev        BV       ebv        UB       eub        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP        Mv       BVo       UBo    E(B-V)    d(kpc)        SP
1         239.893487437 -53.7255898644    10.267     0.001     0.685     0.001     0.154     0.001     4.839     0.628     0.122      0.05     0.113      G1.5     3.983     0.483    -0.002       0.2     0.136        F8    -0.074    -0.142    -0.469      0.82     0.363      B5.5        --        --        --        --        --        --
2         239.938142519 -53.7711595151    12.283     0.001     0.675     0.001     0.149     0.002     4.845     0.629     0.124      0.04      0.29      G1.5     3.932     0.476    -0.002       0.2     0.352        F8    -0.055    -0.141    -0.464      0.81     0.923      B5.5        --        --        --        --        --        --
3         239.911482995 -53.7455738486    12.364     0.001      0.48     0.001    -0.404     0.002    -2.409    -0.269    -0.962      0.74     3.132      B0.9        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
4         239.879850908 -53.7423668703     12.53     0.001      0.47     0.001     0.031     0.002     3.627     0.432    -0.007      0.04      0.57        F6     0.158    -0.127     -0.41      0.59     1.284      B6.5        --        --        --        --        --        --        --        --        --        --        --        --
5         239.922198128 -53.797637956    12.565     0.001     1.047     0.001      0.52     0.002     5.431     0.739     0.304       0.3     0.174      G7.5     3.149     0.358    -0.002      0.69     0.285        F2     0.274    -0.121    -0.382      1.16     0.548        B7        --        --        --        --        --        --
6         239.931477654 -53.772631994    13.142     0.001     1.651     0.001     0.579     0.004    -2.525    -0.276    -0.985      1.92     0.877      B0.6        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
7         239.910148727 -53.7541471751    13.249     0.001     1.702     0.002     0.547     0.005    -3.456    -0.303    -1.092       2.0     1.262      O9.7        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
8         239.902293981 -53.763920814     13.67     0.001     1.972     0.002     0.898     0.008    -2.365    -0.266    -0.953      2.23     0.668        B1        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
9         239.908114057 -53.7671985224    13.902     0.001       0.8     0.002      0.52     0.003      2.48     0.227     0.084      0.57     0.853      A7.5     1.036    -0.057    -0.126      0.85     1.112      B9.3        --        --        --        --        --        --        --        --        --        --        --        --
10        239.890272417 -53.7491361072     14.03     0.001     0.671     0.002     0.058     0.003    -0.575    -0.171    -0.579      0.84     2.513        B4        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
11        239.864873453 -53.7900539121    14.194     0.001     1.726     0.002     1.689     0.012        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
12        239.961314591 -53.7266579174    14.229     0.001     0.936     0.002     0.656     0.004     6.309     0.902     0.635      0.03     0.368        K2     2.404     0.201     0.099      0.73     0.817        A7     1.116    -0.048    -0.095      0.98     1.035      B9.5        --        --        --        --        --        --
15        239.944486356 -53.8019247676    14.471     0.001     0.939     0.002     0.591     0.005     6.072     0.854     0.534      0.08     0.427        K1     2.546     0.249     0.071      0.69     0.906        A8     0.906    -0.069    -0.178       1.0     1.239      B8.9        --        --        --        --        --        --
16        239.872229203 -53.7970905196     14.49     0.001     0.804     0.002      0.35     0.004     5.475     0.746     0.317      0.05     0.592        G8     3.062     0.344     0.004      0.46     1.001        F2      0.41    -0.112    -0.347      0.91     1.786      B7.5        --        --        --        --        --        --
17        239.955414882 -53.7385957299    14.635     0.001     0.905     0.002     0.537     0.005     5.982     0.836     0.497      0.06     0.494      K0.5     2.628     0.266     0.058      0.64      1.01      A8.5     0.809    -0.079    -0.217      0.98     1.438      B8.6        --        --        --        --        --        --
18        239.912976686 -53.7378444256    14.646     0.001     1.623     0.003     1.454     0.014     7.581     1.216     1.141      0.41     0.144      K5.5        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --        --
19        239.936933988 -53.7620817657     14.69     0.002     0.697     0.002     0.429     0.005     2.502     0.234      0.08      0.46      1.42      A7.5     1.007    -0.059    -0.137      0.75     1.869      B9.2        --        --        --        --        --        --        --        --        --        --        --        --
20        239.838729056 -53.7289520478    14.753     0.002     0.953     0.003     0.386     0.006     5.074     0.675     0.193      0.27     0.587      G4.5     3.627     0.432    -0.007      0.52     0.799        F6    -0.035     -0.14    -0.459      1.09     1.914      B5.5        --        --        --        --        --        --
